nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
50625 (01.17.432.6),BN050625,Barónsstígur 25,Breyta svölum - hurð,Frestað. Vantar samþykki meðeigenda.,Sótt er um leyfi til að breyta lögun nýlega samþykktra svala sbr. erindi BN050401 dags. 19.1. 2016 og setja hurð út á svalir í vegg við hlið núverandi glugga á 1. og 2. hæð í fjölbýlishúsi á lóð nr. 25 við Barónsstíg.  Meðfylgjandi er umsögn verkfræðings dags. 25.2. 2016.  Gjald kr. 10.100
50660 (01.19.031.4),BN050660,Barónsstígur 28,Breytingar fjölbýlishús/íbúðarhótel,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta erindi BN048209, innrétta gististað í flokki II, teg. e, með 10 gistieiningum á lóð nr. 28 við Barónsstíg.  Gjald kr. 10.100"
50647 (04.06.140.3),BN050647,Dvergshöfði 27,Breyta innra skipulagi,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til  að breyta innra skipulagi, fjölga salernum, innrétta  kaffiaðstöðu og fækka rýmisnúmerum í á 2. hæð í húsi á lóð nr. 27 við Dvergshöfða.   Samþykki á 1. hæð fylgir og bréf frá Stálsmiðjunni dags. 28. jan. 2016.  Gjald kr. 10.100"
50662 (02.45.610.1),BN050662,Fossaleynir 1,Reyndarteikningar,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.",Sótt er um leyfi fyrir áður gerðum breytingum á erindi BN047998 vegna lokaúttektar á 5. áfanga fimleikahúss við Egilshöll á lóð nr. 1 við Fossaleyni.  Skýrsla brunahönnuðar fyglgir dags 15. jan. 2015.  Gjald kr. 10.100
50565 (02.46.720.1),BN050565,Fossaleynir 8,Breyting á áður samþykktu BN049508,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,"Sótt er um leyfi til að stækka áður samþykkt erindi BN049508 þannig að húsið verður breikkað um 18 cm og lengt um 16 cm og innkeyrsluhurð verður mjókkuð í húsinu á lóð nr. 8 við Fossaleyni.   Stækkun: 2,4 ferm ferm., 35,7 rúmm.   Gjald kr. 10.100"
50534 (01.17.210.9),BN050534,Frakkastígur 8,Breyting - BN048776,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta erindi BN048776, m. a. bæta við gluggum á norðurhlið, gera nýjan inngang frá Laugavegi á nr. 41 og færa gaflvegg nr. 43 lítillega til vesturs,  og innrétta gististað í flokki II, teg. íbúð, 23 einingar á efri hæðum húsanna Laugavegur 41, 43 og 45 á lóð nr. 8 við Frakkastíg.  Gjald kr. 10.100"
50658 (02.69.310.3),BN050658,Friggjarbrunnur 53,"Breytingar gluggar, svalir - breyting á BN048621",Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,"Sótt er um leyfi til að breyta svölum mhl. 04, gluggapóstum, brunavörnum í lyftustokki og innra skipulagi í eldhúsum, sjá erindi BN048621, í fjölbýlishúsi á lóð nr. 53 við Friggjarbrunn.  Erindi fylgir minnisblað um brunavarnir dags. 25. janúar 2016.  Gjald kr. 10.100"
50643 (02.69.520.2),BN050643,Gefjunarbrunnur 5,Breyting á BN047966,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta erindi BN047966 dags. 29. júlí 2014, lóðamörk eru leiðrétt miðað við mæliblað og stiga milli hæða er breytt í einbýlishúsinu á lóð nr. 5 við Gefjunarbrunn.  Gjald kr. 10.100"
50628 (01.29.540.7),BN050628,Grensásvegur 16A,Niðurrif,Frestað. Skipulagsferli ólokið.,"Sótt er um leyfi til að rífa mhl. 03, fastanr. 201-5642 merkt 0101, bílastæðahús 541,2 ferm., einnig til að girða komandi athafnasvæði og reisa 25 m. háan byggingakrana á lóð nr. 16A við Grensásveg.  Gjald kr. 10.100"
49629 (01.18.210.4),BN049629,Grettisgata 4,Fjölbýlishús,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um leyfi til að byggja þriggja hæða fjölbýlishús með sjö íbúðum, steinsteypt, einangrað að utan, múrað og flísalagt að hluta á lóð nr. 4 við Grettisgötu.  Lögð er fram umsögn Minjastofnunar Íslands dags. 12. mars 2015.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 3. júlí  2015 fylgir erindinu, ásamt umsögn skipulagsfulltrúa dags. 3. júlí 2015 og .  Stærð A-rými:  607,1 ferm., 1.925,2 rúmm.  B-rými:  49,8 ferm.  C-rými:  19,8 ferm.  Gjald kr. 9.823"
