nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
50400 (01.11.250.1),BN050400,Grandagarður 20,"Breytingar - sýningarsalir, veitingastaður o.fl.",Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.Áskilið samþykki heilbrigðiseftirlits.Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til breytinga sem felast í að innréttaðir eru sýningarsalir og vinnustofur á efri hæðum og veitingasalur á jarðhæð, komið er fyrir lyftu og nýjum aðalstiga og eldvarnarmálum komið í rétt horf,  aðkoma og bílastæði verða frá Járnbraut í Marshall húsi á lóð nr. 20 við Grandagarð.  Meðfylgjandi er mat á burðarþoli hússins dags. 1. júní 2015 og brunavarnaskýrsla dags. 15. desember 2015 og önnur brunavarnaskýrsla dags. 6. febrúar 2016.  Gjald kr. 9.823"
50541 (01.46.500.1),BN050541,Grensásvegur 13,Reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi fyrir áður gerðri breytingu á áður samþykktu erindi BN049368 þannig að komið er fyrir loftræstingu í geymslu á 3. hæð í húsinu á lóð nr. 13 við Grensásveg.  Gjald kr. 10.100
50435 (01.17.312.4),BN050435,Grettisgata 41,Breytingar - BN049327,Frestað. Umsækjandi hafi samband við embætti byggingarfulltrúa.,"Sótt er um leyfi til að byggja staðsteypta viðbyggingu við einbýlishús á lóð nr. 41 við Grettisgötu.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 5. febrúar 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 5. febrúar 2016.  Stækkun:  149 ferm., 377,4 rúmm.  Gjald kr. 9.823"
50495 (01.19.011.0),BN050495,Grettisgata 54B,Flutningshús - áður Vegamótastígur 9,Frestað. Með vísan til umsagnar skipulagsfulltrúa dags. 1. febrúar 2016.,"Sótt er um leyfi til að flytja friðað einbýlishús frá 1904, sem nú stendur á lóð nr. 9 á Vegamótastíg, á steyptan sökkul, fjölga íbúðum í þrjár, breyta gluggum, byggja á það tvennar svalir og fjóra kvisti, á lóð nr. 54B við Grettisgötu.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 5. febrúar 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 1. febrúar 2016.  Gjald kr. 10.100"
50539 (01.19.100.1),BN050539,Grettisgata 64,Breytt notkun - herbergjaleiga - húðflúr,Frestað. Vísað til athugasemda á umsóknarblaði og umsagnar skipulagsfulltrúa dags. 5. febrúar 2016.,Sótt er um leyfi til að breyta notkun á rými 0102 úr verslun í tvö sjálfstæð herbergi með eldhúsi og salerni og í rými 0103 í húðflúraðstöðu í húsinu á lóð nr. 64 við Grettisgötu.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 5. febrúar 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 5. febrúar 2016.  Gjald kr. 10.100
50505 (04.64.300.6),BN050505,Haukshólar 6,Reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta áður samþykktu erindi BN050009, breytingin er þegar gerð þannig að um reyndarteikningu er að ræða af húsi á lóð nr. 6 við Haukshóla.  Gjald kr. 10.100"
50554 (01.81.740.4),BN050554,Háagerði 89,Kvistir - anddyri,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að byggja kvisti á suður og norður hlið og anddyri á vesturgafl einbýlishúss á lóð nr. 89 við Háagerði.  Stækkun:  10,2 ferm., 4,9 rúmm.  Gjald kr. 10.100"
50389 (01.72.730.1),BN050389,Háaleitisbraut 68,Mötuneyti/samkomusalur - fl.2,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta veitingastað í flokki II teg. G fyrir mötuneyti/samkomusal í kjallara hússins á lóð nr. 68 við Háaleitisbraut.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 5. febrúar 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 5. febrúar 2016.  Gjald kr. 10.100
50522 (01.62.880.1),BN050522,Hlíðarendi 6-10,Breyting á BN045376,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja steinsteypta viðbyggingu sem tengir Fjósið gömlu íbúðarhúsi og  gamla íþróttahúsinu, sjá erindi BN045376, innrétta 11 gistieiningar í tengibyggingunni, innrétta minjasafn í Fjósinu og sameiginlega setustofu í gamla íbúðarhúsinu á lóð nr. 2-6 við Hlíðarenda.  Erindi fylgir bréf hönnuðar dags. 12. desember 2015 þar sem farið er fram á undanþágu frá kröfu um algilda hönnun sbr. grein 6.1.3, og 19. janúar 2016, umsögn Húsafriðunarnefndar dags. 21. febrúar 2011 og brunahönnun frá EFLU dags. 19. janúar 2016.  Viðbygging:  1. hæð 567,1 ferm., 2. hæð 246,4 ferm., 3. hæð 121,2 ferm.  2. áfangi samtals:  934,7 ferm., 2.879,7 rúmm.  Gjald kr. 10.100"
50562 (04.67.410.1),BN050562,Hraunberg 8,Sumarhús til flutnings FB24 - Stöðuleyfi,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að byggja gestahús FB24 sem verða staðsett tímabundið til flutnings frá lóð Fjölbrautaskólans í Breiðholti á lóð nr. 8 við Hraunberg.  Stærð  FB24:  21,4 ferm., 83,0 rúmm.  Gjald kr. 10.100"
50464 (01.52.401.2),BN050464,Hringbraut 85,"Breyta rishæð, hækka þak, kvistir",Frestað. Vísað til athugasemda á umsóknarblaði og umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að breyta rishæð, hækka þak um metra, byggja kvisti á norður- og vesturhlið, stækka þaksvalir og innrétta rýmið 0201 í fjölbýlishúsi á lóð nr. 85 við Hringbraut.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 29. janúar 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 29. janúar 2016.  Stækkun:  XX ferm., XX rúmm.  Gjald kr. 10.100"
50601 (01.22.211.8),BN050601,Hverfisgata 125,Veitingastaður á 1.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að innrétta veitingastað í flokki II, tegund c, veitingastofa á 1. hæð í húsi á lóð nr. 125 við Hverfisgötu.  Gjald kr. 10.1000"
50353 (02.34.130.8),BN050353,Jötnaborgir 13-15,Nr. 13 - Þvottahús fært - óuppfyllt rými,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að taka í notkun óuppfyllt rými og breyta innra skipulagi í kjallara parhúss nr. 13 á lóð nr. 13-15 við Jötnaborgir.  Stækkun:  27.4 ferm., 74 rúmm.  Gjald kr. 9.823"
50518 (01.35.700.3),BN050518,Langholtsvegur 43,Breyting vegna lokaúttektar,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi fyrir áður gerðum breytingum á samþykktu erindi BN049244 vegna lokaúttektar á húsinu á lóð nr. 43 við Langholtsveg.  Gjald kr. 10.100
50593 (01.13.510.5),BN050593,Laugarásvegur 51,Breytingar innandyra,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki vegna nýs eignaskiptasamnings á því sem ekki var framkvæmt í upphafi, arinn, sorpgeymsla, eldhús á 3. hæð, einnig á áður gerðum breytingum og fyrirhuguðum sem felast í breytingum á herbergjaskipan innanhúss á öllum hæðum og breyttum hurðagötum í íbúðarhúsi á lóð nr. 51 við Laugarásveg.  Gjald kr. 10.100"
50559 (01.17.420.4),BN050559,Laugavegur 70,Breyting inni,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að breyta erindi BN050053 og BN048974, m. a. eru baðherbergi stækkuð í fram- og bakhúsi, komið fyrir þvottahúsi í framhúsi og breytt innra skipulagi á 1. hæð í hóteli á lóð nr. 70 við Laugaveg.  Gjald kr. 10.100"
50526 (01.15.121.0),BN050526,Lindargata 11,Hækka hús - viðbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að hækka um einn metra, rífa stigahús á bakhlið (norðurhlið) og byggja viðbyggingu, koma fyrir lyftu og nýju stigahúsi og innrétta gististað í flokki IV, teg. íbúð fyrir 22 gesti á lóð nr. 11 við Lindargötu.  Erindi fylgir umsögn Minjastofnunar Íslands dags. 22. september 2015 og bréf hönnuðar dags. 18. janúar 2016.  Stækkun:  138,2 ferm., 516,3 rúmm.  Gjald kr. 10.100"
50616 (01.15.241.3),BN050616,Lindargata 34-36,"Niðurrif á mhl.01, mhl 02 og mhl.70","Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Áskilin lokaúttekt byggingarfulltrúa.Áskilið samþykki heilbrigðiseftirlits.Áskilið samþykki Vinnueftirlits ríkisins.","Sótt er um leyfi til að rífa mhl. 01,  sjá erindi BN048898, merkt 0101 íbúð, 63,5 ferm., mhl. 02 merkt 0101 íbúð 30,8 ferm. og mhl. 70 merkt 0101, geymsla 12,7 ferm. á lóð nr. 34-36 við Lindargötu."
