nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
51786 (04.94.310.1),BN051786,Akrasel 8,Reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi fyrir áður gerðum breytingum sem felast í gerð íbúðar í kjallara í húsi á lóð nr. 8 við Akrasel.  Stækkun A-rými 67,1 ferm., 164,4 rúmm.  Gjald kr. 10.100"
51764 (01.81.210.3),BN051764,Akurgerði 38,Reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðum breytingum, hætt hefur verið við að koma fyrir arni og reykröri í stofu, sjá erindi BN047608, í parhúsi á lóð nr. 38 við Akurgerði.  Gjald kr. 10.100"
50820 (01.29.000.1),BN050820,Ármúli 4-6,4 - Lyfta við stigahús,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir áður gerðum innri breytingum sem felast í að koma fyrir lyftu á milli 1. og 3. hæðar í húsi nr. 4 á lóð nr. 4 til 6 við Ármúla.  Umsögn burðarvirkishönnuðar dags. 28. apríl 2016 fylgir.  Gjald kr. 10.100
51288,BN051288,Árskógar 1-3,Fjölbýlishús,Frestað. Lagfæra skráningu.,"Sótt er um leyfi til að byggja tvö steinsteypt 26 íbúða fjölbýlishús, fjórar hæðir og léttbyggða, inndregna 5. hæð og bílgeymslu fyrir 40 bíla á lóð nr. 1-3 við Árskóga.  Bréf frá arkitekt, dags. 14.06.2016 og 05.07.2016, fylgir umsókn.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 30. september 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 27. september 2016.  Stærðir:    Mhl.01 A-rými:  3.768,8 ferm., 11.689,9 rúmm. B-rými:  241,6 ferm., 688,6 rúmm. C-rými:  246,0 ferm.  Mhl.02 A-rými:  3.794,1 ferm., 11.745,9 rúmm. B-rými:  250,8 ferm., 714,8 rúmm. C-rými:  246,8 ferm.  Mhl.03 A-rými:  54,0 ferm., 518,4 rúmm. B-rými:  1.476,9 ferm., 4.488,9. C-rými:  188,9 ferm.  Gjald kr. 10.100"
51684 (01.16.230.2),BN051684,Ásvallagata 15,"Síkka glugga, franskar svalir - rishæð",Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að síkka glugga og setja stálhandrið fyrir framan og útbúa þannig franskar svalir á íbúð í kvisti á suðurhlið fjölbýlishúss á lóð nr. 15 við Ásvallagötu.  Meðfylgjandi er samþykki meðeigenda.  Gjald kr. 10.100
51186 (01.18.444.3),BN051186,Baldursgata 7A,Skipta íbúð 0201 í tvær eignir,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja svalir á norðurhlið, breyta innra skipulagi og innrétta tvær íbúðir á 2. hæð fjölbýlishúss á lóð nr. 7A við Baldursgötu.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 9. september 2016. Erindið var grenndarkynnt frá 4. ágúst til og með 1. september 2016. Engar athugasemdir bárust.  Erindi fylgir jákvæð fyrirspurn sama efnis , BN05062 dags. 22. mars 2016 og samþykki meðeigenda dags. 27. febrúar 2016.  Gjald kr. 10.100"
51753 (01.13.540.2),BN051753,Bárugata 35,"Þaksvalir 3.hæð, síkka þakglugga o.fl.",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja þaksvalir og kvist á til suðurs og síkka glugga á austurþekju, loka á milli 2. og 3. hæðar í stigahúsi bakdyramegin með E-30 hurð í E-60 umgjörð á stigapalli á 2. hæð í fjölbýlishúsi  á lóð nr. 35 við Bárugötu.  Jafnframt er erindi BN050853 dregið til baka.  Gjald kr. 10.100"
51604 (01.18.222.2),BN051604,Bjarnarstígur 7,Breyting inni - svalir 1. hæð og risi,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við lokaúttekt. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um leyfi til að byggja svalir á 1. hæð og rishæð, ásamt áður gerðum breytingum á innra skipulagi íbúðar 0101, í fjölbýlishúsi á lóð nr. 7 við Bjarnarstíg.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 16. september 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 16. september 2016.  Samþykki meðeigenda fylgir erindi.  Gjald kr. 10.100"
51678 (01.24.120.1),BN051678,Brautarholt 2,Gistiíbúðir fl.2,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir 21 gistiíbúð í flokki II tegund E á 2, 3 og 4. hæð í húsinu á lóð nr. 2 við Brautarholt.   Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 7. október 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 7. október 2016.  Gjald kr. 10.100"
51785 (04.30.430.4),BN051785,Dragháls 18-26,Breytingar - BN050004,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta erindi BN050004 sem felst í hækkun þaks ásamt ...í húsi á lóð nr. 18-26 og 17-25 við Dragháls / Fossháls.  Stækkun A-rými x ferm., x rúmm.  Gjald kr. 10.100"
51661,BN051661,Engjateigur - Suðurlandsbraut,LED - ljósaskilti,Synjað. Með vísan til umsagnar skipulagsfulltrúa dags. 7. október 2016.,Sótt er um leyfi til að breyta auglýsingaskilti úr flettiskilti í LED skjái á auglýsingaskilti Knattspyrnufélagsins Fram á gatnamótum Suðurlandsbrautar og Kringlumýrarbrautar.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 7. október 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 7. október 2016.  Gjald kr. 10.100
51779 (01.44.410.1),BN051779,Gnoðarvogur 44-46,44 - Dominos 01-02,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að endurinnrétta veitingastað í flokki l - teg. d í húsi á lóð nr. 44 við Gnoðarvog.  Gjald. kr. 10.100
51789 (01.52.040.1),BN051789,Grandavegur 42,Breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til breytinga á erindi BN046483 sem felast í að í matshlutum 01, 02, 03 og 04 eru breytingar á innra skipulagi, í matshlutum 01, 02 og 03 er bætt við steyptum veggjum og reyklosun í lyftuhúsum, eignarhaldi á bílastæðum í bílageymslu er breytt, möguleikar á heitum pottum í matshluta 05 eru felldir niður og burðarvirki er breytt í fjölbýlishúsi á lóð nr. 42 við Grandaveg.  Gjald kr. 10.100"
51794 (01.80.121.5),BN051794,Grensásvegur 22,LED skjár á húsgafl,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi til að setja upp LED skjá í sömu stærð og núverandi flettiskilti sem sett var samkvæmt leyfi frá 20.12. 2000 á gafl húss á lóð nr. 22 við Grensásveg.  Meðfylgjandi er bréf eiganda dags. 4.10. 2016.  Gjald kr. 10.100
51776 (01.62.880.1),BN051776,Hlíðarendi 6-10,Stækka heiðursstúku - 3.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að stækka heiðursstúku á 3. hæð þannig að B-rými verður að A-rými í áhorfendastúku Knattspyrnufélagsins Vals á lóð nr. 6-10 við Hlíðarenda.   Stækkun: XX ferm.,  XX rúmm.  Gjald kr. 10.100"
51664 (01.52.030.1),BN051664,Hringbraut 119,Sparro pizzusölustaður -1.hæð,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,Sótt er um leyfi til að innrétta pizzusölustað í rými 0106 í húsi á lóð nr. 119 við Hringbraut.  Gjald kr. 10.000
51112 (01.17.200.1),BN051112,Hverfisgata 40,Brynjureitur - Fjölbýlishús og atvinnuhúsnæði,Frestað. Vísað til athugasemda á umsóknarblaði og leiðbeininga í umsögn skipulagsfulltrúa dags. 4. október 2016.,"Sótt er um leyfi til að byggja íbúðar- og atvinnuhús með 72 íbúðum og verslunum á jarðhæðum, 3 - 6 hæðir á sameiginlegum bílakjallara með 20 stæðum á Brynjureit á lóð nr. 40 við Hverfisgötu.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 7. október 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 4. október 2016.  Einnig brunahönnun frá EFLU uppfærð í september 2016 og bréf frá hönnuðum dags. 13. maí og 20. september 2016.  Stærð A-rými:  6.495,8 ferm., 22.519,3 rúmm.  B-rými:  213,1 ferm., 736,7 rúmm.  C-rými:  677 ferm.  Gjald kr. 10.100"
51575 (01.17.301.3),BN051575,Hverfisgata 82,Kaffihús fl.1 - 0101,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta hárgreiðslustofu í rými 01-0101 í kaffihús í flokki l, tegund e, í húsi nr. 82 við Hverfisgötu.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 30. september 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 27. september 2016.  Samþykki eiganda fylgir erindi.  Gjald kr. 10.100"
51762 (01.54.310.6),BN051762,Kvisthagi 11,Breyta skráningu,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um breytta skráningu ibúðar með fastanúmer 202-7818 í að vera samþykkt íbúð  samanber fyrirspurn BN051685 dags. 20.9. 2016, þar er farið er fram á íbúðaskoðun, sem nú fylgir með fyrir íbúðina á jarðhæð fjöleignahúss á lóð nr. 11 við Kvisthaga .  Meðfylgjandi er íbúðarskoðun dags. 23.9. 2016. Bréf eiganda dags. 15.9. 2016. Fylgiskjöl sem sýna skráningu og eignaskiptalýsingu.  Gjald kr. 10.100"
51659 (04.99.870.9),BN051659,Lambasel 38,Einbýlishús,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að byggja einnar hæðar timburhús með innbyggðum bílskúr og ytra byrði steinað á lóð nr. 38 við Lambasel.   Orkurammi dags. 28. sept. 2016 fylgir.  Stærð húss er: 182,8 ferm., 749,1 rúmm.   Gjald kr. 10.100"
