nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
51786 (04.94.310.1),BN051786,Akrasel 8,Reyndarteikningar,Frestað. Erindið er til umfjöllunar hjá embætti skipulagsfulltrúa.,"Sótt er um leyfi fyrir áður gerðum breytingum sem felast í því að stigi milli hæða hefur verið fjarlægður, íbúð innréttuð í kjallara og óútgrafið rými tekið í notkun, í húsi á lóð nr. 8 við Akrasel.  Stækkun A-rými 67,1 ferm., 164,4 rúmm.  Gjald kr. 10.100"
50820 (01.29.000.1),BN050820,Ármúli 4-6,4 - Kaffihús og lyfta við stigahús,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir áður gerðum innri breytingum sem felast í að koma fyrir lyftu á milli 1. og 3. hæðar og innrétta kaffihús í flokki II  í húsi nr. 4 á lóð nr. 4 til 6 við Ármúla.  Umsögn burðarvirkishönnuðar dags. 28. apríl 2016 fylgir.  Gjald kr. 10.100
51288,BN051288,Árskógar 1-3,Fjölbýlishús,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um leyfi til að byggja tvö steinsteypt 26 íbúða fjölbýlishús, fjórar hæðir og léttbyggða, inndregna 5. hæð og bílgeymslu fyrir 40 bíla á lóð nr. 1-3 við Árskóga.  Bréf frá arkitekt, dags. 14.06.2016 og 05.07.2016, fylgir umsókn.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 30. september 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 27. september 2016.  Stærðir:    Mhl.01 A-rými:  3.768,8 ferm., 11.689,9 rúmm. B-rými:  241,6 ferm., 688,6 rúmm. C-rými:  246,0 ferm.  Mhl.02 A-rými:  3.794,1 ferm., 11.745,9 rúmm. B-rými:  250,8 ferm., 714,8 rúmm. C-rými:  246,8 ferm.  Mhl.03 A-rými:  54,0 ferm., 518,4 rúmm. B-rými:  1.476,9 ferm., 4.488,9. C-rými:  188,9 ferm.  Gjald kr. 10.100"
50484 (01.18.450.5),BN050484,Baldursgata 25B,Áður gert - íbúð 0101,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðri íbúð 0102 í húsi á lóð nr. 25B við Baldursgötu.  Erindi fylgir samþykki meðlóðarhafa dags. 17. maí 2015, samþykki eiganda 0101 um aðgengi að orkumælum dags. 6. október 2016 og samþykki eiganda húss nr. 25 um aðgengi yfir þá lóð dags. 1. nóvember 1922.  Gjald kr. 10.100"
51797 (01.17.101.8),BN051797,Bankastræti 11,Reyndarteikningar v/eignaskiptayfirlýsingar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki á áður gerðum breytingum í matshlutum 01 og 02 vegna gerðar eignaskiptasamnings fyrir fjöleignahús á lóð nr. 11 við Bankastræti.   Gjald kr. 10.100
51780 (01.19.032.6),BN051780,Bergþórugata 23,Franskar svalir x 4,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta erindi BN049455, að byggja fernar svalir að inngarði og einar franskar svalir á horni að götu í íbúðarhúsi á lóð nr. 23. við Bergþórugötu.  Gjald kr. 10.100"
51743 (04.05.920.1),BN051743,Bíldshöfði 2,Breytingar á starfsmannaaðstöðu,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til að breyta innra skipulagi í starfsmannaaðstöðu þar sem sturtum eru fjölgað og komið er fyrir setlaug og fyrir nýju salerni fyrir viðskiptavini í mhl. 02, bílaþjónustuhúsi á lóð nr. 2 við Bíldshöfða.   Gjald kr. 10.100"
51799 (04.63.040.2),BN051799,Blöndubakki 6-20,Klæðning,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að klæða suðurhliðar með sléttri 2 mm. þykkri álklæðningu fest á leiðarakerfi úr áli og með 50 mm steinull og þar sem við á er múrhúð löguð og máluð á húsinu á lóð nr. 6 - 20 við Blöndubakka.   Gjald kr. 10.100
51317 (00.01.930.0),BN051317,Brautarholt 5 173345,Kjúklinga- og eggjabú,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta svínabúi í kjúklinga- og eggjabú í húsi á lóð nr. 5 við Brautarholt Kjalarnesi.  Stækkun 35,7 ferm., 135,7 rúmm.  Gjald kr. 10.100."
51812 (01.24.120.4),BN051812,Brautarholt 6,Breyting - BN050100,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að breyta áður samþykktu erindi BN050100 sem felst í því að fjölga íbúðum á fjórðu hæð úr sex í sjö ásamt fjölgun svala og útlitsbreytingum í húsi á lóð nr. 6 við Brautarholt.  Minnkun: 2,2 ferm., 18,8 rúmm.   Gjald kr. 10.100"
51791 (01.45.400.1),BN051791,Dugguvogur 6,LED skjár á þak,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að setja LED skjá, jafn stóran núverandi skilti frá 1990, á þak byggingarinnar á lóð nr. 6 við Dugguvog"
51747 (01.36.640.3),BN051747,"7"">Engjateigur  3-5",3 - Breyting  2.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að sameina eignarhluta úr tveimur í einn, fjarlægja vegg í kjallara, koma fyrir stiga milli fyrstu og annarar hæðar, breyta innra skipulagi og útbúa nýjan bakinngang á hús nr. 5 á lóð nr. 3-5 við Engjateig.  Tölvupóstur frá umsækjanda dags. 27. september 2016, umsögn burðarvirkishönnuðar dags. 6. október 2016 og béf frá hönnuði dags. 5. október 2016 fylgja erindi.   Gjald kr. 10.100"
51847 (01.36.650.1),BN051847,Engjateigur 7,takmarkað byggingarleyfi,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um takmarkað byggingarleyfi til að rífa niður létta innveggi og niðurhengd loft sem ekki nýtast við endurbyggingu hússins á lóðinni nr. 7 við Engjateig í samræmi við stofnerindi BN051504.
51825 (01.08.770.2),BN051825,Fiskislóð  24-26,26 - Breyting inni 1.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyf til að útbúa veislueldhús fyrir aðkeyptar veitingar, breyta veggjum í anddyri og breyta aðstöðu starfsfólk  á 1. hæð norðurenda hússins nr. 26 á lóð nr. 24-26 við Fiskislóð   Gjald kr. 10.100"
51586 (04.97.040.3),BN051586,Fífusel 25-41,39 - Klæðning,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að klæða með litaðri sléttri álklæðningu sem fest er á málmgrind á útvegg og einangrað með 100 mm  steinull á norður-, suður-  og vesturhlið húss nr. 39 á lóð nr. 25 - 41 við Fífusel.  Umsögn burðarvirkishönnuðar dags. í ágúst 2016  og samþykki meðeiegenda fylgir erindi.  Gjald kr. 10.100 + 10.100"
51779 (01.44.410.1),BN051779,Gnoðarvogur 44-46,44 - Dominos 01-02,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að endurinnrétta veitingastað í flokki l - teg. d í húsi á lóð nr. 44 við Gnoðarvog.  Gjald. kr. 10.100
51823 (01.11.250.1),BN051823,Grandagarður 20,Tölvurými - stækkun,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að stækka töflurými í fullu samráði við Veitur ohf. í spennistöð á lóð nr. 20 við Grandagarð.  Gjald kr. 10.100
51789 (01.52.040.1),BN051789,Grandavegur 42,Breytingar,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um leyfi til breytinga á erindi BN046483 sem felast í að í matshlutum 01, 02, 03 og 04 eru breytingar á innra skipulagi, í matshlutum 01, 02 og 03 er bætt við steyptum veggjum og reyklosun í lyftuhúsum, eignarhaldi á bílastæðum í bílageymslu er breytt, möguleikar á heitum pottum í matshluta 05 eru felldir niður og burðarvirki er breytt í fjölbýlishúsi á lóð nr. 42 við Grandaveg.  Gjald kr. 10.100"
51009 (01.29.540.6),BN051009,Grensásvegur 12,Ofanábygging - íbúðir 2. 3. og 4.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja inndregna hæð ofan á, svalir á bakhlið og innrétta 24 íbúðir á 2. 3. og 4. hæð, einnig að afmarka sérnotafleti á lóð húss nr. 12 við Grensásveg.  Jafnframt er erindi BN048915 dregið til baka.  Stækkun:  558,3 ferm., 1.863,4 rúmm.  Gjald kr. 10.100"
51819 (01.19.011.0),BN051819,Grettisgata 54B,Kjallari - breyta aðgengi,Frestað. Lagfæra skráningu.,"Sótt er um leyfi til að breyta erindi BN050495, að koma fyrir inngangi í kjallara í húsi á lóð nr. 54B við Grettisgötu.  Gjald kr. 10.100"
51830 (02.22.000.1),BN051830,Gufunes Áburðarverksm,Saltskemma - stöðuleyfi,Synjað. Sækja þarf um byggingarleyfi.,"Sótt er um stöðuleyfi til eins árs fyrir mannvirki sem á að geyma salt sem er síðar borið á götur borgarinnar á lóð í Gufunes áburðarverksmiðja.  Stærðir : XX ferm., XX rúmm.   Gjald kr. 10.100"
51618 (01.14.020.4),BN051618,Hafnarstræti 4,Veitingahús í flokki 3  (Veltusund 1),Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innréttingum fyrir veitingastað í flokki 3 teg. A fyrir 130 gesti á 2. og 3. hæð, sem felast í að snyrtingu er breytt í móttöku, breytingar í eldhúsi og loftræsing sýnd á 2. hæð og innri skipan sæta á 3. hæð breytt í húsi á lóð nr. 4 við Hafnarstræti (Veltusund 1).  Meðfylgjandi er samþykki lóðarhafa á Austurstræti 3, dags. 12.10. 2016. Gjald kr. 10.100"
51814 (01.55.--9.7),BN051814,Hagatorg Hótel Saga,"Breyting kjallara - loftræisiblásari, skábraut",Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi fyrir breytingum á nýsamþykktu erindi BN051668 dags. 27.9. 2016 sem felast í stækkun rýmis fyrir loftblásara eldhúss í kjallara ásamt fitu- og fastefnaskiljum við hlið skábrautar sem breikkar í kjallara Hótels Sögu á lóð nr. 1 við Hagatorg.  Gjald kr. 10.100
51710 (04.41.120.1),BN051710,Hádegismóar 8,Breyting - stækkun o.fl. - BN051207,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.","Sótt er um leyfi til að breyta erindi BN051207, þær helstu eru að byggt er út frá mátlínu 13 til 14 og komið fyrir millipalli, rými 0015 í húsi á lóð nr. 8 við Hádegismóa.  Uppfærð brunaskýrsla dags.  í september 2016 og nýr og breyttur orkurammi dags. 23. ágúst 2016 fylgja erindi.  Stækkun frá áður samþykktu erindi:  287,9 ferm., 2800,5 rúmm  Gjald kr. 10.100"
