nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
18525 (01.01.261.201 01),BN018525,Ármúli 3,Loftnet,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að setja loftnet á þak 6. hæðar hússins á lóðinni nr. 3 við Ármúla.  Gjald kr. 2.500
18374 (01.01.292.103),BN018374,Ármúli 28,Br. inni og úti,Frestað. Nú vantar einungis samþykki Ísbarr ehf.,"Sótt er um leyfi til þess að saga op í plötu milli 1. og 2. hæðar, stækka glugga á  götuhlið þannig að gluggaflötur verði frá 1. og að 3. hæð og breyta innra skipulagi á öllum þremur hæðum hússins á lóðinni nr. 28 við Ármúla.  Gjald kr. 2.500  Umsögn Borgarskipulags dags. 15. febrúar 1999 fylgir erindinu."
18442 (01.01.292.104),BN018442,Ármúli 30,br. innanhúss og útlitsbr.,Frestað. Nú vantar einungis samþykki Ísbarr ehf.,"Sótt er um leyfi til þess að breyta innra skipulagi á hluta 1. hæðar, eignarhluta Europay, á lóðinni nr. 30 við Ármúla.  Gjald kr. 2.500  Umsögn Borgarskipulags dags. 15. febrúar 1999 fylgir erindinu."
18520 (01.02.421.106),BN018520,Bakkastaðir 51,Nýtt hús (minnkun),Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til að minnka hús frá áður samþykktum teikningum frá 26. nóvember 1998 á lóðinni nr. 51 við Bakkastaði.    Stærð: 154,9 ferm., 2. hæð 17,4 ferm., bílgeymsla 50,0 ferm., samtals 219,6 ferm., 750,9 rúmm., samtals minnkun um 8,3 ferm., 25,8 rúmm.  Gjald kr. 2.500"
18471 (01.02.407.604),BN018471,Bakkastaðir 95,Steypa hús á hefðbundinn hátt í stað plastkubba,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til að hætta við áður samþykkta byggingaraðferð, steypt í einangrunarmót og byggja nú úr steypu á hefðbundin hátt.  Gjald kr. 2.500"
18455 (01.01.702.017 01),BN018455,Barmahlíð 23,Áður gerð íbúð í kjallara,Samþykkt. Samræmist reglum um áður gerðar íbúðir.,"Sótt er um samþykki fyrir áður gerðri íbúð í kjallara hússins á lóðinni nr. 23 við Barmahlíð.  Gjald kr. 2.500  Ljósrit úr manntali frá 16. október 1952, samþykki meðeiganda dags. 15. febrúar 1999, íbúðaskoðun byggingarfulltrúa dags. 25. janúar 1999 og bréf hönnuðar dags. 16. febrúar 1999 og 3. mars 1999 fylgir erindinu."
18423 (01.01.154.413),BN018423,Barónsstígur 3,Áður gert þvottahús,Frestað. Enn vantar samþykki meðeigenda.,Sótt er um leyfi fyrir áður gerðri innréttingu þvottahúss sem hefur verið í rekstri síðastliðin 10 ár og breikkun dyra á suðurhlið í húsinu á lóðinni nr. 3 við Barónsstíg.  Gjald kr.2.500
18511 (01.01.185.202),BN018511,Bergstaðastræti 40,áður gerð íbúð í kjallara,Synjað. Samræmist ekki ákvæðum byggingarreglugerðar.,Sótt er um samþykki fyrir áður gerðri einstaklingsíbúð í kjallara og áður gerðum breytingum í húsinu á lóðinni nr.40 við Bergstaðastræti.  Gjald kr. 2.500  Greinagerð hönnuðar fylgir erindinu.
18433 (01.01.186.007 01),BN018433,Bergstaðastræti 53 - Sambýlishús,"áður gerð íbúð, reyndart. v. eignask.",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Athygli umsækjanda er vakin á því að núverandi fyrirkomulag uppfyllir ekki ákvæði gildandi byggingarreglugerðar um brunavarnir.,"Sótt er um samþykki fyrir áður gerðum kjallara og skiptingu íbúðar 1. hæðar í tvær íbúðir á lóðinni nr. 53 við Bergstaðastræti.  Gjald kr. 2.500  Ljósrit af afsölum dags 17. apríl og 30. október 1947, hússkoðun heilbrigðiseftirlits dags. 3. nóvember 1997, íbúðaskoðun byggingafulltrúa dags. 3. nóvember 1997 og samþykki meðeiganda dags. 20. desember 1998 fylgir erindinu."
18547 (01.01.221.002),BN018547,Borgartún 20,br.1. hæðar og stækk. anddyri,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að byggja við anddyri og breyta innra skipulagi 1. hæðar hússins á lóðinni nr. 20 við Borgartún.  Stærð: xxx  Gjald kr. 2.500 + xxx
18540 (01.01.250.103),BN018540,Brautarholt 26,Hækka þak o.fl.,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar Borgarskipulags.,"Sótt er um leyfi til þess að hækka þak, breyta innra skipulagi 3. hæðar, fjarlægja hluta burðarveggja 3. hæðar, setja glugga til vesturs á 3. hæð, breyta gluggum 1. og 2. hæðar og inngangi til samræmis við áfast hús nr. 28 og byggja skýli fyrir sorp á lóð nr. 27 við Skipholt tengt með sorprennu frá 3. hæð hússins á lóðinni nr. 26 við Brautarholt.  Stærð: xxx  Gjald kr. 2.500 + xxx  Bréf vegna samkomulags við eigandi Skipholt 27 dags. 22. apríl 1997 fylgir erindinu."
18479 (01.02.352.502 01),BN018479,Breiðavík 85 - Einbýlishús,Gluggi felldur niður,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,Sótt er um leyfi fyrir niðurfellingu á glugga í forstofuherbergi og færslu á björgunaropi í húsinu á lóðinni nr. 85 við Breiðuvík.  Gjald kr. 2.500
18498 (01.02.845.601),BN018498,Brekkuhús 1,Br. á stærð rýma,"Frestað. Vantar samþykki meðeigenda, gera grein fyrir eignarhaldi viðkomandi rýma.",Sótt er um leyfi til þess að sameina rými 0102 og 0103 og leiðrétta skráningu á lóðinni nr. 1 við Brekkuhús.  Gjald kr. 2.500
18518 (01.02.425.301),BN018518,Brúnastaðir 21-25,Milliloft innra skipulag.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfin til að byggja milliloft í húsinu á lóðinni nr.25 við Brúnastaði.  Stærð: Milliloft 19,5 ferm.  Gjaldd kr.2.500"
18513 (01.02.425.302),BN018513,Brúnastaðir 27-31,"5 óuppfylltum rýmum breytt í baðherbergi og óráðst.rými
Innra skipulagi breytt, glugga bætt við á gafl húss nr. 31",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til að nýta óuppfyllt rými í baðherbergi, breyta innra skipulagi á nr. 27 - 31, bæta við glugga á norðausturgafli á nr. 31 og nýta óuppfyllt rými í nr. 27 og 29 sem óráðstafað í húsunum á lóðinni nr. 27  - 31 við Brúnastaði.   Stærð: Hús nr. 27, 1. hæð 115,4 ferm., 2. hæð 86,1 ferm., bílgeymsla 29,3 ferm.,Samtals 230,3 ferm 939,5 rúmm., hús nr. 29, 1. hæð 114,1 ferm., 2. hæð 84,7 ferm., bílgeymsla 29,3 ferm., Samtals 228 ferm 704,2 rúmm., hús nr.31, 1. hæð 93,3 ferm., 2. hæð 86,1 ferm., bílgeymsla 29,3 ferm., samtals 208,7 ferm 653,6 rúmm., Samtals stækkun, 85,6 ferm., 227 rúmm.    Gjald kr.2.500 + 5.675"
