nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
20579 (01.01.247.103 01),BN020579,Auðarstræti 11,Reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir áður gerðri íbúð í kjallara og reyndarteikningum af húsinu á lóðinni nr. 11 við Auðarstræti.  Gjald kr. 4.100  Skoðunarskýrsla byggingarfulltrúa dags. 12. október 1998 og virðingargjörð dags. 21. júní 1938 fylgir erindinu ásamt samþykki meðeigenda dags. 16. mars 2000).
20695 (01.14.050.4),BN020695,Austurstræti 22,Breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að breyta innra skipulagi skemmtistaðarins Astró á lóðinni nr. 22 við Austurstræti.  Gjald kr. 4.100
20654 (01.04.911.301 03),BN020654,Árskógar 6-8,V. eignaskipta,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir áður gerðum breytingum á bílageymslukjallara og fyrir skráningu húss nr. 6-8 á lóðinni nr. 2-8 við Árskóga.  Gjald kr. 4.100
20688 (02.40.750.2),BN020688,Bakkastaðir 165,Br. byggingaraðf.,Frestað. Skila skal vottun vegna eininga.,"Sótt er um leyfi til þess að breyta byggingaraðferð  fjölbýlishúss og bílskúrs úr staðsteyptu í forsteyptar einingar og leiðrétta stærðir á lóðinni nr. 165 við Bakkastaði.  Stærð: Matshluti 01 var 1. hæð 399,6 ferm., verður 400,4 ferm., 2. hæð var 367,5 ferm., verður 368,1 ferm., samtals 768,5 ferm., 2473,6 rúmm., matshluti 02 er óbreyttur 85,1 ferm., 298,3 rúmm., samtals á lóð 853,6 ferm., 2771,9 rúmm., en var bókað 852,2 ferm., 1376,6 rúmm.  Gjald kr. 4.100  + 57.207"
20672 (01.02.421.105),BN020672,Bakkastaðir 49,"Breytingar, hringstigi.",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Athugið að ídráttarrör skal vera fyrir kaldavatnsheimæð.,Sótt er um leyfi til þess að setja hringstiga milli fyrstu og annarrar hæðar hússins á lóðinni nr. 49 við Bakkastaði.  Gjald kr. 4.100
20549 (02.42.220.1 03),BN020549,Barðastaðir 13-15 - Bílskúr,Fella niður vegg,Frestað. Leiðrétta skráningu.,Sótt er um leyfi til þess að fjarlægja vegg milli bílgeymsla nr. 0105 og 0106 á lóðinni nr. 13-15 við Barðastaði.  Gjald kr. 4.100
20679 (01.19.502.2),BN020679,Barónsstígur 49,Rendarteikningar v/eignaskipta,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir reyndarteikningum af húsinu á lóðinni nr. 49 við Barónsstíg vegna gerðar eignaskiptayfirlýsingar.  Gjald kr. 4.100
20545 (01.04.059.201 01),BN020545,Bíldshöfði 2,Afgreiðslubúnaður,"Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Þinglýsa skal kvöð sem fram kemur í bréfi gatnamálastjóra, kostnaður af lagfæringu á borgarlandi greiðist af umsækjanda.",Sótt er um leyfi til þess að setja upp afgreiðslubúnað fyrir gas á bifreiðar við lóðina nr. 2 við Bíldshöfða.  Gjald kr. 4.100   Bréf gatnamálastjóra dags. 3. mars 2000 fylgir erindinu.
20633 (01.01.713.019 01),BN020633,Blönduhlíð 29,Reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir núverandi útliti og innra skipulagi matshluta 01 á lóðinni nr. 29 við Blönduhlíð.  Gjald kr. 4.100  Samþykki meðeigenda dags. 28. febrúar 2000 fylgir erindinu.
20628 (01.01.219.102 01),BN020628,Borgartún 37,Stækka kjallara,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til þess að stækka kjallara um áður aflokað óuppfyllt rými og leiðrétta stærðir í húsi nr. 37 á lóðinni nr. 35-37 við Borgartún.  Stærð: Kjallari var 1057,8 ferm., verður 1217,1 ferm., 5. hæð var 1018 ferm., verður 1021,9 ferm., verður samtals 6545,9 ferm., 23454,8 rúmm.  Gjald kr. 4.100 + 23.805"
20432 (04.02.840.1),BN020432,Breiðhöfði 11,viðbygging,Frestað. Lagfæra teikningar.,"Sótt er um leyfi til þess að byggja viðbyggingu úr timbri og breyta innra skipulagi matshluta 3 á lóðinni nr. 11 við Breiðhöfða.    Stærð: Stækkun 34,9 ferm., 114,1 rúmm.  Gjald kr. 4.100 + 4.678  Samþykki Orkuveitu Reykjavíkur dags. 9. mars 2000 og bréf hönnuðar dags. 28. febrúar 2000 fylgir erindinu."
20677 (01.13.410.8),BN020677,Brekkustígur 2,"Setja upp milliloft og stiga,setja upp salernisaðstöðu
glugga á þak v/flóttaleið við eldhús",Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi, setja upp milliloft og koma fyrir þakgluggum í húsinu á lóðinni nr. 2 við Brekkustíg.  Stærð: Milliloft 71,7 ferm.  Gjald kr. 4.100  Húsaleigusamningur dags. 18. mars 1999,  umsögn Árbæjarsafns dags. 17. mars 2000 og umsögn Húsafriðunarnefndar dags. 17. mars 2000 fylgja erindinu."
20571 (01.45.220.1),BN020571,Dugguvogur 4,Viðbygging,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til þess að byggja einlyfta viðbyggingu úr stálgrindareiningum klæddum með bárujárni og sameina matshluta á lóðinni nr. 4 við Dugguvog. Viðbyggingin er ætluð til geymslu og hleðslu á rafmagnslyfturum.   Stærð: Viðbygging 115,4 ferm, 379,8 rúmm.  Gjald kr 4.100 + 15.572"
19982 (01.45.411.5),BN019982,Dugguvogur 9-11,Reyndarteikningar v/eignaskipta,Frestað. Vísað til fyrri athugasemda. Vakin er athygli á því að þetta er í þriðja sinn sem erindið kemur til afgreiðslu án þess að tillit sé tekið til athugasemda.,Sótt er um leyfi fyrir áður gerðum breytingum á innra fyrirkomulagi og útliti hússins á lóðinni nr. 9-11 við Dugguvog. Jafnframt er sótt um leyfi til að breyta áður samþykktu opnu bílskýli á lóðinni í lokað rými.  Stækkun: xx  Gjald kr. 2.500 + xx
20587 (04.94.860.1),BN020587,Engjasel 29-43,"Klæðning, sjá meðf. bréf
Endurnýjun á byggingarl.",Frestað. Ástandsskýrsla ófullnægjandi.,"Sótt er um  endurnýjun á leyfi frá 1991 til þess að einangra og klæða að utan með garðastáli húsið nr. 33-35 á lóðinni nr. 29- 45 við Engjasel. Eftir er að klæða vesturhlið (framhlið) hússins.  Gjald kr. 4.100  Bréf húsfélagsstjórna Engjasels 33 og Engjasels 35 dags. í febrúar 2000 fylgir erindinu, bréf Sveins Karlssonar byggingartæknifræðings dags. 8. mars 2000 fylgir erindinu."
20314,BN020314,Engjavegur 6,Eldvarnauppdrættir o.fl.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir endurbótum á eldvörnum og fyrir áður gerðum breytingum á innra skipulagi aðalega á 1. hæð húss 3 þar sem gistirými er breytt í skrifstofur í  Íþróttarmiðstöðinni í Laugardal.  Gjald kr. 4.100
20640,BN020640,Engjavegur 6,Breyting á innréttingu,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til þess að breyta innra skipulagi 2. og 3. hæðar húss 2 á lóðinni nr. 6 við Engjaveg.  Gjald kr. 4.100  Samþykki meðeigenda (á teikningu) fylgir erindinu.
20637 (32.47.531.0),BN020637,Esjugrund 62,Bílskúr úr húsi út á lóð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til þess að byggja steinsteyptan stakstæðan bílskúr við vesturlóðamörk og stækka við það íbúð endaraðhúss nr. 62 sem nemur áður samþykktri innbyggðri bílgeymslu á lóðinni nr. 58-62 við Esjugrund.  Stærð: Hús nr. 62 íbúð verður 112,8 ferm., nýr bílskúr 28 ferm., 77,8 rúmm.  Gjald kr. 4.100 + 3.190"
20638 (02.47.520.3),BN020638,Esjugrund 68,Bílskúr úr húsi út á lóð.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til þess að byggja steinsteyptan bílskúr á vesturlóðamörkum og stækka við það íbúð endaraðhúss nr. 68 sem nemur áður samþykktri innbyggðri bílgeymslu á lóðinni nr. 64-68 við Esjugrund.  Stærð: Hús nr. 68 íbúð verður 112,8 ferm., nýr bílskúr 28,8 ferm., 77,8 rúmm.  Gjald kr. 4.100 + 3.190"
