nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
31134 (00.01.000.0),BN031134,Álfsnes 125650,"riffilskýli, skotturnar",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að byggja skotskýli við skotbraut ásamt átta skotturnum við leirdúfuskotsvæði á lóð Skotfélags Reykjavíkur á norðanverðu Álfsnesi.  Stærð: Riffilskýli (matshl. 02) 146,5 ferm. og 462,4 rúmm.  Skotturn A (matshl. 03) 12,6 ferm. og 29,6 rúmm.  Skotturn B (matshl. 04) 6,3 ferm. og 17,1 rúmm.  Skotturn A (matshl. 05) 12,6 ferm. og 29,6 rúmm.  Skotturn B (matshl. 06) 6,3 ferm. og 17,1 rúmm.  Skotturn A (matshl. 07) 12,6 ferm. og 29,6 rúmm.  Skotturn B (matshl. 08) 6,3 ferm. og 17,1 rúmm.  Skotturn A (matshl. 09) 12,6 ferm. og 29,6 rúmm.  Skotturn B (matshl. 10) 6,3 ferm. og 17,1 rúmm.  Alls samtals 222,1 ferm. og 649,2 rúmm.  Gjald kr. 5.700 + 37.004"
31121 (01.82.420.8),BN031121,Ásendi 10,nýjar og áður gerðar breytingar,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um samþykki fyrir núverandi fyrirkomulagi íbúðarhúss, áður gerðu gróðurhúsi við austurhlið bílskúrs og áður gerðum skjólvegg vestan við bílskúrinn á lóðinni nr. 10 við Ásenda.  Samþykki nágranna Ásenda 8 dags. 28. febrúar 2005 og samþykki skráðra eigenda Ásenda 10 dags. 28. febrúar 2005 fylgja erindinu.  Stærð: Stækkun, áður gert gróðurhús 9,2 ferm. og 37,6 rúmm.  Gjald kr. 5.700 + 2.143"
30943 (01.16.211.1),BN030943,Ásvallagata 8,"viðbygging, breytingar",Frestað. Skipulagsferli ólokið.,"Sótt er um leyfi til þess að dýpka kjallara um 40cm, breyta innra fyrirkomulagi á öllum hæðum og byggja viðbyggingu að norðurhlið hússins á lóðinni nr. 8 við Ásvallagötu.  Jafnframt er sótt um leyfi til þess að byggja garðáhalda- og sorpskýli í norðausturhorni lóðar.  Umsögn Húsafriðunarnefndar dags. 10. febrúar 2005 og umsögn Árbæjarsafns dags. 18. febrúar 2005 fylgja erindinu.  Undirskrift burðarvirkishönnuðar fylgir erindinu (á teikn.).  Stærð: Stækkun viðbygging 23,8 ferm. og 127,1 rúmm.  Sorpskýli á lóð: 4,1 ferm. og 8,7 rúmm.  Gjald kr. 5.700 +7.741"
29739 (01.17.020.3),BN029739,Bankastræti 4,innra fyrirkomulag,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir núverandi fyrirkomulagi í verslunarhúsi (matshl. 01) á lóðinni nr. 4 við Bankastræti vegna gerðar eignaskiptayfirlýsingar.  Gerð er grein fyrir áður gerðum breytingum á innra og ytra fyrirkomulagi og sýndar eru þrjár séreignir í húsinu í stað einnar.  Samþykki meðeigenda (á teikn.) fylgir erindinu.  Gjald kr. 5.400
31223 (01.67.210.7),BN031223,Bauganes 13,kjallari í leikskóla,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir innra skipulagi kjallara  leikskólans Skerjakot, ásamt núverandi stærð annarrar hæðar hússins á lóð nr. 13 við Bauganes.  Gjald kr. 5.700"
31038 (04.06.410.1),BN031038,Bíldshöfði 12,br á innra frkl á 3. hæð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Við umfjöllun máls þessa hafa meðeigendur í húsinu haldið því þráfaldlega fram að umsækjandi hyggðist leigja húsnæði sitt út til íbúðar. Fyrir þetta er þvertekið í bréfi lögmanns umsækjanda frá 23. desember 2004. Meðeigendum mun verða kynnt sú samþykkt sem hér hefur verið gerð. Embætti byggingarfulltrúa mun fylgjast með framvindu mála í húsinu. Komi til ólögmætra notkunarbreytinga á húsnæðinu verður samstundis tekið á málinu með vísan til 11. kafla byggingarreglugerðar nr. 441/1998.,Sótt er um leyfi til að breyta innra fyrirkomulagi í austurhluta þriðju hæðar framhúss (mhl 01) á lóðinni nr. 12 við Bíldshöfða.  Lagt fram tölvubréf húsfélagsins Bíldshöfða 12 dags. 7. júlí 2004 og bréf Gunnars Guðjónssonar hdl. dags. 23. desember 2004. Jafnframt lögð fram greinargerð Tækniþjónustu Ragnars G. Gunnarssonar dags. 15. mars 2005.   Gjald kr. 5.700
31188 (01.21.810.3),BN031188,Borgartún 29,br í kj. og 1. hæð austurendi,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innra fyrirkomulagi í kjallara og á fyrstu hæð í austuhluta hússins nr. 29 við Borgartún. Jafnframt er sótt um leyfi til að sameina notaeiningar,  breyta útliti og breyta fyrirkomulagi sorpgeymslu á lóðinni.  Erindinu fylgir umsögn burðarvirkjahönnuðar dags. 8. mars. 2005.  Gjald kr. 5.700"
31133 (01.22.000.2),BN031133,Borgartún 6,viðbyggingar og br. skipulag og notkun,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja við, breyta útliti og breyta innra fyrirkomulagi á öllum hæðum hússins nr. 6 við Borgartún.   Erindinu fylgir greinargerð hönnuðar dags. 1. mars 2005 brunahönnunarskýrsla dags. 1. mars 2005.  Greiða skal fyrir 7,4 bílastæði í flokki III.  Stækkun: xx  Gjald kr. 5.700 + xx"
31024 (01.70.420.7),BN031024,"24"">Drápuhlíð 14",lyfta + breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að setja upp lyftu milli allra hæða, bæta eldvarnir og breyta innra skipulagi lítillega í heilsugæslustöðinni á lóð nr. 14 við Drápuhlíð.  Gjald kr. 5.700"
31088 (01.45.400.2 02),BN031088,Dugguvogur 10,íbúð á efri hæð,Frestað. Vísað til athugasemda á umsóknarblaði. Ekki verður fjallað frekar um umsóknina fyrr en fyrir liggur vönduð úttekt viðurkennds brunahönnuðar á húsnæðinu ásamt greinargerð um hvernig staðið skuli að eldvörnum. Málinu skal einnig fylgja samþykki meðeigenda og meðlóðarhafa.,Sótt er um leyfi til að koma fyrir íbúð og vinnustofu í stað skrifstofuhúsnæðis á annarri hæð í norðurhluta (mhl 02) hússins nr. 10 á lóðinni nr. 8-10 við Dugguvog. Jafnframt verði gerðar svalir á vesturhlið íbúðarinnar og fyrirkomulagi á sorpgeymslum breytt.  Gjald kr. 5.700
