nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
31598 (01.14.030.8),BN031598,Austurstræti 17,klæðning,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að klæða gafla og framhlið atvinnuhússins með ljósum flísum nema dökkum flísum við aðalinngang að efri hæðum á suðurhlið hússins á lóð nr. 17 við Austurstræti.  Gjald kr. 5.700
31640,BN031640,Austurstræti 8-10,br. á geymslu í kj.,Frestað. Vísað til athugasemda á umsóknarblaði. Uppfæra texta á uppdrætti.,Sótt er um leyfi til að hólfa af geymslurými í notaeiningu 0001 í húsinu nr. 8-10 við Austurstræti.  Gjald kr. 5.700
31622 (00.01.000.0),BN031622,Álfsnes 125650,færanlegt félagsheimili,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að setja upp færalegt félagsheimili á lóð Skotfélags Reykjavíkur á Álfsnesi.  Stærð: 78 ferm., 304,2 rúmm.  Gjald kr. 5.700 + 17.339"
31626 (01.71.011.1),BN031626,Barmahlíð 54,áður gerð íb. risiíb.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir áður gerðri íbúð á rishæða fjölbýlishússins á lóð nr. 54 við Barmahlíð.  Virðingargjörð dags. 16. janúar 1950 og samþykki meðeigenda (á teikningu) fylgja erindinu.  Gjald kr. 5.700
30936 (01.70.201.0),BN030936,Barmahlíð 9,hækka þak,Frestað. Lagfæra skráningu.,"Sótt er um leyfi til þess að hækka mænishæð þaks, byggja kvisti og svalir og taka í notkun rishæð (3. hæð) hússins á lóðinni nr. 9 við Barmahlíð.  Jafnframt er sótt um að breyta svölum á fyrstu og annarri hæð og byggja kjallarainngang á norðurhlið hússins.  Samþykki meðeigenda dags. 31. janúar 2005 fylgir erindinu.  Málið var í kynningu frá 23. febrúar til 22. mars 2005. Lagður fram athugasemdarlisti 11 húseigenda og leigutaka að Miklubraut 50 og 52, dags. 17.03.05 og bréf eigenda að Miklubraut 50, dags. 22.03.05. Einnig lögð fram umsögn skipulagsfulltrúa, dags. 1.04.05.  Stærð: Stækkun rishæð 67,6 ferm. og 104,1 rúmm.  Gjald kr. 5.700 + 5.934"
30471 (01.18.401.1),BN030471,Bergstaðastræti 20,niðurrif,Frestað. Fyrirliggjandi er deiliskipulagstillaga frá 8. mars 2005 þar sem gert er ráð fyrir að húsið nr. 20 við Bergstaðastræti standi áfram og á næstu tvær lóðir fyrir vestan komi flutningshús þ.e. lóðir nr. 16 og 18. Gild rök þurfa því að fylgja niðurrifsbeiðni hússins nr. 20. Húsið er byggt árið 1905 og vantar því umsagnir Minjasafns Reykjavíkur og Húsafriðunarnefndar ríkisins svo unnt sé að taka afstöðu til niðurrifsbeiðnar.,"Sótt er um leyfi til þess að rífa húsið á lóðinni nr. 20 við Bergstaðastræti.   Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 19. nóvember 2004 fylgir erindinu.  Málinu fylgir bréf Þ.G. verktaka ehf. dags. 10. maí 2005 þar sem m.a. er ítrekuð ósk um niðurrif hússins.  Stærð hússins er 163,8 ferm. og 743,1 rúmm.  Í húsinu eru tvær íbúðir (fastanr. 200-6831 og 200-6832, landnr. 102006)  Gjald kr. 5.400"
31638 (04.06.400.1),BN031638,Bíldshöfði 8,"stigahús, skyggni, skilti o.fl.",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja stigahús við norðurhlið og skyggni við austurhlið matshluta 02 á lóðinni nr. 8 við Bíldshöfða. Jafnframt verði ósamþykkt skýli við austurhlið rifið og innra fyrirkomulagi og útliti beggja mathluta á lóðinni breytt. Ennfremur er sótt um leyfi fyrir stakstæðu skilti við horn lóðar, skilti á þaki matshluta 01 og þrjú smærri veggskilti.  Stækkun: xx  Gjald kr. 5.700 + xx"
31200 (01.85.400.2),BN031200,Bjarmaland  1-7,"(7) skjólv.,heitur pottur o.fl.",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta þakkanti, klæða hluta útveggja með grágrýti og breyta gluggum frá nýsamþykktum uppdráttum ásamt leyfi til þess að setja upp heitan pott og timburskjólgirðingu á austurhluta sérnotahlutar einbýlishúss nr. 7 á lóð nr. 1-7 við Bjarmaland.  Samþykki sumra meðlóðarhafa (á teikningu) fylgir erindinu ásamt bréfi eiganda Bjarmalands 9 dags. 14. mars 2005. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 1. apríl 2005 fylgir erindinu.  Gjald kr. 5.700"
31614 (01.85.440.1 02),BN031614,Bjarmaland 12,endurnýjun á byggingarleyfi,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um endurnýjun á samþykkt á erindi nr. 28814 frá 17. feb. 2004 þar sem sótt var um ""leyfi til að byggja við húsið nr. 12 á lóðinni nr. 10-16 við Bjarmaland. Viðbygging verði norðan við húsið þar sem áður var útiverönd. Jafnframt verði óleyfisbyggingar, sem gerðar hafa verið á sama stað, fjarlægðar.""  Erindinu fygdi samþykki húseigenda að Bjarmalandi 6, 8, 10, 14 og 16 áritað á teikningar.  Stækkun: 23,1 ferm. og 72,4 rúmm.  Gjald kr. 5.700 + 4.126"
31631 (01.88.530.2),BN031631,Blesugróf 16,"útitröppur, áður gerður sólskáli o.fl.",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að stækka kjallaratröppur við austurhlið hússins nr. 16 við Blesugróf og breyta innra fyrirkomulagi í kjallara. Jafnframt er sótt um leyfi fyrir áður gerðri sólstofu við suðurhlið, áður gerðum glugga á norðurhlið í kjallara og áður gert snyrtiherbergi í kjallara.  Stækkun: xx  Gjald kr. 5.700 + xx"
