nr,url,heimilisfang,tegund,nidurstada,spurning
21535 (01.13.650.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021535,Aðalstræti 12 ,Breyting inni,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,Sótt er um leyfi til þess að breyta skráningu og innrétta veitingastað í kjallara og á fyrstu hæð hússins á lóðinni nr. 12 við Aðalstræti. Húsnæðið er skráð sem verslunarhúsnæði. Bréf hönnuðar dags. 19. júlí 2000 fylgir erindinu. Samþykki aðalhönnuða hússins dags. 24. júlí 2000 fylgir erindinu. Leigusamningur dags. 9. maí 2000 fylgir erindinu. Umsögn Borgarskipulags dags. 16. ágúst 2000 fylgir erindinu. Gjald kr. 4.100
21682 (01.14.040.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021682,Austurstræti 10A,br á innra frkl á 2.h og skráningu,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyft til þess að breyta innra fyrirkomulagi annarrar hæðar hússins á lóðinni nr. 10A við Austurstræti og breyta skráningu. Jafnframt er erindi nr. 20645 dregið til baka. Gjald kr. 4.100
21678 (01.14.030.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021678,Austurstræti 17 ,Heilsurækt.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að innrétta heilsuræktarstöð á fimmtu og sjöttu hæð hússins nr. 17 við Austurstræti. Í tengslum við heilsuræktarstöðina verður starfrækt lítil snyrtistofa og veitingar verða seldar í móttökurými. Gjald kr. 4.100
21577 (01.14.040.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021577,Austurstræti 8-10,"Br. kj og 1. hæð, líkamsrækt.",Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að innrétta líkamsræktarstöð í kjallara og á hluta 1. hæðar hússins á lóðinni nr. 8-10 við Austurstræti. Gjald kr. 4.100
21681 (01.14.040.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021681,Austurstræti 8-10,br á 2.-5. hæð og skráningu,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir innra fyrirkomulagi á annarri, þriðju, fjórðu og fimmtu hæð hússins nr. 8-10 við Austurstræti, til samræmis við framlagða uppdrætti. Jafnframt verði brunavarnauppdrættir fyrir áður nefndar hæðir í húsinu, sem samþykktir voru 15. apríl 1999, felldir úr gildi. Ennfremur er sótt um leyfi til að leiðrétta og breyta skráningu. Leiðréttar stærðir: Kjallari 520,5 ferm. (- 12,6), 1. hæð 505,7 ferm. (+1,8), 2. hæð 514,6 ferm. (+3,8), 3. hæð 511,1 ferm. (+1,7), 4. hæð 511,1 ferm. (+1,7), 5. hæð 400,3 ferm. (+2,3), samtals 2966 ferm. (+4,9) og 10634 rúmm. (+173,2). Gjald kr. 4.100 + 7.104"
21523,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021523,Álftamýri 1-3 ,Sjúkraþj á 2. h,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að breyta innra fyrirkomulagi á annarri hæð í austurhluta matshluta 01 (Álftamýri 1) á lóðinni nr. 1-5 við Álftamýri og koma þar fyrir sjúkraþjálfunarþjónustu. Jafnframt er erindi nr. 20201 dregið til baka. Gjald kr. 4.100
21666 (01.29.020.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021666,Ármúli 12 ,Raunteikningar 1.h.,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að breyta innra skipulagi stjórnunarrýmis á 1. hæð  Ármúlaskóla á lóðinni nr. 12 við Ármúla. Um er að ræða lagfæringar og lítils háttar breytingar á teikningum sem samþykktar voru 22. febrúar 2000. Gjald kr. 4.100
21333 (01.17.010.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021333,Bankastræti 2 ,Brunavarnir,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi fyrir bættum brunavörnum og breyttu innra skipulagi aðallega á 2. hæð hússins við Amtmannsstíg 1 á lóð nr. 2 við Bankastræti. Gjald kr. 4.100
21557 (01.13.630.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021557,Bárugata 13 ,Raunteikn. -Núv. fyrirkomulag,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir áður gerðri íbúð og núverandi innra fyrirkomulagi í húsinu á lóðinni nr. 13 við Bárugötu. Virðingargjörð dags. 21. febrúar 1942 og afrit úr manntali árið 1952 fylgja erindinu. Skoðunarskýrsla byggingarfulltrúa dags. 15. ágúst 2000 fylgir erindinu. Gjald kr. 4.100
21649 (04.02.440.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021649,Básbryggja 5-11,Ýmsar br úti og inni,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir breytingum til samræmis við verkteikningar á húsinu á lóðinni nr. 5-11 við Básbryggju. Í breytingum felst m.a. breyting á afsetningu húss innan lóðar og breyting á stærðum og skráningu. Stærðarbreytingar: xx Gjald kr. 4.100 + xx
