nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
38067 (05.86.530.1),BN038067,Almannadalur 17-23,17 - sérafnotaréttur - 0103,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi fyrir leiðréttri teikningu þar sem texti vegna sérafnotaréttar kemur fram á grunnmynd af einingu 0103 lóð nr. 17 við Almannadal.  Gjald kr. 7.300
38058 (05.86.530.1),BN038058,Almannadalur 17-23,svalir nr 19,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi breytingu á svölum miðað við nýlega samþykkt erindi nr. BN36042 á gaflveggi hesthússins á lóð nr. 19 við Almannadal.  Gjald kr. 7.300
38042 (01.43.800.4),BN038042,Álfheimar 49,breyting innanhúss,Frestað. Vísað til athugasemda vinnueftirlits.,"Sótt er um leyfi til að breyta nýtingu og starfsemi þannig að bætt er við aðstöðu til sölu á upphituðum mat, grilli, djúpsteikingarpotti og borði með stólum í húsi á lóð nr. 49 við Álfheima.  Gjald kr. 7.300"
37901 (01.43.430.1),BN037901,Álfheimar 74,skipta rými 10-11 - klæðing útveggja,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að: A) skipta húsnæði 10/11 í rými 0101, matshluta 1 í tvö rými sbr. teikn. A-1 811-1-4 og 811-1-15 dags. 4.mars 2008 og til að B) klæða útveggi verslunarmiðstöðvarinnar sbr. meðfylgjandi teikningar 1-5 dags. feb. 2008 og endurskoðaða skráningartöflu.  Meðfylgjandi er: A: Bréf arkitekts dags. 3. mars 2008 - B: Staðfesting burðarvirkjahönnuðar dags. 3. mars  2008 - C. Undirskrift brunavarnahönnuðar dags. 4.mars .2008  Meðfylgjandi einnig: D: Bréf frá formanni húsfélags, ábyrgur sem fulltrúi eigenda, dags. 1.apríl 2008.  E: Viðbótargreinargerð frá arkitekt dags. 1.apríl 2008.  F: Ástand útveggja, bréf frá burðarvirkjahönnuði dags. 1. apríl 2008.  Gjald kr. 7.300"
38063 (01.23.000.2),BN038063,Borgartún 26,"br. 3.,5. og 8. hæð",Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til minni háttar breytinga á innra fyrirkomulagi 3. 5. og 8. hæðar atvinnuhússins á lóðinni nr. 26 við Borgartún.  Gjald kr. 7.300
37947 (01.22.010.7),BN037947,Borgartún 8-16,4. áfangi G1 Glerbygg. við H1,Frestað. Vísað til athugasemda eldvarnaeftirlits.,"Sótt er um að byggja glerskála nefndan G1 á teikningu með burðarvirki úr stáli byggðan ofan á efstu plötu bílakjallara og er tengdur byggingum H1 og B1og nær upp tvær hæðir á lóðinni nefnda  á lóð nr. 8-16 við Borgartún.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 4. apríl 2008 fylgir erindinu.  Stærðir (ath þegar er samþykktur turnin H1 samtals 230027 ferm,  87774,7 rúmm.) glerskáli: 390,0 ferm. 3271,4 rúmm.  Gjald kr. 7.300 + 238.812"
37829 (01.22.010.7),BN037829,Borgartún 8-16,kaffihús,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,Sótt er um leyfi til að innrétta kaffihús (kaffitár) í einingu 0105 í byggingu nefndri B1 í Höfðatorgi á lóðinni nr. 8-16 við Borgartún.  Gjald kr. 7.300
37949 (01.22.010.7),BN037949,Borgartún 8-16,5. áfangi H2 +G2 glerbygg.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja 9 hæða skrifstofubyggingu sem er að hluta 7 hæða með gler tengibyggingu upp að H1 sem er 19 hæða skrifstofubyggingu, auk þriggja hæða niður frá jarðhæð þar er m.a. geymslur bílstæði og tæknirými, byggingin er nefnd H2 og glerskálinn G2 á teikningum og er 5. áfangi í Höfðatorgi sem er á lóð nr. 8-16 við Borgartún.   Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 4. apríl 2008 fylgir erindinu.  Stærðir: -2 hæð 2086,3 ferm., -1 hæð 2328,5 ferm., 0 hæð 977,8 ferm. 1. hæð 1884,1 ferm. 2. hæð 1018,0 ferm., 3. hæð 1065,8 ferm., 4. hæð 1065,8 ferm., 5. hæð 1065,8 ferm., 6. hæð 1065,8 ferm., 7. hæð 1065,8 ferm., 8. hæð 550,1 ferm., 9. hæð 537,1 ferm., Samtals 14710,9 ferm 65504,3 rúmm.  Gjald kr. 7.300 + 4.781.814"
37910,BN037910,Breiðhöfði 3,viðbygging við söluskrifstofu,Frestað. Vísað til athugasemda á umsóknarblaði. Þegar afstöðumynd hefur verið lagfærð og hún lögð fram hjá byggingarfulltrúa verður málinu vísað til grenndarkynningar skipulagsstjóra.,"Sótt er um leyfi til að byggja kjallara og hæð við atvinnuhúsið á lóðinni nr. 3 við Breiðhöfða.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 4. apríl 2008 fylgir erindinu.  Stærð:  Kjallari 110,3 ferm., 1. hæð 118,5 ferm.  Samtals nýbygging 228,8 ferm., 859,9 rúmm.  Gjald kr. 7.300 + 62.773"
38061 (01.13.411.4),BN038061,Brekkustígur 6B,nýbygging,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til að rífa einbýlishús og byggja nýtt steinsteypt parhús, 3 hæðir og kjallara á lóðinni nr. 6B við Brekkustíg.  Niðurrif:  Fastanr. 200-0940 merkt 01 0101 íbúð 49,7 ferm.  Nýbygging:  Kjallari 89,6 ferm., 1. hæð 73,6 ferm., 2. hæð 89,6 ferm., 3. hæð 76,6 ferm.  Samtals 329,4 ferm., xx rúmm.  Gjald kr. 7.300 + xx"
