nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
38611 (05.86.550.1),BN038611,Almannadalur 9-15,15 - hesthús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi að byggja steinsteypt hesthús, sem skiptist i fimm séreignarhluta, hver með kaffistofu á efri hæð á lóð nr. 15 við Almannadal.  Stærðir: 1. hæð 368,4 ferm., 2. hæð 196,9 ferm., samtals 565,3 ferm., 1.855,3 rúmm.  Gjöld kr. 7.300 + 135.437"
38630 (01.26.120.1),BN038630,Ármúli 3,Skilti,Frestað. Málinu vísað til umsagnar Umhverfis-og samgöngusviðs vegna staðsetningar á skilti á horni Hallarmúla og Ármúla.,"Sótt er um leyfi til að koma fyrir ID skilti á lóð  Ármúla  3  Skiltið verður á horni Ármúla og Hallarmúla. Einnig er sótt um að endurnýja skilti á húsinu.  Stærðir ID  12 ferm. Önnur skilti 64,2 samtals á lóð 76,2 ferm.   Gjald kr 7.300"
38343 (04.73.110.1),BN038343,Árvað 3,7 kennslustofur og 3 tengigangar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að reisa 7 færanlegar kennslustofur og 3 tengiganga við Árvað 3 Norðlingaholti.  Málinu fylgir bréf Framkvæmda- og eignasviðs dags 22. maí 2008 vegna kennslustofu með fastanr. 226-3380, mhl. 09-0101.  Stærðir. 623.0 ferm 2053,9 rúmm   Gjald kr. 7.300 + 149.934"
38537 (01.71.011.1),BN038537,Barmahlíð 54,"brú,þaksvalir",Synjað. Enn vantar samþykki lóðarhafa aðliggjandi lóðar Í Barmahlíð 52 en það er forsenda þess að samþykkja megi málið. Er vísað til fyrri bókana skipulags- og byggingarsviðs vegna þessa.,Sótt er um leyfi fyrir brú af svölum íbúðar 01-0101 yfir á þak bílskúrs og gerð þaksvala þar með stiga niður í garð við hús á lóð nr. 54 við Barmahlíð.  Sbr. fyrirspurn BN038364 dags. 10.6.2008.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 4. júlí 2008 fylgir erindinu.  Gjald kr. 7.300
38622 (01.19.310.1),BN038622,Barónsstígur 47,breytingar 2 hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir innanhússbreytingum á 2. hæð í Heilsuverndarstöðinni á lóð nr. 47 við Barónsstíg.  Gjald kr. 7.300
38105 (04.06.400.2),BN038105,Bíldshöfði 10,"br. 2.hæð - lyfta, stigahús",Frestað. Vísað til athugasemda á umsóknarblaði. Sérstök athygli er vakin á athugasemd skipulagsstjóra.,"Sótt er um leyfi til að byggja staðsteypta viðbyggingu til suðurs fyrir lyftu og stiga með tilheyrandi breytingu á innra skipulagi í atvinnuhúsnæðinu á lóð nr. 10 við Bíldshöfða.  Stærð stækkunar 48,2 ferm., 190,6 rúmm.  Gjald kr. 7.300 + 13.914"
38129 (04.06.200.2),BN038129,Bíldshöfði 9A,breytt skipulag,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta skipulagi 1-7 hæðar og flóttastiga breytt á 8. hæð atvinnuhúsnæðisins á lóð nr. 9 A við Bíldshöfða.  Gjald kr. 7.300
38300 (01.16.233.8),BN038300,Brávallagata 26,svalir,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.  Áskilin lokaúttekt byggingarfulltrúa. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi.,"Sótt er um leyfi til að byggja svalir úr timbri við íbúð 0101 sbr. fyrirspurn BN037646 dags. 5. febrúar 2008 í húsi á lóð nr. 26 við Brávallagötu.  Meðfylgjandi er samþykki meðeigenda dags. 11.5.2008 og bréf frá arkitekt dags. 26.5.2008, þar sem fram kemur að ekki er verið að fjalla um ósamþykkta íbúð í kjallara.  Útskrift úr gerðabók embættisafgreislufundar skipulagsstjóra frá 11. júlí 2008 fylgir erindinu.  Grenndarkynning stóð frá 12. júní til og með 10. júlí 2008. Engar athugasemdir bárust.  Gjald kr. 7.300"
38557 (01.13.420.3),BN038557,Brekkustígur 7,reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Þinglýsa skal samrunaskjali.,Sótt er um leyfi fyrir reyndarteikningum og skráningartöflu af íbúðarhúsinu á lóð nr. 7 við Brekkustíg.  Gjald kr. 7.300
38484 (01.13.700.5),BN038484,Bræðraborgarstígur 21B,"viðbygging, breyting inni",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja yfir svalir á vesturgafli og gera herbergi þar á 2. hæð, bæta við svölum á 2. hæð á suðurhlið auk minni háttar breytinga á fyrirkomulagi innanhúss í tvílyfta einbýlishúsinu á steypta sökklinum frá 1916 á lóð nr. 21B við Bræðraborgarstíg.  Stærðir: Eftir stækkun 221,7 ferm., 697,5 rúmm.  Stækkun 65,8 rúmm.  Gjald kr. 7.300 + 4.803"
