nr,url,heimilisfang,tegund,nidurstada,spurning
45089 (01.14.041.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045089,Aðalstræti 9,"Br. Kaffihús- 1.hæð, kjallari",Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,Sótt er um leyfi til að breyta lítillega innra fyrirkomulagi (sbr.erindi BN044195 og BN044488) í kaffihúsi í kjallara og á fyrstu hæð hússins á lóðinni nr. 9 við Aðalstræti. Um er að ræða kaffihús í flokki I. Hámarksfjöldi gesta er 29 manns. Sæti eru fyrir 18 manns utandyra. Gjald kr. 8.500
45339 (05.86.520.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045339,Almannadalur 25-29,Svalir á gafl,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,Sótt er um leyfi til að koma fyrir svölum á vestur gafl á hesthúsinu nr. 25 á lóð nr. 25-29 við Almannadal.  Gjald kr. 8.500
45375 (01.55.070.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045375,Arngrímsgata 5,takmarkað byggingarleyfi,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.,Sótt er um takmarkað byggingarleyfi fyrir jarðvinnu og aðstöðusköpun á lóðinni nr. 5 við Arngrímsgötu (Hús íslenskra fræða) sbr. erindi BN044048.
45365 (01.24.200.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045365,Ásholt 2-42,Svalalokun,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi f til að setja svalalokanir ál- og glerkerfi með braut ofan og neðan í fjölbýlishúsinu nr. 2 á lóð nr. 2-42 við Ásholt. Jákvæð fyrirspurn BN044660 fylgir. Stærðir B- rýma í ferm. xx og rúmm. xx brúttó - svalalokanir. Gjald 8.500 + ??
45322 (01.18.621.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045322,Baldursgata 30,Íbúð 2. hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta atvinnuhúsnæði á annarri hæð í íbúð, koma fyrir svölum á suðurhlið og breyta gluggum á norðurhlið hússins á lóðinni nr. 30 við Baldursgötu. Samþykki nokkurra meðeigenda dags. 15.11.2012 fylgir erindinu. Umsögn skipulagsstjóra dags. 28.09.2012 (v. fyrirspurnar) fylgir erindinu. Gjald kr. 8.500"
45361 (01.18.121.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045361,Baldursgata 39,takmarkað byggingarleyfi,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.,Sótt er um takmarkað byggingarleyfi vegna jarðvinnu og sökkla viðbyggingar á lóðinni nr. 39 við Baldursgötu. sbr. erindi BN044743.
44274 (01.19.310.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044274,Barónsstígur 47,"Gistih
















































































































Breyting - 1. og 2. hæð",Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til að innrétta gistiheimili í flokki II fyrir 46 gesti á 1. hæð í heilsuverndarstöðinni á lóð nr. 47 við Barónsstíg. Meðfylgjandi er bréf arkitekts dags. 2.5. 2012, greinargerð vegna hljóðvistar 27.4. 2012, bréf húsafriðunarnefndar dags. 23.10. 2012. Gjald kr. 8.500"
44657 (01.18.410.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044657,Bjargarstígur 15,rífa svalir og setja nýjar,"Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við lokaúttekt. Áskilin lokaúttekt byggingarfulltrúa.",Sótt er um leyfi til að endurbyggja og stækka svalir sem fjarlægðar hafa verið vegna fúa á annarri hæð fjölbýlishúss á lóð nr. 15 við Bjargarstíg. Meðfylgjandi er samþykki eigenda dags. 20.11. 2011 ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 29. júní 2012. Gjald kr. 8.500 + 8.500
45263 (01.18.431.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045263,Bjargarstígur 2,Reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki á reyndarteikningu vegna eignaskiptasamnings fyrir fjölbýlishúsið á lóðinni nr. 2 við Bjargarstíg. Meðfylgjandi er bréf aðalhönnuðar dags. 20.11. 2012, fundargerð húsfundar dags. 19.11. 2012, bréf eiganda 0201 dags. 22.11. 2012, greinargerð eiganda 0201 dags. 21.11. 2012, afsal dags. 22.4. 1987, virðingarmat dags. 1.8. 1942. Mótmæli eins eigenda (tölvubréf dags. 22. nóvember 2012) fylgir erindinu. Gjald kr. 8.500"
45163 (01.18.310.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045163,Bókhlöðustígur 2,"Stækkun kjallara, svalir",Frestað. Vísað til athugasemda á umsóknarblaði. Grenndarkynningu ólokið.,"Sótt er um leyfi til að stækka kjallara til austurs og innrétta í honum eldhús og veitingasal fyrir 40 gesti og veitingaflokk II en á hæðinni og undir risi er íbúð í húsinu sem byggt var 1882 á lóðinni nr. 2 við Bókhlöðustíg. Meðfylgjandi er umsögn Minjasafns Reykjavíkur dags. 26.10. 2012 og Húsafriðunarnefndar dags. 29.10. 2012. Stærðir: 365,4 ferm., 1.055,2 rúmm. Stækkun: 81,2 ferm., 306,2 rúmm. Gjald kr. 8.500 + 26.027"
45358 (01.35.100.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045358,Brúnavegur 13,Ýmsar breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að sameina 2 vistherbergi, koma fyrir borð- og setustofu á C2, setja 3 nýja glugga á austurhlið C álmu, þvottahús minnkað og geymsla sett inn og komið verður fyrir fótasnyrtistofu í D álmu í Dvalarheimilinu Hrafnistu á lóð nr. 13 við Brúnaveg. Umsögn burðarvirkshönnuðar dags. 11. des. 2012 Gjald kr. 8.500"
45286 (32.47.370.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045286,Esjugrund 5,Reyndarteikningar,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að breyta áður samþykktu erindi BN044221 þannig að teikning er samræmd við núverandi ástand og texta um brunavarnir í húsinu á lóð nr. 5 við Esjugrund.   Gjald kr. 8.500
45350 (01.08.660.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045350,Fiskislóð 39,breyting á útihurð of fl,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta áður samþykktu erindi BN037444 þar sem færð er til hurð og skyggni úr mátlínu 12A í mátlínu 13A í húsi á lóð nr. 39 við Fiskislóð. Gjald kr. 8.500
45337 (01.52.031.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045337,Framnesvegur 68,Reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um samþykki á reyndarteikningum sem felast í nýjum veröndum, stækkun kjallara að hluta undir upprunalegu húsi og undir allri viðbyggingunni frá 1982 ásamt tilfærslu á nokkrum innveggjum í einbýlishúsi á lóð nr. 68 við Framnesveg. Stækkun 49 ferm., 132 rúmm. Gjald kr. 8.500 + 11.220"
45362 (02.69.550.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045362,Freyjubrunnur 25-27,Ýmsar breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyt inna skipulagi íbúða, bætt við sorp tunnum , opnanlegum fögum breytt og stálvirki sem fjarlægt var af teikningum 2008 er komið fyrir aftur á þakið á fjölbýlishúsinu á lóð nr. 25-27 við Freyjubrunn sbr. BN035953. Gjald kr. 8.500"
45353 (01.11.510.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045353,Grandagarður 8,Innri breytingar,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að setja nýjan stiga á milli 1. og 2. hæðar, breytinga á eldhúsi, veitingar-og kaffisal, fjölgun salerna og lagfæringu á eldvörnum í húsinu á lóðinni nr. 8 við Grandagarð.   Bréf frá hönnuði dags. 11. des. 2012 fylgir. Gjald kr. 8.500"
45297 (01.52.040.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045297,Grandavegur 44,Fjölbýlishús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja staðsteypt fjölbýlishús, einangrað að utan og klætt flísum og málmplötum, með 99 íbúðum, tíu hæðir og bílakjallara fyrir 73 bíla á lóð nr. 44 við Grandaveg. Stærðir: Mhl. 01:  4.340,4 ferm., 12.853,5 rúmm. Mhl. 02:  4.387,5 ferm., 13.003,8 rúmm. Mhl. 03:  4.388,4 ferm., 13.130,6 rúmm. Gjald kr. 8.500 + xxx"
45371 (04.30.010.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045371,Grjótháls 10,Br. bílast.- gryfja í smurstöð,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,Sótt er um leyfi til þess að breyta lítillega áður samþykktu erindi (sbr. erindi BN042569 og BN042569). Bílastæði á austurhluta lóðar eru færð í fyrra horf og stigi í gryfju smurstöðvar er færður til í atvinnuhúsnæðinu á lóð nr. 10 við Grjótháls. Gjald kr. 8.500
45084 (05.11.480.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045084,Haukdælabraut 66,Einbýlishús,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að byggja staðsteypt tveggja hæða einbýlishús með innbyggðri tvöfaldri bílgeymslu, einangrað að utan og klætt með málmi, timbri og múr,  á lóð nr. 66 við Haukdælabraut. Stærð:  1. hæð íbúð 46,9 ferm., bílgeymsla 77,5 ferm.,2. hæð íbúð 287 ferm. Samtals 411,4 ferm., 1.913,7 rúmm. B-rými 6,1 ferm. Gjald kr. 8.500 + 162.665"
