nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
49664 (01.14.041.4),BN049664,Aðalstræti 9,Lengja opnunartíma,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir lengdum opnunartíma, virka daga til kl. 01 og til kl. 03 um helgar í veitingahúsi í flokki II á lóð nr. 9 við Aðalstræti.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 2. október 2015 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags  Gjald kr. 9.823"
50023 (04.66.710.1),BN050023,Austurberg 3,Takmarkað byggingarleyfi,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.",Sótt er  um takmarkað byggingarleyfi fyrir undirstöður og lagnir í jörð sbr. erindi BN049606 að Austurbergi 3.
49671 (01.14.050.3),BN049671,Austurstræti 20,Byggja yfir útskot,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að loka útskoti þannig að það verður A- rými á vesturhluta götuhliðar og innrétta þar íssölulúgu sem er sameiginleg með Hressingarskálanum á lóð nr. 20 við Austurstræti .  Jákvæð fyrirspurn BN049503 dags. 9. júní 2015 fylgir erindi.  Stækkun:  1,8 ferm., 4,5 rúmm.   Gjald kr. 9.823"
49455 (01.19.032.6),BN049455,Bergþórugata 23,Viðbygging,Frestað. Lagfæra skráningu.,"Sótt er um leyfi til að byggja tveggja hæða viðbyggingu með kjallara og risi, innrétta þrjár nýjar íbúðir og til að gera  tvennar svalir á rishæð húss á lóð nr. 23 við Bergþórugötu.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 12. júní 2015 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 11. júní 2015.  Erindi fylgir umboð eiganda dags. 19. maí 2015.  Stækkun:  xx ferm.,xx rúmm.  Gjald kr. 9.823"
47928 (01.22.010.7),BN047928,Borgartún 8-16A,Fjölbýlishús - S1 - Þórunnartún/Bríetartún,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja steinsteypt tólf hæða fjölbýlishús með 80 íbúðum og verslunarrýmum á jarðhæð við Bríetartún, mhl. 09, merkt S1 í deiliskipulagi, á tveggja hæða kjallara sem tengist þegar byggðum bílakjallara á lóð nr. 8-16 við Borgartún.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 10. október 2014 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 9. október 2014.  Einnig bréf frá umsækjanda varðandi staðsetningu sorpgeymslu dags. 22. október 2014, brunahönnun frá Eflu dags. 25. ágúst 2015 og yfirlit um nýtingarhlutfall á lóð dags. 15. september 2015.   Stærðir:  Kjallari -1, 1.001,6 ferm., kjallari 00, 1.042,2 ferm., 1. hæð 1.092,7 ferm., 2., 4. og 6. hæð 1.091,8 ferm., 3., 5., og 7. hæð, 1.078,9, 8. hæð, 505,6 ferm., 9. og 10. hæð, 495,6 ferm., 11. hæð, 478,3 ferm., 12. hæð 463,9 ferm. og 13. hæð 19,8 ferm.  Samtals A-rými:  12.107,4 ferm., 41.244,6 rúmm.  B-rými:  522,7 ferm., 1.548,6 rúmm  C-rými:  145,7 ferm.  Gjald kr. 9.500"
49912 (01.22.010.7),BN049912,Borgartún 8-16A,Nýbygging H2 0g G2,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja 7-9 hæða verslunar- og skrifstofuhús, H2 auk kjallara á þremur hæðum og tengibyggingu G2 á einni hæð sem tengir nýbygginguna við H1 til norðurs á lóð nr. 8-16 við Borgartún.  Erindi fylgir brunahönnuraskýrsla frá Eflu dags. í ágúst 2015.  Stærð A-rými:  13.418,1 ferm., 52.491,3 rúmm.  B-rými:  0  C-rými:  361,1 ferm.  Gjald kr. 9.823"
49976 (01.24.230.2),BN049976,Brautarholt 10-14,Hótel,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að stækka anddyri, byggja flóttastiga á báða gafla og innrétta gististað í flokki V, teg. hótel með 65 herbergjum í verslunar- og skrifstofuhúsi á lóð nr. 10-14 við Brautarholt.  Erindi fylgir brunahönnun frá Verkís dags. í september 2015 og minnisblað um hljóðvist einnig frá Verkís dags. 15. september 2015.  Stækkun:  6 ferm., xx rúmm.  Gjald kr. 9.823"
49676 (01.24.120.3),BN049676,Brautarholt 4-4A,Hringstigi - suðurhlið,Frestað. Vísað til athugasemda eldvarnaefirlits á umsóknarblaði.,Sótt er um leyfi til að koma fyrir hringstiga á bakhlið verslunar- og skrifstofuhúss á lóð nr. 4A við Brautarholt.  Erindi fylgir samþykki meðeigenda á lóð dags. í janúar 2015.  Gjald kr. 9.823
50030 (01.74.510.2),BN050030,Efstaleiti 9,Exit ljós - fellt út sbr. BN046914,Frestað. Samkvæmt gögnum embættisins er lágmarksgjald ógreitt.,"Sótt er um leyfi til að breyta brunamerkingum, sjá  erindi BN046914, og fella út flóttaleiðamerkingu á aðalinngangi í húsi á lóð nr. 9 við Efstaleiti.   Gjald kr. 9.823"
50028 (01.08.930.1),BN050028,Fiskislóð 15-21,Anddyri,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja nýtt anddyri og skipta núverandi verslun og timbursölu Byko í þrjú verslunarrými, Byko, Elko og Rúmfatalagerinn, og byggja milliloft í þrennu lagi í verslun á lóð nr. 15-21 við Fiskislóð.  Stækkun samtals: mhl. 1, 254,8 ferm., 997,3 rúmm.  Samtals stærðir eftir stækkun: 7.364,1 ferm., 65.331,1 rúmm.  Gjald kr. 9.823"
