nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
53722 (01.26.140.2),BN053722,Ármúli 1A,Breytingar 1. og 4.hæð - klæðning,Frestað. Vísað til athugasemda og með vísan til umsagnar skipulagsfulltrúa dags. 5. janúar 2018.,"Sótt er um leyfi til að rífa þakhýsi og endurbyggja  í sömu mynd og stærð, breyta gluggasetningu á 1. hæð þannig að gler frontur verður breytt þannig að opnalegum fögum er fjölgað og gaflar og steinkantur á framhúsi eru síðan klæddir með litaðri málmklæðningu  á húsið á lóð nr. 1A við Ármúla.   Bréf frá hönnuði dags. 16. október 2017 fylgir.  Bréf frá hönnuði þar sem hann breytir umsögn og óskar eftir að hætt við að leggja inn skráningartöflu. dags. 27. mars. 2018.  Niðurrif er: XX ferm. XX rúmm.  Endurbygging er: XX ferm., XX rúmm.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 5. janúar 2018 fylgir erindinu, ásamt umsögn skipulagsfulltrúa dags. 5. janúar 2018 og umsögn Minjastofnunar dags. 9. janúar 2018.  Gjald kr. 11.000"
54319 (01.26.120.1),BN054319,Ármúli 3,Breyting á innra skipulagi. Br. á stofnerindi BN053132,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta erindi BN053132, um er að ræða breytingar á innra skipulagi og inngangshurð í anddyri er færð innar í verslunar- og skrifstofuhúsi á lóð nr. 3 við Ármúla.  Gjald kr. 11.000"
52289 (01.82.410.7),BN052289,Ásendi 17,Breyta glugga í hurð.,Frestað. Lagfæra skráningu.,"Sótt er um leyfi til að koma fyrir hurð út úr kjallara á suðurhlið ásamt því að gerð er grein fyrir áður gerðri stækkun kjallara einbýlishúss á lóð nr. 17 við Ásenda.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 17. febrúar 2017 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 16. febrúar 2017 og umsögn burðarvirkishönnuðar dags. 9. mars 2017.  Stækkun:  165,5 ferm., 166,6 rúmm.  Gjald kr. 11.000"
54082 (01.19.310.1),BN054082,Barónsstígur 47,Gistiheimili - 2. hæð,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að breyta innra fyrirkomulagi á hluta 2. hæðar og fjölga gestum í 140 í gististað í flokki lV - tegund b, stærra gistiheimili, á lóð nr. 47 við Barónsstíg.  Útskrift úr gerðabókembættisafgreiðslufundar skipulagsfulltrúa frá 6. apríl 2018 fylgir erindinu, ásamt umsögn skipulagsfulltrúa dags. 4. apríl 2018.  Gjald kr. 11.000"
54406 (01.13.521.3),BN054406,Bárugata 34,Íbúð 0001 Geymsla í svefnherbergi,Frestað. Vísað til athugasemda.,Sótt er um leyfi til að breyta innréttingu kjallaraíbúðar í húsi á lóð nr. 34 við Bárugötu.  Gjald kr.11.000
54324 (04.06.410.2),BN054324,Bíldshöfði 14,Áður gerðar breytingar í rými,Frestað. Vísað til athugasemda.,"Sótt er um leyfi fyrir teikningum sem sýna áður gerðar breytingar og áður gert milliloft í rými 0102 með aðgengi frá  0103 og 0104 vegna gerðar eignaskiptayfirlýsingar í húsi á lóð nr. 14 við Bíldshöfða.  Milliloft:  170,6 ferm.   Gjald kr. 11.000"
53956 (01.88.550.6),BN053956,Blesugróf 12,Parhús,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að byggja parhús með geymslum og bílgeymslum í kjallara á lóð nr. 12 við Blesugróf.  Stærðir: A-rými 294,0 ferm., 1.090,2 rúmm.  Útskrift úr gerðabók embættis afgreiðslufundar skipulagsfulltrúa frá 5. janúar 2018 fylgir erindinu, ásamt umsögn skipulagsfulltrúa dags. 3. janúar 2018.  Gjald kr. 11.000"
54384 (01.71.310.1),BN054384,Blönduhlíð 12,Innanhúsbreytingar 2. hæð og þakhæð,Frestað. Vísað til athugasemda.,Sótt er um leyfi til að breyta fyrirkomulagi þakhæðar og 2. hæðar í húsi á lóð nr. 12 við Blönduhlíð.  Gjald kr. 11.000
54143 (02.57.600.1),BN054143,Bæjarflöt 1-3,Breytingar inni,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Það athugist að um er að ræða samþykkt á áður gerðri framkvæmd sem gerð var án byggingarleyfis. Óvissa kann því að vera um uppbyggingu og útfærslu framkvæmdar. Hvorki er skráð verktrygging á verkið né ábyrðaraðilar.,"Sótt er um leyfi fyrir áður gerðum breytingum á innra skipulagi í húsi á lóð nr. 1 við Bæjarflöt.  Umsögn brunahönnuðar dags. 20. mars 2018 fylgir.  Stækkun millilofts : 26,9 ferm.  Gjald kr. 11.000"
53156 (01.35.000.6),BN053156,Dalbraut 1,"Matsölustaður veitingastaður í flokki 2, tegund A.",Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að innrétta veitingastað í flokk 2, tegund A í rými á 1. hæð sem áður var bakarí/kaffihús og koma fyrir loftstokki upp með norðurhlið á húsi lóð nr. 1 við Dalbraut.  Samþykki meðeigenda ódagsett og bréf frá hönnuði þar sem hann gerir grein fyrir loftræstikerfi dags. 12. september 2017.  Gjald kr. 11.000"
