nr,url,heimilisfang,tegund,nidurstada,spurning
35333 (05.86.570.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035333,Almannadalur 1-7,hesthús nr. 5,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja steinsteypt hesthús með þremur einingum,  eining 0101 sex hestar, eining 0102 tólf hestar, eining 0103 tólf hestar, alls þrjátíu hestar og með kaffiaðstöðu á millilofti í hverri eign allt einangrað að utan og klætt með láréttri zinkhúðari báraðri klæðningu sem hús nr. 5 á lóð nr. 1-7 í Almannadal. Stærð: Hesthús nr. 5 samtals 431,8 ferm., 1450,4 rúmm. Gjald kr. 6.800 + 6.800 + 6.800 + 98.627"
35902 (01.29.040.1 01),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035902,Ármúli 2,breytingar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að koma fyrir rafdreifistöð í hluta vörumóttöku og hækka útbyggingu og stækka svalir ofan á útbyggingu miðað við nýlega samþykktar teikningar sbr. umsókn nr.  BN034443 á atvinnuhúsnæðinu á lóðinni nr. 2 við Ármúla. Stærðir: Stækkun 55,4 rúmm. Gjald kr. 6.800 + 3.767"
36008 (01.17.000.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036008,Bankastræti 5,lækka gólf í kj.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að lækka gólf um 45 sm í hluta kjallara, innrétta setustofu fyrir veitingastað á 1. hæð,  fjölga snyrtingum og færa starfsmannaaðstöðu veitingastaðar í kjallara atvinnuhússins á lóð nr. 5 við Bankastræti. Yfirlýsing vegna brunamála við gasarinn dags. 18. maí 2007 og umsögn burðarvirkishönnuðar dags. 3. maí 2007 fylgja erindinu. Stærð: Rúmmálsaukning 11,2 rúmm. Gjald kr. 6.800 + 762"
35539 (01.70.110.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035539,Barmahlíð 7,sameina efri hæð og ris í 1 íb.,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi.,"Sótt er um leyfi til að sameina ósamþykkta íbúð í risi og íbúð 2. hæðar í eina íbúð með tilheyrandi tilfærslu á innveggjum, breyttu rýmisskipan og stiga milli hæða ásamt stækkun kvista á suður- og vesturhlið og fjarlæga svalaskýli á norðurhlið hússins á lóðinni nr. 7 við Barmahlíð.  Erindið var grenndarkynnt frá 21. mars til og með 20. apríl 2007. Engar athugasemdir bárust. Meðfylgjandi er staðfesting burðarvirkishönnuðar dags 26. mars 2007. Stærðir: 4,8 ferm., 11,2 rúmm. Gjald kr. 6.800 + 762"
35894 (01.67.201.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035894,Bauganes 3,rífa og byggja nýtt,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til að rífa mhl. 02 og mhl. 03 og byggja í staðinn viðbyggingu við Mhl. 01 og til að byggja ofan á bíslag og gera svalir þar út frá á einbýlishúsinu á lóðinni nr. 3 við Bauganes. Niðurrif:  Mhl. 02, Fastanr. 202-9443 merkt 0101 þvottahús 11,2 ferm., Mhl. 03 Fastanr. 202-9444 merkt 0101 bílskúr 22,7 ferm. Stærð: Viðbygging íbúð 1. hæð 28,3 ferm., 2. hæð 9,9 ferm. og  bílgeymsla 24,3 ferm., samtasl 62,5 ferm., 187,6 rúmm. Gjald kr. 6.800 + 12.757"
35959 (01.67.411.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035959,Baugatangi 5A,bílgeymsla,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja steinsteyptan bílskúr einangraðan að utan og klæddan með liggjandi báruálsklæðningu og gras á þaki við norðurlóðamörk íbúðarhússins á lóð nr. 5A við Bauganes. Stærð: Bílskúr 40,5 ferm., 127,6 rúmm. Gjald kr. 6.800 + 8.677"
35962 (04.06.510.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035962,Bíldshöfði 20,"Stigahús, hurðir",Frestað. Vísað til athugasemda eldvarnareftirlits.,Sótt er um leyfi til að gera að sjálfstæðu brunahólfi stigahús við suðurhlið á öllum hæðum í atvinnuhúsnæðinu á lóðinni nr. 20 við Bíldshöfða. Gjald kr. 6.800
35964 (02.49.610.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035964,Blikastaðavegur 2-8,br. staðs. dreifist.,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til þess að breyta staðsetningu dreifistöðva frá nýsamþykktum uppdráttum sbr. BN33407 á lóð nr. 2-8 við Blikastaðaveg. Umsögn brunahönnuðar dags. 10. maí 2007 og bréf hönnuðar dags. 10. maí 2007 fylgja erindinu. Gjald kr. 6.800
35795 (01.22.000.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035795,Borgartún 6,innréttingu sjúkraþjálfunar,Frestað. Vísað til athugasemda eldvarnaeftirlits.,Sótt er um leyfi til að innrétta eignarhluta 0101 fyrir sjúkraþjálfun í atvinnuhúsinu á lóðinni nr. 6 við Borgartún sbr. umsókn nr. BN031133. Gjald kr. 6.800
35574 (01.22.010.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035574,Borgartún 8,7 og 19 hæða bygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja 4. áfanga sem að hluta sjö hæða og allt að nítján hæða þjónustu og skrifstofuhús ofan á tvær kjallarahæðir með aukarýmum og bílastæðum allt úr steinsteypu og ál-gluggakerfi á lóð nr. 8-16 við Borgartún. Brunahönnun Línuhönnunar dags. 6. mars, endurskoðuð 12. apríl og 15. maí 2007, mat á hljóðvist frá VSÓ dags. í maí 2005 og umsögn burðarvirkishönnuða dags. 6. mars 2007 fylgja erindinu. Stærð: Neðsti kjallari 143,9 ferm., neðri kjallari 873,3 ferm., kjallari 894 ferm., 1. hæð 1615,8 ferm., 2. hæð 1265,8 ferm., 3.-6. hæð 1607,8 ferm. hver hæð, 7. hæð 1558,9 ferm., 8. hæð 797,6 ferm., 9. -19. hæð 729,5 ferm. hver hæð, 20. hæð 88 ferm., samtals 21693 ferm., 83457 rúmm. Gjald kr. 6.800 + 5.675.076"
