nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
25986 (01.13.610.1),BN025986,Aðalstræti 2,"Tengib., veitingah. ofl.",Samþykkt 16. janúar 2003. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til þess að rífa núverandi tengibyggingu, milli endurbyggðs framhúss að Aðalstræti og vöruskemmu að Vesturgötu, byggja tengibyggingu úr gleri og stáli og innrétta í öllum þrem byggingum veitingasölu, verslun og skrifstofur á lóð nr. 2 við Aðalstræti. Einnig lögð fram umsögn skipulagsfulltrúa dags. 14.10.02, bréf húsafriðunarnefndar dags. 9.10.02 og bréf borgarminjavarðar dags. 15.10.02.  Bréf hönnuðar dags. 10. október 2002 og brunahönnun Línuhönnunar dags. í október og endurmetin 17. desember 2002 fylgja  erindinu.  Jafnframt lagt fram tölvubréf hönnuðar dags. 30. desember 2002.  Stærð: Stærðaraukning samtals 118,1 ferm., 638,5 rúmm.  Gjald kr. 4.800 + 30.648"
26501 (01.14.041.4),BN026501,Aðalstræti 9,br. í íbúðir - 2.hæð,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa. Málinu vísað til umsagnar gatnamálastjóra vegna svala við Aðalstræti.,"Sótt er um leyfi til þess að innrétta sex tveggja herbergja íbúðir á 2. hæð, byggja svalir við vestur-, austur- og suðurhlið 2. hæðar, breyta innra skipulagi kjallara og stækka verslanir í sameiginlegan gang á 1. hæð hússins á lóð nr. 9 við Aðalstræti.  Bréf frá stjórn húsfélagsins dags. 13. janúar 2003 fylgir erindinu.  Gjald kr. 4.800"
26484 (04.23.750.1),BN026484,Árkvörn 6,br. á innra skipulagi,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,Sótt er um leyfi til þess að setja upp vegg milli bókasafns og matsalar ásamt smávægilegum breytingum á breytingum á innra skipulagi í 1. og 2. áfanga Ártúnsskóla á lóð nr. 6 við Árkvörn.  Gjald kr. 4.800
26495 (01.85.430.1),BN026495,Árland 1-7,nr. 3 breyting úti og inni,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að setja glugga á áður gert kjallararými, koma fyrir kjallaratröppum við vesturhlið, breyta innra fyrirkomulagi á fyrstu hæð og breyta gluggum á fyrstu hæð hússins nr. 3 á lóðinni nr. 1-7 við Árland.  Samþykki meðlóðarhafa dags. 7. janúar 2003 fylgir erindinu.  Stærð: Stækkun áður gert kjallararými (geymslur) 272,4 ferm. og 762,8 rúmm.   Gjald kr. 4.800 + 13.075"
26475 (70.00.005.0),BN026475,Árvellir 125871,br. staðsetnig flutningshúss,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki heilbrigðiseftirlits. Frárennsli hússins skal tengt í viðurkennda rotþró.,Sótt er um leyfi til þess að breyta staðsetningu flutningshúss á lóð meðferðarheimilis að Árvöllum á Kjalarnesi.  Gjald kr. 4.800
26496 (04.94.420.1),BN026496,Bakkasel 20-36,"nr. 28, breytingar","Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdrátta nr. 101/3, 102/3 og 103/3 dags. ágúst 2002.","Sótt er um leyfi til þess að byggja svalir á annarri hæð, viðbyggingu á 1. hæð, og stækka kjallarahæð sem nemur ofanvarpi hinnar stækkuðu 1. hæðar í húsinu nr. 28 (matshl. 05) á lóðinni nr. 20-36 við Bakkasel.   Umsögn Borgarskipulags dags. 16. maí 2001 og útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 15. júlí 2002 fylgja erindinu.   Stærð: Stækkun kjallari og fyrsta hæð 21,5 ferm. og 54,2 rúmm.  Gjald kr. 4.800 + 2.602"
26503 (01.70.110.7),BN026503,Barmahlíð 3,reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir núverandi fyrirkomulagi á fyrstu og annarri hæð hússins á lóðinni nr. 3 við Barmahlíð.  Innra fyrirkomulagi er breytt og settir gluggar á austurhlið hússins.  Gjald kr. 5.100
26515 (01.18.440.9),BN026515,Bergstaðastræti 33,áður gerð íb. í kj.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir áður gerðri íbúð í kjallara og fyrir teikningu af núverandi innra skipulagi hinna þriggja  íbúða  nyrðra íbúðarhússins á lóð nr. 33 við Bergstaðastræti.  Bréf hönnuðar dags. 14. janúar 2003 og íbúðarskoðun byggingarfulltrúa dags. 24. september 2002 fylgja erindinu.  Gjald kr. 4.800
26516 (04.76.570.1),BN026516,D-Tröð 1,söðlasmíði,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að breyta hluta af hlöðu í aðstöðu fyrir söðlasmið í hesthúsi nr. 1 við D-tröð á Seláslandi.  Samþykki meðeigenda dags. 26. nóvember 2002 fylgir erindinu.  Gjald kr. 4.800
26369 (01.85.010.2),BN026369,Efstaland 26,ofanábygging,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að byggja litla viðbyggingu við austurhlið 1. hæðar, byggja skyggni yfir aðalinngang og byggja skrifstofuhæð ofan á húsið ásamt flóttastiga við suðurhlið atvinnuhússins á lóðinni nr. 26 við Efstaland.  Jafnframt er sótt um leyfi til þess að koma fyrir upplýstu skilti norðan hússins.  Samþykki f.h. dánarbús Guðfinns Sigfússonar dags. 20. desember 2002 fylgir erindinu. Bréf hönnuðar dags. 30. desember 2002 fylgir erindinu.  Stærð: Stækkun 1. hæð 6,0 ferm. og 16,5 rúmm. Stækkun 3. hæð 698,9 ferm. og 2446,1 rúmm.   Samtals stækkun 704,9 ferm. og 2462,6 rúmm.  Gjald kr. 4.800 + 118.205"
26451 (01.67.210.5),BN026451,Einarsnes 58,bílskúr,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til þess að breyta opnu bílskýli í bílskúr á lóðinni nr. 58 við Einarsnes.  Stærð: Bílskúr 24,0 ferm. og 84,6 rúmm.   Gjald kr. 4.800 + 4.061"
26500 (01.19.430.3),BN026500,Eiríksgata 6,"skyggni, gluggabr. ofl.",Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi til þess að síkka kjallaraglugga á suðvesturhlið og byggja skýli yfir kjallaratröppur gistiheimilisins Eiríkur Rauði á lóð nr. 6 við Eiríksgötu.  Gjald kr. 4.800
26468 (01.11.050.3),BN026468,Eyjarslóð 9,br. á innréttingum - br. í stigahúsi,Frestað. Gera grein fyrir fjölgun eigna.,Sótt er um samþykki fyrir leiðréttum teikningum af húsinu (matshl. 01) á lóðinni nr. 9 við Eyjarslóð.  Gjald kr. 4.800
26512 (01.46.200.1),BN026512,Faxafen 8-14 - Skeifan 11-19,breyting,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að lagfæra útlit og breyta skráningu úr iðnaðarhúsnæði í verslun í matshl. 04 í húsinu nr. 11 við Skeifuna á lóðinni nr. 8-14 vð Faxafen og 11-19 við Skeifuna.  Gjald kr. 4.800
26163 (02.58.430.2),BN026163,Flétturimi 9-15,reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um samþykki fyrir áður gerðum breytingum í stigahúsi og þakrými húss nr. 13 og áður gerðum breytingum í kjallara alls hússins á lóðinni nr. 9-15 við Flétturima.  Samþykki stjórnar húsfélagsins dags. 16. janúar 2003 fylgir eirndinu.  Gjald kr. 4.800
26362 (02.46.810.2),BN026362,Fossaleynir 19-21,annar áfangi,Frestað. Lagfæra afstöðumynd í samræmi við mæliblað.,"Sótt er um leyfi til að byggja atvinnuhúsnæði (matshl. 02) úr stálvirki og samlokueiningum á lóðinni nr. 19-21við Fossaleyni.   Húsið, sem er annar áfangi af þremur á lóðinni, verði að mestu á einni hæð en skrifstofuhluti þess á þremur hæðum.  Bréf hönnuða (bæði ódags.) fylgja erindinu. Skýrsla um hönnun eldvarna endurskoðuð 10. desember 2002 fylgir erindinu.   Stærðir: 1. hæð 2028,4 ferm., 2. hæð 657,8 ferm., 3. hæð 543,8 ferm. Samtals 3230,0 ferm. og 22707,2 rúmm.  Gjald kr. 4.800 + 1.089.946"
26241 (01.13.810.6),BN026241,Framnesvegur 54,áður g. íb. og viðb.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðri íbúð á fyrstu hæð og áður gerðri viðbyggingu við húsið á lóðinni nr. 54 við Framnesveg.  Afsal dags. 8. nóvember 1949 fylgir erindinu.  Stærð: Viðbygging 7,0 ferm. og 16,1 rúmm.  Gjald kr. 4.800 + 773"
25430 (01.13.601.1),BN025430,Garðastræti 6,tvær íb. á 3. hæð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til þess að innrétta tvær íbúðir og byggja svalir á bakhlið þriðju hæðar fjöleignarhússins á lóð nr. 6 við Garðastræti.  Samþykki meðeigenda dags. 31. júlí 2002 og 14. janúar 2003 fylgja erindinu.  Gjald kr. 4.800
