nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
27574 (01.13.650.1),BN027574,Aðalstræti 4,br. starfsm.aðst. og brunavarnir,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi fyrir breytingum á innra fyrirkomulagi hótelsins á lóðinni nr. 4 við Aðalstræti. Breytingar varða starfsmannarými í vesturhluta, fjölgun herbergja í vesturhluta og brunaþol hurða á ræstihebergjum.  Leiðrétt skráningartafla fylgir erindinu, en ekki er um stækkun hússins að ræða.  Erindinu fylgir bréf VSI dags. 15. júlí 2003 vegna brunahönnunar.  Leiðréttar stærðir: 2.866 ferm. (- 1,6) og 8.906,4 rúmm. (+ 27,1)  Gjald kr. 5.100 + 1.382"
26501 (01.14.041.4),BN026501,Aðalstræti 9,br. í íbúðir - 2.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að innrétta sex tveggja herbergja íbúðir á 2. hæð, byggja svalir við suðurhlið 2. hæðar, breyta innra skipulagi kjallara, stækka 1. hæð í suður og byggja sorpskýli við austurhlið hússins á lóð nr. 9 við Aðalstræti.  Bréf frá stjórn húsfélagsins dags. 13. janúar 2003, umsögn gatnamálastjóra dags. 23. janúar 2003, útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 24. janúar og 17. október 2003, mótmæli meðeiganda dags. 27. febrúar 2003, afsal vegna eignar nú 0003 innfært 18. febrúar 2001, bréf meðeiganda dags. 7. mars 2003, ljósrit af bréfum eldvarnareftirlits dags. 1. ágúst 1997, 8. febrúar 1998 og 2. júní 2000, bréf Jóns Einars Jakobssonar lögmanns dags. 23. september 2003 og 20. október 2003 og samþykki sumra meðeigenda  dags. 15. júní 2003 fylgja erindinu.  Stærð: Stækkun 1. hæð 3,9 ferm., 13,7 rúmm.  Gjald kr. 5.100 + 699"
28244 (01.43.030.1 08),BN028244,Álfheimar 22,áður gerð íbúð í kjallara,Frestað. Vísað til athugasemda á umsóknarblaði. Verði ekki sýnt viðbótarbílastæði á lóð ber umsækjanda að  greiða fyrir eitt bílastæði í flokki l kr. 322.017,"Sótt er um leyfi fyrir áður gerðri íbúð í kjallara hússins nr. 22 (mhl. 08) á lóðinni nr. 8-24 við Álfheima.  Erindinu fylgir;  virðingargjörð dags. 27. des. 1960, mótmælabréf vegna Álfheima 12 dags. 28. jan. 2003, skoðunarskýrsla byggingarfulltrúa dags. 7. mars.2003, erindi til kærunefndar fjöleignahúsa dags. 11. mars 2003, álit kærunefndar dags. 2. maí 2003, bréf umsækjanda vegna bílastæðamála dags. 8. apríl 2003, samþykki nokkurra meðlóðarhafa ódags., dags. 8. apríl 2003,   Gjald kr. 5.100"
28239 (01.43.430.1),BN028239,Álfheimar 74,reyndartkn. Sportbarinn,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki heilbrigðiseftirlits. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um samþykki fyrir núverandi innra skipulagi veitingastaðarins Sportbarinn í kjallara Glæsibæjar á lóð nr. 74 við Álfheima.  Gjald kr. 5.100
26281 (01.18.450.9),BN026281,Baldursgata 17,reyndarteikn.+ ósamþ.íb.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um samþykki fyrir áður gerðri stækkun bakhúss, afmörkun ósamþykktrar íbúðar í bakhúsi og sameiningu fram- og bakhúss í einn matshluta á lóð nr. 17 við Baldursgötu.  Bréf hönnuðar dags. 10. október 2003, samþykki meðeigenda ódags.  og afsal séreignar (0102) í bakhúsi innfært 5. október 1998 fylgja eindinu.  Stærð: Áður gerð stækkun 23,5 ferm., 67,5 rúmm.  Gjald kr. 4.800 + 3.443"
28236 (01.70.201.7),BN028236,Barmahlíð 23,stækkun svala,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,Sótt er um leyfi til að stækka svalir á annarri hæð og endurnýja og breyta svalahandriðum á báðum hæðum suðurhliðar hússins á lóðinni nr. 23 við Barmahlíð.  Samþykki meðeiganda og nágranna í húsi nr. 25 dags. 20. október 2003 fylgir erindinu.  Gjald kr. 5.100
28237 (01.70.201.8),BN028237,Barmahlíð 25,"stækkun svala, handrið",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,Sótt er um leyfi til að stækka svalir á annarri hæð og endurnýja og breyta svalahandriðum á báðum hæðum suðurhliðar hússins á lóðinni nr. 25 við Barmahlíð.  Samþykki meðeiganda og nágranna í húsi nr. 23 dags. 20. október 2003 fylgir erindinu.  Gjald kr. 5.100
28240 (01.13.530.7),BN028240,Bárugata 22,kj. v. eignaskipta,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir núverandi innra skipulagi kjallara vegna gerðar eignaskiptayfirlýsingar á lóð nr. 22 við Bárugötu.  Samþykki meðeigenda (á teikningu) fylgir erindinu.  Gjald kr. 5.100
28253 (01.24.220.7),BN028253,Brautarholt 20,br. á 1. og 2. hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta innra fyrirkomulagi og útliti fyrstu og annarrar hæðar hússins nr. 20 við Brautarholt.  Gjald kr. 5.100
28162 (01.13.700.7),BN028162,Bræðraborgarstígur 19,rishæð,Frestað. Lagfæra skráningu.,Sótt er um samþykki fyrir núverandi innra fyrirkomulagi á rishæð (5.hæð) hússins á lóðinni nr. 19 við Bræðraborgarstíg.  Gjald kr. 5.100
