nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
28756 (01.13.650.6),BN028756,Aðalstræti 16,br. á fl. brunakl. 1. og 3.h,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til þess að breyta brunaflokkun klæðninga á 1. og 3. hæð hótelbyggingar á lóð nr. 16 við Aðalstræti.  Brunahönnun VST 2. útgáfa dags. febrúar 2004 fylgir erindinu.  Gjald kr. 5.400
28575 (01.63.000.5),BN028575,Aragata 10,skipta í tvær íbúðir,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi og skrá sem tvær íbúðir húsið á lóðinni nr. 10 við Aragötu.  Húsið er nú skráð sem ein eign en á samþykktum teikningum eru sýndar þrjú eldhús í húsinu.  Bréf umsækjenda dags. 11. nóvember 2003, sameignarsamningur dags. 17. maí 1961 og yfirlýsing dags. 1. febrúar 2000 fylgja erindinu.  Gjald kr. 5.100"
28768 (01.83.730.2),BN028768,Austurgerði 3,klæðning,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að klæða útveggi einbýlishússins með sléttum Steniplötum á lóð nr. 3 við Akurgerði.  Ástandslýsing útveggja dags. 11. janúar fylgir erindinu.  Gjald kr. 5.400
28795 (01.14.041.8),BN028795,Austurv Póstur og Sím,vararafstöð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að koma fyrir vararafstöð í norðurhorni  fyrstu hæðar húss nr. 4 við Thorvaldsensstræti.  Gjald kr. 5.400
28288 (01.52.160.5),BN028288,Álagrandi 4,flutningshús,Frestað. Lagfæra skráningu.,"Sótt er um leyfi til þess að koma fyrir flutningshúsi úr  timbri á steinsteyptum kjallara ásamt steinsteyptu stigahúsi  við norðurgafl tvíbýlishússins á lóðinni nr. 4 við Álagranda. Flutningshúsið er  tvær hæðir ásamt rishæð með kvisti á austurþekju og stóð áður á lóðinni nr. 86 við Laugaveg.  Bréf hönnuðar dags. 24. október 2003 og bréf umsækjanda dags. 5. desember 2003 fylgja erindinu.  Stærð: Kjallari 102,3 ferm., 1. hæð 99,6 ferm., 2. hæð 98,4 ferm., 3. hæð 78,5 ferm., samtals 378,8 ferm., 1059  rúmm.  Gjald kr. 5.100 + 57.186"
28544 (01.26.120.1),BN028544,Ármúli 3,viðb. o.fl. breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja einnar hæðar léttbyggða viðbyggingu við norðvesturhorn húss að Ármúla (matshluta 01), setja upp hringhurð í anddyri á suðurhlið, skipta út gluggum á suður og vesturhlið 1. hæðar og breyta innra skipulagi á 1., 2., 4. og 5. hæð atvinnuhússins á lóð nr. 3 við Ármúla.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 19. desember 2003.  Stærð: Viðbygging 49,9 ferm., 214,6 rúmm.  Gjald kr. 5.100 + 11.588"
28796 (01.17.120.1),BN028796,Bankastræti 12,br. á inng. 1.h og bar á 2. h,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um samþykki fyrir breyttu anddyri á 1. hæð og breyttu barborði á 2. hæð ásamt fyrir notkun geymslu á 2. hæð fyrir starfsmannaeldhús Priksins á lóð nr. 12 við Bankastræti.  Gjald kr. 5.400
28788 (01.18.530.1),BN028788,Bergstaðastræti 48,breyta í íbúð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að innrétta íbúð í stað skrifstofu í suðurenda 1. hæðar fjöleignarhússins á lóð nr. 48 við Bergstaðastræti.  Gjald kr. 5.400
28498 (05.13.430.2),BN028498,Biskupsgata 31-39,"br. hæðarkótar, br bílskúr",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til þess að fella niður glugga á bakhlið bílskúrs 0103, hækka gólfkóta matshluta 01-05 um 70 cm (úr kóta 85,30 í 86,00) og setja alla bílskúra bílgeymslu (matshluta 06) í kóta 86,00 í stað þess að stalla bílgeymsluna í húsinu nr. 31-39 við Biskupsgötu.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 23. janúar 2004 fylgir erindinu.  Gjald kr. 5.100"
28786 (04.64.230.1),BN028786,Blikahólar  2-12,breytingar á klæðningu,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi fyrir áður gerðum breytingum á deilingu platna vegna klæðningar á bílskúrum (matshl. 07) á lóðinni nr. 2-12 við Blikahóla.  Gjald kr. 5.400
28774 (01.51.330.2),BN028774,Boðagrandi 2,breyting inni,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir áður gerðum breytingum vegna lokaútektar húsanna nr. 2 og 2A við Boðagranda, þ.á.m. er uppbyggingu þaks á bílgeymslum breytt.  Gjald kr. 5.400"
27340 (01.25.120.3),BN027340,Bolholt 6-8,nr. 6 br. í gistih. á 4.h,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki heilbrigðiseftirlits. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til þess að innrétta gistiheimili með 13 herbergjum fyrir allt að 20 manns á 4. hæð í húsi nr. 6 á lóð nr. 6-8 við Bolholt.  Bréf meðeigenda dags. 12. júní og 17. september 2003, bréf lögmanna fyrir hönd eigenda dags. 17. september 2003 ásamt áliti Kærunefndar fjöleignarhúsamála dags. 18. desember 2003 fylgja erindinu.  Gjald kr. 5.100"
28656 (02.42.430.6),BN028656,Brúnastaðir 63,viðbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir viðbyggingu með baðherbergi að suðurhlið hússins á lóðinni nr. 63 við Brúnastaði.  Jafnframt er gerð grein fyrir breytingum á gluggasetningu hússins.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 6. febrúar 2004 fylgir erindinu.  Samþykki nokkurra nágranna (á teikn.) fylgir erindinu.  Stærð: Stækkun, viðbygging 6,3 ferm. og 13,63 rúmm.  Gjald kr 5.400 + 736"
28785 (01.35.100.1),BN028785,Brúnavegur Hrafnista,Stækka aðalinngang,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta fyrirkomulagi við aðalinngang B-álmu dvalarheimilisins Hrafnistu við Brúnaveg. Anddyri verði stækkað, komið fyrir þjónusturýmum, verslun færð til o.fl. Jafnframt verði burðarvirkjum breytt að hluta, steinsteyptir veggir fjarlægðir og komið fyrir stálvikjum í staðinn.  Stækkun: xx  Gjald kr. 5.400 + xx"
28790 (01.82.630.4),BN028790,Byggðarendi 8,breyta einbýlish. í tvíbýlishús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að grafa út lóð, taka í notkun óuppfyllt rými og koma fyrir sjálfstæðri íbúð á neðri hæð hússins nr. 8 við Byggðarenda.  Yfirlýsing burðarvirkishönnuðar dags. 2. febrúar 2004 fylgir erindinu.  Stærð: Stækkun, óuppfyllt rými xx  Gjald kr. 5.400 + xx"
28770 (01.11.050.4),BN028770,Eyjarslóð 7,stækka glugga,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að síkka þrjá austustu gluggana á suðausturhlið hússins nr. 7 við Eyjarslóð. Jafnframt verði verslun á fyrstu hæð breytt í sýningarsal.  Gjald kr. 5.400
23935 (01.18.452.5),BN023935,Freyjugata 10,Reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðum íbúðum á 1. og 2. hæð og fyrir núverandi útliti og fyrirkomulagi hússins á lóðinni nr. 10 við Freyjugötu.  Skoðunarskýrslur byggingarfulltrúa dags. 5. desember 2001 og samþykki meðeigenda dags. 2. október 2001 fylgir erindinu. Þinglýst yfirlýsing um umferðarrétt dags. 5. júlí 1989 fylgir erindinu. Afsalsbréf dags. 15. marz 1958,   20. desember 1964 og 17. febrúar 1965 fylgja erindinu.  Bréf hönnuðar dags. 25. september 2002 og bréf umsækjanda dags. 11. apríl 2003 fylgja erindinu.  Gjald kr. 4.100"
28314 (01.47.300.2),BN028314,Gnoðarvogur 82,byggja yfir efstu svalir,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðri viðbyggingu í suðausturhorni 3. hæðar og fyrir áður gerðri breytingu á stærð íbúðar í kjallara ásamt leyfi til þess að byggja viðbyggingu í stað núverandi svala við norðausturhlið 3. hæðar og svalaskýli  og viðbyggingu yfir svalir við suðvesturhlið 3. hæðar  íbúðarhússins á lóð nr. 82 við Gnoðarvog.  Bréf f.h. umsækjanda dags. 31. október 2003 og samþykki meðeigenda dags. 4. mars 2003 fylgja erindinu.  Stærð: Áður gerð viðbygging xxx ferm., xxx rúmm., viðbygging xxx ferm., xxx rúmm., svalaskýli xxx ferm., xxx rúmm.  Gjald kr. 5.100 + xxx"
28772 (01.17.422.0),BN028772,Grettisgata 57B,áður gerðar breytingar v eignaskipta,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir áður gerðum breytingum á húsinu nr. 57B við Grettisgötu vegna eignaskipta. Breytingarnar taka til fyrirkomulags í kjallara og eignaafmörkunar í kjallara og á fyrstu hæð og gerð er grein fyrir stækkun geymsluskúrs á lóðinni.  Erindinu fylgir samþykki meðlóðarhafa dags. 30. jan. 2004.  Stækkun: xx  Gjald kr. 5.400 + xx
28369 (01.18.400.2),BN028369,Grundarstígur 7,Verslun (Litla jólabúðin),Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til þess að breyta bílskúr (matshl. 02) í verslun og lager (""Litla jólabúðin"") á lóðinni nr. 7 við Grundarstíg.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 13. júní 2003 (v. fyrirspurnar) fylgir erindinu.  Samþykki nágranna í húsum nr. 5A og 9 við Grundarstíg, nr. 3, 5 og 7 við Bjargarstíg og nr. 20 við Bergstaðastræti dags. í október 2003 fylgir erindinu. Bréf umsækjanda dags. 9. nóvember 2003 og í maí 2003 fylgja erindinu. Málið var í kynningu frá 26. nóvember til 29. desember 2003. Engar athugasemdir bárust.  Gjald kr. 5.100"
28679 (01.18.020.7),BN028679,Hallveigarstígur 10,klæðning og breytingar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Eigendur skulu uppfæra eignaskiptayfirlýsingu.,Sótt er um leyfi til þess að breyta gluggum og bárujárnsklæða framhús (matshl. 01) á lóðinni nr. 10 við Hallveigarstíg.  Einnig er gerð grein fyrir breytingum á innra fyrirkomulagi í kjallara. Umsögn Húsafriðunarnefndar dags. 22. janúar 2004 fylgir erindinu  Eignaskiptasamningur þinglýstur 4. maí 1992.  Gjald kr. 5.400
28696 (08.1-.--6.3),BN028696,Heiðmörk Torgeirsst.,stækkun á verönd  og gerð minningalundar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að stækka verönd við Torgeirsstaði, hús Norðmannafélagsins á Íslandi  í Heiðmörk. Jafnframt verði gerður minningarlundur norðvestan hússins, náðhús fjarlægt og gerðar lagfæringar varðandi frárennsli og meðhöndlun úrgangs.  Erindinu fylgir afrit af bréfi Umhverfisstofu til umsækjanda dags. 26. sept. 2003, bréf hönnuðar dags. 15. jan. 2004, útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 10. febrúar 2004 og umsögn skipulagsfulltrúa dags. 5. febrúar 2004.  Gjald kr. 5.400"
28707 (01.72.220.2),BN028707,Hvassaleiti 24-26,skjólveggir á svalir,Frestað. Vantar samþykki tveggja meðeigenda.,Sótt er um leyfi til þess að byggja skjólveggi úr gleri á svölum á vesturhlið hússins á lóðinni nr. 24-26 við Hvassaleiti.  Tilvísun til aðalfundar húsfélags dags. í október 2003 fylgir erindinu.  Gjald kr. 5.400
27103 (01.17.300.8),BN027103,Hverfisgata 74,íbúð rými 0102,Frestað. Enn þarf að lagfæra skráningu.,Sótt er um leyfi til að koma fyrir íbúð á fyrstu hæð hússins nr. 74 við Hverfisgötu (rými 0102). Í húsnæðinu var rekin verslun.  Erindinu fylgir samþykki meðlóðarhafa.  Gjald kr. 5.100
28333 (01.63.570.1),BN028333,Hörpugata 4,áður gerð íb. í kj.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðri íbúð í kjallara íbúðarhússins ásamt samþykki fyrir áður gerðri stækkun geymsluhúss á lóð nr. 4 við Hörpugötu.  Tengiskýrsla Rafmagnsstjórnar Reykjavíkur dags. 23. maí 1952, íbúðarskoðun byggingarfulltrúa dags. 19. ágúst 2003 og þinglesin kvöð vegna matshluta 03 innfærð 9. febrúar 2004 fylgja erindinu.  Stærð: Áður gerð stækkun geymsluskúrs 11,1 ferm., 64,8  rúmm.  Gjald kr. 5.100 + 3.305"
28802 (04.13.510.2),BN028802,Kirkjustétt 18-22,18 - aðskilið byggingarleyfi v/byggingarstjóraskipta,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um sjálfstætt byggingarleyfi fyrir raðhús nr. 18 á lóðinni nr. 18-22 við Kirkjustétt, sem samþykkt var 10. ágúst 2000.  Gjald kr. 5.400"
28803 (00.00.000.0 03),BN028803,Kirkjustétt 22,22- aðskilið byggingarleyfi v/byggingarstjóraskipta,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um sjálfstætt byggingarleyfi fyrir raðhús nr. 22 á lóðinni nr. 18-22 við Kirkjustétt, sem samþykkt var 10. ágúst 2000.  Gjald kr. 5.400"
28585 (01.36.300.1),BN028585,Kirkjuteigur 24,færanl. kennslust. - breytt afstm.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um samþykki fyrir breyttri staðsetningu og fækkun færanlegra kennslustofa úr sex í fimm á lóð Laugarnesskóla við Kirkjuteig nr. 24.  Jafnframt er gerð grein fyrir breytingu á bílastæðum á lóðinni.  Gjald kr. 5.100
28769 (04.34.640.1),BN028769,Klettháls 11,breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þesss að breyta stærð og staðsetningu nýsamþykkts einlyfts timburhúss fyrir tvær bílasölur á lóð nr. 11 við Klettháls.  Stærð: Breyttar stærðir atvinnuhús var 213 ferm., verður 242,8 ferm., var 836,2 rúmm verður 1103,6 rúmm.  Gjald kr. 5.400 + 14.440"
28775 (04.11.460.2),BN028775,Kristnibraut 55-59,stækka bilageymslu,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að stækka bílgeymslu (mhl. 03) á lóðinni nr. 55-59 við Kristnibraut um 1 m til austurs.  Stækkun bílgeymslu: 6,6 ferm og 20,6 rúmm.  Gjald kr. 5.400 + 1.124"
28574 (04.32.340.1),BN028574,Krókháls 5-5G,br. innara frkl og sameining matshl.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að innrétta 3. hæð, stækka milliloft og bæta við hringstiga upp á risloft húss nr. 5F á lóð nr. 5-5G við Krókháls. Jafnframt verði hús nr. 5C-5G gerð að einum matshluta sem verði nr. 02.  Erindinu fylgir tölvupóstur hönnuðar dags. 17. des. 2003.  Stækkun milligólfs:  40,9 ferm.  Gjald kr. 5.100"
28582 (01.17.130.1),BN028582,Laugavegur 2,veislusalur 2. hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að breyta innra fyrirkomulagi og innrétta veislusal á annarri hæð hússins nr. 2 við Laugaveg.  Gjald kr. 5.100
28771 (01.17.221.7),BN028771,Laugavegur 34B,breyting inni,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að breyta rými 0301 í geymlsu og breyta eignarhaldi á geymslu 0103 í húsinu á lóðinni nr. 34B við Laugaveg.   Gjald kr. 5.400
28629 (01.17.222.2),BN028629,Laugavegur 40A,br. inni og útitröppur,Frestað. Athygli er vakin á kvöð vegna Frakkastígs 12A.,"Sótt er um leyfi til þess að breyta innra skipulagi kjallara , 1. og 2. hæðar og setja útitröppur að 1.hæð við vesturhlið bakbyggingar á lóð nr. 40A við Laugaveg.  Samkomulag eigenda Laugavegar 40 og 40A varðandi loftræsingu frá veitingahúsi að Laugavegi 40A dags. 28. janúar 2004 ásamt samkomulagi eigenda Laugavegar 40 og 40A m.a. varðandi sameiginlega sorpgeymslu og sameiningu lóða dags. 24. nóvember 2003 fylgja erindinu.  Stærð: Geymsla undir útitröppu xxx ferm., xxx rúmm.  Gjald kr. 5.400 + xx"
28661 (04.77.160.1),BN028661,Lækjarvað 1-11,tvíbýlishús,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til þess að byggja sex sambyggð tvíbýlishús eða samtals tólf íbúðir á lóðinni nr. 1-11 við Lækjarvað.  Húsin eru tvílyft úr steinsteypu, hverju húsi fylgir ein innbyggð bílgeymsla.  Stærðir: Hús nr. 1 (matshl. 01) 1. hæð íbúð 0101 185,4 ferm., íbúð 0201 17,8 ferm., bílgeymsla 33,8 ferm. (B-rými í sameign 11,2 ferm og 32,0 rúmm.) 2. hæð íbúð 0201 122,5 ferm.   Samtals 359,5 ferm. og 1113,5 rúmm.  Hús nr. 3, 5, 7 og 9 (matshl. 02, 03, 04 og 05) 1. hæð íbúð 0101 124,6 ferm., íbúð 0201 17,8 ferm., bílgeymsla 33,8 ferm. (B-rými í sameign 11,2 ferm og 32,0 rúmm.) 2. hæð íbúð 0201 122,5 ferm.  Samtals 298,7 ferm. og 921,3 rúmm.  Hús nr. 11 (matshl 06) 1. hæð íbúð 0101 124,8 ferm., íbúð 0201 18,2 ferm., bílgeymsla 31,9 ferm. (B-rými í sameign 11,2 ferm og 32,0 rúmm.) 2. hæð íbúð 0201 122,5 ferm. Samtals 297,4 ferm. og 917,3 rúmm.  Alls samtals 1851,7 ferm. og 5716,0 rúmm. (B-rými í sameign samtals 67,2 ferm. og 192,0 rúmm.)  Gjald kr. 5.400 + 319.032"
