nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
34225 (01.18.620.1),BN034225,Baldursgata 14,br. á veitingastað,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um breytingar á innra skipulagi veitingastaðar á 1. hæð ásamt leyfi til þess að nýta íbúð 0002 á Baldursgötu 11 fyrir bráðabirgða starfsmannaaðstöðu fyrir veitingastaðinn á lóð nr. 14 við Baldursgötu.  Með umsókninni fylgir bréf eldvarnareftirlits dags. 8. nóv. 2005, umsögn Vinnueftirlitsins. 9. des 2005, bréf vinnueftirlits dags. 21. júní 2006 og bréf umsækjanda ódags.   Gjald kr. 6.100"
33815 (01.44.200.7 01),BN033815,Barðavogur 26,setja svalir og stiga,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,Sótt er um leyfi til að setja svalir með tröppum niður í garð af miðhæð hússins á lóðinni nr. 26 við Barðavog.  Málinu fylgir samþykki meðeigenda dags. 15. mars 2006.  Gjald kr. 6.100
34224 (01.17.421.3),BN034224,Barónsstígur 16,gróðurhús,Frestað. Vísað til athugasemda á umsóknarblaði og útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 30. júní 2006.,"Sótt er um leyfi til að byggja gróðurhús með geymslu upp að steyptum vegg á lóðamörkum á Barónsstíg 16.  Samþykki lóðarhafa Laugavegs 78 dagsett 19. júní 2006 fylgir  ásamt útskrift úr embættisafgreiðslufundar skipulagsfulltrúa frá 30. júní 2006.  Stærð 16,9 ferm og 34,9 rúmm   Gjald kr. 6.100 + 2.129"
34282 (04.05.560.3),BN034282,Bíldshöfði 5A,breyting inni og úti,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til þess að breyta innra skipulagi í bílaverkstæðis, rífa útbyggingu við suðausturhorn og byggja nýja, stærri og tveggja hæða í staðinn, rífa skúr við norðurhlið og byggja nýjan í staðinn á lóðinni nr. 5a við Bíldshöfða.  Stærð niðurrifs:  Útbygging (skáli) 25 ferm., skúr 7,8 ferm.  Samtals niðurrif 32,8 ferm., 114,2 rúmm.  Stærð nýbygginga:  Skáli  62,8 ferm., 191,8 rúmm.  Skúr 8,05 ferm., 26,8 rúmm. Samtals  70,9 ferm., 218,6 rúmm.  Gjald kr. 6.100 + 13.335"
34257 (01.34.9-9.9),BN034257,Borgartún 41,niðurrif á matshluta 08-0101,Frestað. Vantar umsagnir Húsafriðunarnefndar og Árbæjarsafns.,Sótt er um leyfi til að rífa matshluta 08-0101 á lóðinni nr. 41 við Borgartún.  Nirðurrif:  Fastanúmer 01-7209 merkt. 08 0101 Sætún karlsefni 182 ferm.  Gjald kr. 6.100
34299 (01.22.010.7),BN034299,Borgartún 8,takmarkað byggingarleyfi 3. áfangi,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Samanber einnig skilmála byggingarfulltrúa.,Ofanritaður sækir um takmarkað byggingarleyfi til að vinna jarðvinnu og sprengja á lóðinni nr. 8-16 við Borgartún.
34108 (01.35.100.1),BN034108,Brúnavegur Hrafnista,br. og svalaskýli,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Þinglýsa skal kvöð um eignarhald samanber texta á teikningu.,"Sótt er um leyfi til þess að breyta innra skipulagi í kjallara, breyta afmörkun loftrýmis yfir 4. hæð, koma fyrir póstalausum glerjum á rennibrautum á svalir og verandir, breyta þaki yfir efstu svalaskýlum, setja upp glerlokun  á norðurhlið á svalir á vesturgafli og breyta skráningu fyrir  þegar samþykkta íbúðarbyggingu (matshluti 45) á lóð Hrafnistu við Brúnaveg.  Stærð:  Svalaskýli og glerskálar samtals 200 ferm., 604  rúmm.  Gjald kr. 6.100 + 6.100 + 36.844"
33973 (01.13.912.2 01),BN033973,Bræðraborgarstígur 39,ósamþ.bílg. rifin og ný byggð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að rífa áður gerðan ósamþykktan bílskúr og byggja steinsteypta bílgeymslu með geymslukjallara við vesturhlið húss nr. 39 á lóð nr. 39-41 við Bræðraborgarstíg.   Skilyrt samþykki f.h. eigenda Sólvallagötu 47 dags. 9. september 2005, mótmælabréf frá eiganda Sólvallagötu 47 dags. 26. júní 2006, skilyrt samþykki f.h. húsfélagsins  Bræðraborgarstígs 41 dags. 28. júní 2005, mótmæli f.h. húsfélagsins Bræðraborgarstígs 41 dags. 23. júní 2006, umboð þinglýsts eiganda Bræðraborgarstígs 39 dags. 23. júní 2005 og bréf umsækjanda dags. 26. júní 2006 fylgja erindinu.  Stærð: Bílgeymsla samtals  67,4 ferm., 207 rúmm.  Gjald kr. 6.100 + 12.627"
34104 (01.34.450.1),BN034104,Dalbraut 12,viðbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja tveggja hæða steinsteypta viðbyggingu ásamt kjallara og tengibyggingu við suðausturhorn núverandi göngudeildar  Landspítala Háskólasjúkrahúss á lóðinni nr. 12 við Dalbraut.  Brunahönnun Línuhönnunar dags. 26. maí 2006 og bréf brunahönnuðar dags. 27. júní 2006, bréf hönnuðar dags. 30. maí, 12. og 26. júní 2006 fylgja erindinu ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 16. júní 2006.  Stærð:  Stækkun kjallari 395 ferm., 1. hæð 426 ferm., 2. hæð 423,2 ferm., samtals 1244,2 ferm., 4360 rúmm.,  Gjald kr. 6.100 + 6.100 + 265.960"
34115 (01.19.430.3),BN034115,Eiríksgata 6,br. á hluta íbúðar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,Sótt er um samþykki fyrir áður gerðum breytingum á gistiheimili þar sem meðal annars hefur verið innréttað gistirými í áður bílgeymslu og gluggar á suðvesturhlið kjallara síkkaðir á húsinu á lóð nr. 6 við Eiríksgötu.  Gjald kr. 6.100
