nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
35134 (01.14.040.2),BN035134,Austurstræti 4,núverandi fyrirkomulag,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir núverandi innra skipulagi veitingastaðar á 1. og 2. hæð austurenda hússins á lóð nr.  4 við Austurstræti.  Ljósrit af leyfisbréfi dags. 17. desember 2002 fylgir erindinu.  Gjald kr. 6.100
35118 (01.85.430.1),BN035118,Árland 1-7,stækkun á kjallara,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi fyrir kjallararými í áður óuppfylltu rými í húsi nr. 1 við Árland.   Stærð: Stækkun 124,1 ferm., 401,2 rúmm.  Gjald kr. 6.100 + 24.473"
35149 (01.18.021.1),BN035149,Bergstaðastræti 12,álklæðning,"Synjað. Með vísan til umsagnar skipulagsfulltrúa þar sem klæðning að utan fellur ekki að nágrenni, sbr. ákv. í deiliskipulagsskilmálum.","Sótt er um leyfi til að einangra að utan og klæða með báru og sléttri álklæðningu, einnig að breyta innra fyrirkomulagi  í einingum 0203, 0303 og 0403 í matshluta 01(hús nr. 12a) á lóðinni nr. 12 við Bergstaðastræti.  Gjald kr. 6.100"
35147 (01.22.000.2),BN035147,Borgartún 6,1.hæð skipt í fjórar sjálfst. fasteignir,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er leyfi fyrir að skipta 1. hæðinni í fjórar sjálfstæða eignarhluta og innrétta einingu 0103 og 0104 sem skrifstofurými einnig að fjölga geymslum í kjallara.  Gjald kr. 6.100
35128,BN035128,Borgartún 8,innkeyrslurampi,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir  innkeyrslurampi í Höfðatúni að væntanlegu bílstæðishúsi Höfðatorgs ásamt tæknirými Orkuveitunar, lagnarýmum og tæknirýmum sem tilheyra bílastæðishúsinu.  Meðfylgjandi er bréf burðarvirkishönnuðar dags. 8. desember 2006, teikningar af umferðarskipulagi meðan á framkvæmdum stendur frá VSÓ ráðgjöf dags. 5. desember 2006 ónúmeraðar 6 stk.  Stærðir: 237,9 ferm., 1135,0 rúmm.  Gjald kr. 6.100 + 69.235"
35098 (01.35.510.2),BN035098,Efstasund 11,viðbygging,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til að byggja kjallara og hæð til austurs við fjölbýlishúsið á lóðinni nr. 11 við Efstasund.  Einnig er sótt um leyfi til að rífa gróðurhús á sömu lóð og koma fyrir þaksvölum ofan á viðbyggingu.  Málinu fylgir samþykki meðlóðarhafa áritað á uppdrátt, samþykki Efstasunds nr. 9 og nr. 13 og Skipasunds nr. 10 dags. 28. nóvember 2006. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 15. desember 2006 fylgir erindinu.  Niðurrif :  Fastanr. 201-8004, mhl. 03 eignarhl. 0101:  4,5 ferm. og 19 rúmm.  Stærð:  Viðbygging 91,8 ferm., 267 rúmm.  Gjald kr. 6.100 + 16.287"
35122 (04.03.400.1),BN035122,Eirhöfði 11,br. innréttingu - áður gerðar keyrsludyr,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,Sótt er um leyfi fyrir minniháttar breytingu á innra fyrirkomulag á 1. hæð og á tveimur áður gerðum innkeyrsluhurðum á lóðinni nr. 11 við Eirhöfða.  Bréf aðalhönnuðar dags. 6. desember 2006 fylgir erindinu.  Gjald kr. 6.100
35150 (04.73.240.1),BN035150,Ferjuvað 13-17,takmarkað byggingarleyfi,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.,"Ofanritaður sækir um takmarkað byggingarleyfi fyrir greftri, fyllingu og aðstöðugerð á lóðinni nr. 13-17 við Ferjuvað."
35085 (04.73.250.1),BN035085,Ferjuvað 7-11,þrjú fjölbýlishús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja þrjú steinsteypt þrílyft fjölbýlishús með níu íbúðum í hverju ásamt geymslu- og bílgeymslukjallara fyrir 18 bíla á lóð nr. 7-11 við Ferjuvað.  Stærð: Ferjuvað 7 (matshluti 01) Íbúð geymslukjallari 160,4 ferm., 1. hæð 262,6 ferm., 2. hæð 258,5 ferm., 3. hæð 258,5 ferm., bílageymsla 569,5 ferm., samtals 1509,5ferm., 4420,1 rúmm.  Ferjuvað 9 (matshluti 02) Íbúð geymslukjallari 118,1 ferm., 1. hæð 262,6 ferm., 2. hæð 258,4 ferm., 3. hæð 258,4 ferm., samtals 897,5 ferm., 2649,6 rúmm.  Ferjuvað 11 (matshluti 03) Íbúð geymslukjallari 133,8 ferm., 1. hæð 262,6 ferm., 2. hæð 258,4 ferm., 3. hæð 258,4 ferm., samtals 913,2 ferm., 2692,8 rúmm.  Gjald kr. 6.100 + 595.513"
35159 (05.05.330.1),BN035159,Friggjarbrunnur 20-22,takmarkað byggingarleyfi,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.,"Ofanritaðir sækja um takmarkað byggingarleyfi fyrir greftri, fyllingu og aðstöðugerð á lóðinni nr. 20-22 við Friggjarbrunn."
