nr,url,heimilisfang,tegund,nidurstada,spurning
25170 (05.13.140.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025170,Andrésbrunnur 1-7,4.h fjölbýlish. m. 28 íb.,Samþykkt 1. ágúst 2002. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Skila skal vottun eininga fyrir úttekt á botnplötu.,"Sótt er um leyfi til þess að breyta nýsamþykktu fjögurra hæða steinsteyptu fjölbýlishúsi þannig að íbúðum fjölgi úr tuttugu og fjórum í tuttugu og átta íbúðir ásamt breyttu útliti og stærðum húss á lóð nr. 1-7 við Andrésbrunn. Stærð: Hús nr. 1 (matshluti 01) verður íbúð kjallari 86,1  ferm., 1. hæð 251 ferm., 2. hæð 251 ferm., 3. hæð 251  ferm., bílgeymsla 191,4 ferm., samtals 1030,5 ferm., 3262,5  rúmm.  Hús nr. 3 (matshluti 02) verður íbúð 104,5 ferm., 1. hæð 250,1 ferm., 2. hæð 250,1 ferm., 3. hæð 250,1 ferm., bílgeymsla 172,6 ferm., samtals 1027,4 ferm., 3260 rúmm.  Hús nr. 5 (matshluti 03) verður sömu stærðar og hús nr. 3 eða samtals 1027,4 ferm., 3260 rúmm.   Hús nr. 7 (matshluti 04) verður sömu stærðar og hús nr. 1 eða samtals 1030,5 ferm., 3262,5 rúmm. Samtals var fjölbýlishúsið 4295,2 ferm. verður 4115,8  ferm., var 12659,4 rúmm. verður 13045 rúmm.    Gjald kr. 4.800 + 18.509"
25227 (01.13.650.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025227,Aðalstræti 6,opna milli húsa,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að opna milli 2. hæðar að Aðalstræti 8 og millihæðar á lóð nr. 6 við Aðalstræti. Bréf burðarvirkishönnuðar dags. 5. júní 2002 og samþykki meðeiganda að Aðalstræti 6 dags. 27. júní 2002 ásamt meðeigendum að Aðalstræti 8 (matshluta 05) dags. 27. júní og 1. júlí 2002 fylgja erindinu. Gjald kr. 4.800
25578 (01.13.650.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025578,Aðalstræti 8,opna á milli húsa nr. 6 og 8 á 2. hæð.,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að opna milli 2. hæðar byggingar og millihæðar að Aðalstræti 6 á lóð nr. 8 við Aðalstræti. Samþykki meðeigenda að Aðalstræti 8 dags. 1.júlí 2002 og 27. júní 2002 ásamt samþykki meðeiganda að Aðalstræti 6 dags. 27.júní 2002 fylgja erindinu
25499 (01.14.041.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025499,Aðalstræti 9,breyting inni,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til þess að innrétta spilasal fyrir Háskóla Íslands á fyrstu hæð í austurhluta byggingar á lóð nr. 9 við Aðalstræti. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 2. ágúst 2002 fylgir erindinu. Gjald kr. 4.800
25316 (01.55.329.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025316,Arnargata 4,viðb. og br. inni,Frestað. Lagfæra skráningartöflu. Skipulagsferli ólokið.,"Sótt er um leyfi til þess að byggja við suðausturhlið einbýlishússins steinsteyptan kjallara og timburhæð ásamt leyfi til þess að breyta vinnustofu í eldhús og borðstofu og endurbyggja útiskúr á lóð nr. 4 við Arnargötu. Umsögn Húsafriðunarnefndar ríkisins dags. 15. júlí 2002 fylgir erindinu. Stærð: Viðbygging 89,9 ferm., 325,8 rúmm., útiskúr var 11,6 ferm. óbreyttir ferm., var 62 rúmm. verður 24,5 rúmm. Gjald kr. 4.800 + 13.838"
23221 (01.83.420.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN023221,Ásgarður  18-24,nr. 22-24 - íbúðir í stað verslunarrýmis,Frestað. Lagfæra gögn m.t.t. skráningar.,"Sótt er um leyfi til að breyta verslunarhúsnæði á annarri hæð matshluta 03 á lóðinni nr. 18-22 við Ásgarð í þrjár sjálfstæðar íbúðir með geymslum á fyrstu hæð. Bréf Steinþórs Steingrímssonar dags. 27. maí 2001 og fundargerðir húsfélagsins Ásgarði 22-24 dags. 9. maí 2001, 21. maí 2001, bréf Öldu Viggósdóttur dags. 9. júlí 2001 og dags. 13. nóvember 2001 og bréf Jörgens Þ. Þráinssonar dags. 11. júlí 2001 og dags. 22. nóvember 2001 fylgja erindinu. Skjöl varðandi álit kærunefndar fjöleignarhúsamála móttekin  5. nóvember 2001ásamt bréfi umsækjanda dags. 7. ágúst 2002 fylgja erindinu. Gjald kr. 4.100"
25555 (01.19.640.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025555,Bergstaðastræti 79,Svalir,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi til þess að byggja svalir ofan á anddyri við norðvesturhlið húss á lóð nr. 79 við Bergstaðastræti. Gjald kr. 4.800
25564 (01.23.010.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025564,Borgartún 28,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að fjölga eignum á annarri hæð byggingar á lóð nr. 28 við Borgartún. Gjald kr. 4.800
25348 (01.21.900.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025348,Borgartún 31,Nýbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja átta hæða skrifstofuhúsnæði með bílageymslu fyrir 54 bíla í kjallara. Húsið er steinsteypt, einangrað utan og klætt með náttúrusteini. Stærð: xx Gjald kr. 4.800 + xx"
25538 (01.27.400.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025538,Bólstaðarhlíð 32,Reyndarteikningar,Frestað. Lagfæra skráningartöflu.,Sótt er um samþykki fyrir reyndarteikningum húss á lóð nr. 32 við Bólstaðarhlíð. Gjald kr. 4.800
