nr,url,heimilisfang,tegund,nidurstada,spurning
24253,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024253,Bergstaðastræti 13,Inndregin þakhæð.,Samþykkt 16. janúar 2002. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til þess að byggja inndregna þakhæð (4. hæð) með tveimur íbúðum ofan á húsið á lóðinni nr. 13 við Bergstaðastræti. Stærð: 4. hæð, 200,8 ferm. og 635,4 rúmm. Gjald kr. 4.800 + 30.499"
24193 (01.14.311.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024193,Bjarkargata 14,"Svalaskýli á 1. h, br innra frkl",Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að byggja svalaskýli á svölum fyrstu hæðar hússins nr. 14 við Bjarkargötu. Jafnframt er sótt um samþykki fyrir áður gerðum breytingum á innra fyrirkomulagi, eignaafmörkun og skráningu hússins. Erindinu fylgir samþykki lóðarhafa dags. 10. des. 2001. Stærð svalaskýlis: 9,7 ferm. og 26,7 rúmm. Gjald kr. 4.800 + 1.281"
24360 (01.16.233.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024360,Brávallagata 14,Reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir núverandi innra skipulagi í kjallara og á þakhæð fjöleignarhússins á lóð nr. 14 við Brávallagötu. Bréf hönnuðar dags. 14. janúar 2002 fylgir erindinu. Gjald kr. 4.800
24201 (01.70.221.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024201,Drápuhlíð 13,reyndarteikningar,Frestað. Lagfæra skráningu.,"Sótt er um samþykki fyrir áður gerðum breytingum í  kjallara, áður gerðum breytingum á innra skipulagi 2. hæðar og samþykki fyrir teikningu að rislofti vegna gerðar eignaskiptayfirlýsingar á lóð nr. 13 við Drápuhlíð. Samþykki meðeigenda (á teikningu) fylgir erindinu. Gjald kr. 4.800"
24265 (01.35.500.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024265,Efstasund 2,áður b. skúr + reyndart.,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til skipulagsfulltrúa vegna skúrs á lóð.,"Sótt er um samþykki fyrir reyndarteikningum af húsi og bílskúr (matshl. 01 og 02) og áður byggðum skúr (matshl. 03) í vesturhorni lóðarinnar nr. 2 við Efstasund. Sýnd er áður gerð séreign (ósamþ. íb.) í kjallara og gluggasetningu er breytt. Stærð: Skúr 9,1 ferm. og 19,2 rúmm. Gjald kr. 4.800 + 922"
24312 (01.41.000.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024312,Efstasund 78,Áður gerð íbúð í kjallara ofl.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðri íbúð í kjallara ásamt áður gerðri stækkun kjallara undir sólstofu 1. hæðar, leyfi til þess að lækka jarðveg við suðurhlið og færa rafmagnstöflu og inntök í íbúðarhúsinu á lóð nr. 78 við Efstasund. Virðingargjörð dags. 10. október 1951, manntalsskýrsla dags. 16. október 1952 og íbúðarskoðun byggingarfulltrúa fylgja erindinu. Stækkun:  xx Gjald kr. 4.800 + xx"
24166 (01.27.010.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024166,Flókagata 56,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir reyndarteikningum af húsi og bílskúr (matshl. 01 og 02) á lóðinni nr. 56 við Flókagötu. Stærð kjallaraíbúðar og innra fyrirkomulag annarrar hæðar breytist. Jafnframt er erindi 22324 dregið til baka. Samþykki meðeigenda dags. 19. nóvember 2001 fylgir erindinu. Gjald kr. 4.100
23401 (04.61.231.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN023401,Fremristekkur 10,Br. þaki í valmaþ.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að setja valmaþak yfir flatt þak einbýlishúss á lóð nr. 10 við Fremristekk. Stærð : Rúmmálsaukning 75 rúmm. Gjald kr. 4.100 + 3.600
24367 (04.36.410.1 01),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024367,Fylkisvegur 6,Áhorfendasvæði,Frestað. Vísað er til athugasemdar gatnamálastjóra.,Sótt er um leyfi til þess að lengja núverandi áhorfendasvæði um 12 m við sitt hvorn enda þannig að áhorfendasvæðið verði samtals með 1280 sæti á lóð nr. 6 við Fylkisveg. Gjald kr. 4.800
24021 (04.64.150.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024021,Fýlshólar 5,Reyndarteikningar.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir reyndarteikningum og afmörkun séreignar sem er skráð sem vinnustofa í húsinu á lóðinni nr. 5 við Fýlshóla. Innra skipulagi fyrstu hæðar er breytt. Afsalsbréf dags. 15. janúar 1998 fylgir erindinu. Gjald kr. 4.100
