nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
38812 (04.68.100.1),BN038812,Asparfell 2-12,Æsufell 2-6 fjölga bílastæðum,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til að fjölga bílastæðum um 44 við fjölbýlishús við Æsufell 2-6 á lóð nr. 2-12 við Asparfell  og nr. 2-6 við Æsufell.  Samþykki Húsfélags Æsufells 2, 4, 6 dags 11. júlí 2008 og Asparfells 2 - 12 dags. 2. mars 2009.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 5. september 2008 og 8. maí 2009 fylgir erindinu.  Gjald kr. 7.300 + 7.700 + 7.700"
39832 (01.14.020.6),BN039832,Austurstræti 7,breyting inni,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til að innrétta veitingastað í flokki III á 1., 2. og 3. hæð í húsi á lóð nr. 7 við Austurstræti.  Meðfylgjandi er staðfesting burðarvirkishönnuðar dags. 3. júní 2009  Gjald kr. 7.700"
39714 (04.94.430.2),BN039714,Bakkasel  1-17,9 - breyting kjallara,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að innrétta óuppfyllta sökkla raðhúss nr. 9 á lóð nr. 1-17 við Bakkasel.  Erindi fylgja bréf umsækjanda dags. 8. maí 2009 og 28. maí 2009.  Stækkun:  28,4 ferm., 50,7 rúmm.  Gjald kr. 7.700 + 3.905"
39991 (01.71.010.9),BN039991,Barmahlíð 50,bílskúrsþak,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að byggja þak úr timbri með bárujárni á bílskúr á lóð nr. 50 við Barmahlíð.  Meðfylgjandi er samþykki allra meðeigenda á lóð og nágranna á nr. 48 nema eins.  Stærðir stækkun xxxx  Gjald kr. 7.700 + xxx
36934 (01.18.530.1),BN036934,Bergstaðastræti 48,breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að minnka glugga í alrými ásamt reyndarteikningu af grunnmynd íbúðar 0102 með tilheyrandi breytingu á skráningu  fjölbýlishússins á lóð nr. 48 við Bergstaðastræti.  Gjald kr. 6.800
39867 (04.37.000.2),BN039867,Brautarás 1-19,nr. 5-7 svalalokun,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja yfir svalir og stækka þar með 2. hæð raðhúsanna nr. 5 og nr. 7 á lóð nr. 1-19 við Brautarás.  Erindi fylgir samþykki meðlóðarhafa áritað á uppdrátt.  Stækkun hús nr. 5:  13,6 ferm., 175,9 rúmm.  Stækkun hús nr. 7:  13,6 ferm., 175,9 rúmm.  Samtals:  27,2 ferm.,  351,8 rúmm.  Gjald kr. 7.700 + 27.089"
36240 (01.16.232.8),BN036240,Brávallagata 8,þrennar svalir,Frestað. Málinu vísað til skipulagsstjóra til ákvörðunar um grenndarkynningu. Vísað er til uppdrátta A1 og A2 dags. 27. maí 2009.,Sótt er um leyfi til þess að byggja úr stáli svalir við austurhlið 1. 2. og 3. hæðar fjölbýlishússins á lóð nr. 8 við Brávallagötu. Með umsókninni fylgir bréf dagsett 15.07.08 frá arkitekt þar sem óskað er eftir að málið verði grenndarkynnt.  Einnig fylgir bréf eigenda Brávallagötu 10 dags. 5. ágúst 2008.  Gjald kr. 6.800
39969 (01.67.120.3),BN039969,Einarsnes 34,garðskáli,"Frestað. Er ekki í samræmi við deiliskipulag, en með vísan til umsagnar skipulagsstjóra er ekki gerða athugasemd við að umsækjandi láti á eigin kostnað vinna tillögu að breytingu á deiliskipulagi, sem grenndarkynnt verður ef berst.","Sótt er um leyfi til að byggja garðskála úr gleri á álgrind við íbúð 0102 í íbúðarhúsi á lóð nr. 34 við Einarsnes.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 5. júní 2009 fylgir erindinu.  Stærðir: 22,1 ferm., xxx rúmm  Gjald kr. 7.700 + xxx"
39691 (08.1-.--6.4),BN039691,Elliðavatnsblettur 35,"þak yfir hús, klæðning, gluggar",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að byggja nýtt þak og klæða að utan með lóðréttri viðarklæðningu sumarhúsið á lóðinni Elliðavatnsblettur 35.  Einnig er gerð grein fyrir bátaskýli á sömu lóð og eldra erindi BN038872 dregið til baka.  Erindi fylgir yfirlýsing frá OR dags. 10. mars 2009, frá Fornleifavernd ríkisins dags. 2. júní 2009 ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 8. maí 2009.  Bátaskýli:  16,3 ferm., 44,1 rúmm.  Sumarhús:  96,3 ferm., B-rými 37 ferm.  Samtals sumarhús:  133,3 ferm., 330,4 rúmm.  Gjald kr. 7.700 + xx"
39988 (01.24.720.5),BN039988,Flókagata 18,breyting á skráningartöflu,Synjað. Með vísan til  8. gr. fjöleignarhúsalaga nr. 26/1994 lið b skal inntaksrými vera í sameign.,Sótt er um leyfi fyrir breytingu á nýsamþykktri skráningartöflu íbúðarhúss á lóð nr. 18 við Flókagötu.  Gjald kr. 7.700
39848 (01.11.730.6),BN039848,Geirsgata 3a-7c,nr. 3B innrétta veitingastað - gluggi,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta veitingastað á 1. hæð og geymslur á 2. hæð og setja glugga á norðurgafl húss nr. 3B á lóð nr. 3-7C við Geirsgötu.  Sjá fyrirspurn BN039675 dags. 31.3. 2009.  Meðfylgjandi er bréf Faxaflóahafna dags. 11. maí 2009  Gjald kr. 7.700 + 7.700
