nr,url,heimilisfang,tegund,nidurstada,spurning
52975 (01.55.070.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN052975,Arngrímsgata 5,Hús Íslenskra fræða,"Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.  Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.","Sótt er um leyfi til að byggja ""Hús íslenskra fræða"" sem verður þrjár hæðir og kjallari auk bílakjallara fyrir 60 bíla, staðsteypt og klætt cortenstáli, ásamt því að innrétta veitingastað í flokki l - tegund c, á lóð nr. 5 við Arngrímsgötu. Erindi fylgir brunahönnun frá Eflu dags. 16. maí 2017 og skýringasett sem sýnir breytingar frá áður samþykktu erindi BN044048. Erindi fylgir hljóðvistargreinargerð frá Eflu dags. 12.05.2017. Stærð, A-rými:  6.464,5 ferm., 28.415,4 rúmm. B-rými:  2.271,3 ferm. Gjald kr. 11.000"
53206 (04.68.100.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN053206,Asparfell 2-12,Æsufell 4 - Brjóta niður steyptan vegg,Frestað. Vísað til athugasemda eldvarnareftirlits á umsóknarblaði.,Sótt er um leyfi til að fjarlægja burðarvegg í íbúð 0801 í húsi á lóð nr. 8 við Æsufell. Umsögn burðarþolshönnuðar dags. 14.06.2017 fylgir erindi ásamt samþykki stjórnar húsfélags dags. 11.07.2017. Gjald kr. 11.000
53210 (01.16.201.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN053210,Ásvallagata 28,Viðbygging - svalir - fjölga eignum,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að byggja ofaná þaksvalir, lyfta þaki og hliðra til mæni, og byggja svalir á suðurhlið, færa fram útvegg eldri viðbyggingar á vesturhlið og innrétta fimm íbúðir ásamt ýmsum öðrum breytingum á innra skipulagi og útliti á einbýlishúsi á lóð nr. 28 við Ásvallagötu. Stækkun: xx ferm., xx rúmm. Gjald kr. 11.000"
52890 (01.17.432.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN052890,Barónsstígur 25,Breyting á skráningu - breyting BN050401,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að breyta skilgreiningu gististaðar í flokk II, teg. íbúð, fyrir 10 gesti, sjá erindi BN050401 í húsi á lóð nr. 25 við Barónsstíg. Gjald kr. 11.000"
53255 (04.06.510.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN053255,Bíldshöfði 20,Breyting kjallara - Rúmfatalagerinn - ofl.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innra skipulagi, gera flóttadyr á vesturhlið og uppfæra brunavarnir í kjallara húss á lóð nr. 20 við Bíldshöfða. Erindi fylgir brunahönnun frá Mannvit dags. 21. júlí 2017. Gjald kr. 11.000"
53258 (01.80.420.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN053258,Brekkugerði 9,Reyndarteikning - tvö fastanúmer,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að skipta eign í tvö fastanúmer ásamt áður gerðum breytingum sem felast í því að stigi milli kjallara og efri hæðar hefur verið lokaður af í húsi á lóð nr. 9 við Brekkugerði. Sjá fyrirspurn BN052634. Gjald kr. 11.000
52369 (04.30.430.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN052369,Dragháls 18-26,Viðbygging. Breyting á stofnerindi BN050004,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að breyta erindi BN050004, til að byggja einnar hæðar staðsteypta viðbyggingu sem nota á sem geymslu  við austurhlið húss á lóð nr. 18-26 við Dragháls/Fossháls. Tölvupóstur frá hönnuði þar sem hann óskar eftir að breyta um umsækjanda og greiðanda dags. 27. febrúar 2017 fylgir erindi, einnig útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 7. apríl 2017. Viðbygging: 319,7 ferm., 2.028,7rúmm.  Gjald kr. 11.000"
53248 (05.11.360.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN053248,Döllugata 7,Einbýlishús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja steinsteypt einbýlishús á tveimur hæðum með innbyggðri bílgeymslu og aukaíbúð í kjallara, einangrað að utan og klætt láréttum álplötum á lóð nr. 7 við Döllugötu. Stærð, A-rými:  312,3 ferm., 1.041.,4 rúmm. B-rými: 5,7 ferm., 19,9 rúmm. Samtals: 318 ferm., 1.061,3 rúmm. Gjald kr. 11.000"
53226 (01.74.530.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN053226,Efstaleiti 4,"Fjölbýlishús - mhl. 01, mhl. 04",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja 2 fjölbýlishús, mhl. 01 og 04, með alls 78 íbúðum á lóð nr. 4 við Efstaleiti. Stærðir: Mhl. 01 A-rými x ferm., x rúmm. B-rými x ferm., x rúmm. Mhl. 04 A-rými x ferm., x rúmm. B-rými x ferm., x rúmm. Gjald kr. 11.000"
52818 (01.35.721.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN052818,Efstasund 50,Fjölbýlishús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja tvílyft steinsteypt fjölbýlishús með þremur íbúðum á lóð nr. 50 við Efstasund. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 30. júní 2017 fylgir erindinu, ásamt umsögn skipulagsfulltrúa dags. 30. júní 2017. Stærð mhl. 01, A-rými:  251 ferm., 844,9 rúmm. B-rými: 24,7 ferm., 74,9 rúmm. Mhl. 01 samtals:  275,7 ferm., 919,8 rúmm. Mhl. 02: 23,7 ferm., 71,3 rúmm. Samtals 299,4 ferm., 991,1 rúmm. Gjald kr. 11.000"
