nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
15728 (01.01.136.502),BN015728,Aðalstræti 6,Breyting inni.,Samþykkt.,Sótt er um leyfi fyrir innri breytingum á hluta 1. og 2. hæðar hússins á lóðinni nr. 6 við Aðalstræti.  Gjald kr. 2.387
15759 (01.02.348.101),BN015759,Álfaborgir 21,Rýmisnúmer á 1. hæð.,Samþykkt. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,Sótt er um leyfi til þess að breyta rýmisnúmerum á 1. hæð hússins á lóðinni nr. 21 við Álfaborgir.  Gjald kr. 2.387
15803 (01.02.348.103),BN015803,Álfaborgir 25,Rýmisnúmer á 1. hæð og hirð í sameign felld niður,Samþykkt. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,Sótt er um leyfi til þess að fella niður dyr í sameign á 1. hæð hússins á lóðinni nr. 25 við Álfaborgir og breyta rýmisnúmerum í húsinu.  Gjald kr. 2.387
15758 (01.02.348.105),BN015758,Álfaborgir 27,Rýmisnúmer á 1. hæð og hurð í sameign felld niður.,Samþykkt. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,Sótt er um leyfi til þess að fella niður hurð í sameign á 1. hæð og breyta rýmisnúmerum í húsinu á lóðinni nr. 27 við Álfaborgir.  Gjald kr. 2.387
15762 (01.01.280.001),BN015762,Álftamýri 14,Breyting á gluggum í sameigninni.,Samþykkt.,Sótt er um leyfi til þess að breyta gluggum á stigahúsi hússins á lóðinni nr. 14 við Álftamýri.  Gjald kr. 2.387  Samþykki húsfélagsins Álftamýri 8-12 fylgir erindinu.
15373 (01.01.292.103),BN015373,Ármúli 28,Uppfærsla á teikningum,Frestað. Gera skal grein fyrir rétti til bílastæða með vesturhlið húss. Vísað til fyrri athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir áður gerðum breytingum innanhúss (reyndarteikningar)  og að klæða bakhús með loftræstri steindri klæðningu á lóðinni nr. 28 við Ármúla.  Gjald kr. 2.387
13967 (01.01.292.104),BN013967,Ármúli 30,Breytingar,Samþykkt.,Sótt er um leyfi til þess að klæða með steindum plötum bakbyggingu á lóðinni nr. 30 við Ármúla og koma fyrir skábraut á gangstétt við aðaldyr.  Gjald kr. 2.387.oo.
15682 (01.01.184.442),BN015682,Baldursgata 9,Áður gerð íbúð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir áður gerðri íbúð á 2. hæð hússins matshluta 2 á lóðinni nr. 9 við Baldursgötu.  Gjald kr. 2.387  Samþykki meðeigenda dags. 16. sept.1997, ljósrit af afsali dags. 13. apríl 1997, ljósrit af skiptayfirlýsingu dags. 4. okt. 1972, ljósrit  v. eignaskipta dags. 8. júlí 1969 og ljósrit af afsali dags. 24. júlí 1973 fylgja erindinu.  Skoðunarskýrsla byggingarfulltrúa dags. 17. september 1997 fylgir erindinu.  Skoðunarskýrsla heilbrigðiseftirlits dags. 17. september 1997 og bréf hönnuðar dags. 29. september 1997 fylgja erindinu.  Jafnframt lagt fram bréf hönnuðar dags. 29. september 1997."
15773 (01.01.180.105),BN015773,Bankastræti 8,Breytt starfsemi,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta fyrirkomulagi innanhúss og setja útkragandi skilti hæð 60 cm og breidd 80 cm, utan á húsið  á lóðinni nr. 8 við Bankastræti.  Gjald kr. 2.387  Bréf umsækjenda dags. 30. september 1997 og samþykki húseigenda dags. 30. september 1997 fylgja erindinu."
12741 (01.04.064.102),BN012741,Bíldshöfði 14,br.á innveggjum og klæðning,Samþykkt. Lóðarhafi skal bera kostnað við gerð götu sunnan við hús.  Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að breyta innréttingu að hluta á 2. hæð og innkeyrsluhurðum á suðurhlið hússins á lóðinni nr. 14 við Bíldshöfða.  Gjald kr. 2.250.oo.  Meðfylgjandi er samþykki meðeigenda á teikningu ódagsett.  Málinu fylgir umsögn Borgarskipulags dags. 25. september 1997.
