nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
45365 (01.24.200.5),BN045365,Ásholt 2-42,Svalalokun,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að setja svalalokanir, ál- og glerkerfi með braut ofan og neðan í fjölbýlishúsinu nr. 2 á lóð nr. 2-42 við Ásholt.  Jákvæð fyrirspurn BN044660 fylgir.  Stærðir B- rýma í 200,8 ferm. og rúmm. 502 brúttó - svalalokanir.  Gjald 8.500 + 45.180"
45471 (01.18.620.3),BN045471,Baldursgata 18,Rishæð - breyting,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi til þess að breyta innra fyrirkomulagi á fyrstu og annarri hæð og fjarlægja glugga og byggja kvisti á þakhæð hússins á lóðinni nr. 18 við Baldursgötu.  Umsögn Minjastofnunar Íslands dags. 17. janúar 2013 fylgir erindinu.  Gjald kr. 9.000
45490 (01.18.632.1),BN045490,Baldursgata 32,takmarkað byggingarleyfi,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.,Sótt er um takmarkað byggingarleyfi fyrir jarðvinnu og undirstöðum nýbyggingar á lóðinni nr. 32 við Baldursgötu sbr. erindi BN045138 frá 4. desember 2012.
45489 (01.18.632.2),BN045489,Baldursgata 34,takmarkað byggingarleyfi,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.,Sótt er um takmarkað byggingarleyfi fyrir jarðvinnu og undirstöðum nýbyggingar á lóðinni nr. 34 við Baldursgötu sbr. erindi BN045139 frá 4. desember 2012.
45469 (01.17.120.2 01),BN045469,Bankastræti 14,Klæða og skipta um glugga,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að klæða að utan með álklæðningu, breyta gluggum og koma fyrir frönskum svölum á norður- og suðurhlið hússins nr. 14 á lóðinni nr. 14-14B við Bankastræti.  Ástandsskýrsla dags. 08.01.2010 fylgir erindinu.   Umsögn skipulagsfulltrúa (v.fyrirspurnar) dags. 18.11.2011 fylgir erindinu. Bókun af fundi skipulagsráðs þann 30.11.2011. fylgir erindinu.  Gjald kr. 9.000"
45462 (01.71.011.2),BN045462,Barmahlíð 56,Kjallari - Hurð í stað glugga,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að síkka stofuglugga kjallaraíbúðar og útbúa verönd á suðurhlið hússins á lóðinni nr. 56 við Barmahlíð.  Samþykki meðeigenda í húsinu nr. 54-56 við Barmahlíð (á teikn.) fylgir erindinu.  Gjald kr. 9.000
45145 (01.67.300.7),BN045145,Bauganes 25A,Breytingar úti og inni,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við lokaúttekt. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um leyfi til að stækka íbúð 1. hæðar inn í bílskúr, byggja svalir og stækka íbúð  2. hæðar útyfir þak, endurnýja ytra byrði og styrkja burðarviði húss á lóð nr. 25A við Bauganes.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 9. nóvember 2012 fylgir erindinu ásamt umsögn skipulagsstjóra dags. 9. nóvember 2012.  Jákvæð fyrirspurn BN044715 fyrir stækkun efri hæðar. Umsögn burðarvirkishönnuðar dags. 20. des. 2012 fylgir.  Stækkun: 10,36 ferm. 30,41 rúmm.  Gjald kr. 8.500 + 9.000 + 2.585"
45431 (04.79.160.8),BN045431,Búðavað 2-4,Breyting inni og úti,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til þess að breyta lítillega útliti og  innra fyrirkomulagi á baðherbergi á annarri hæð í parhúsi nr. 4 á lóðinni nr. 2-4 við Búðavað.  Gjald kr. 9.000
45478 (01.81.831.4),BN045478,Bústaðavegur 79,hækkun á þaki,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að áfangaskipta erindi BN044601 samþ. 3.7. 2012, sem er endurnýjun á erindi BN030757, áfangaskiptin felast í að skilgreina hækkun á þaki sem 1. áfanga erindisins en útbygging er 2. áfangi og  byggist síðar við fjölbýlishús á lóð nr. 79 við Bústaðaveg.  Gjald kr. 9.000"
45373 (01.35.000.6),BN045373,Dalbraut 1,Bakarí/kaffihús - 1.hæð,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að innrétta bakarí og kaffihús á 1. hæð í húsi á lóð nr. 1 við Dalbraut.  Samþykki meðeigenda ódags. fylgir.  Gjald kr. 8.500
