nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
45953 (01.13.650.1),BN045953,Aðalstræti 4,Breyting inni - 2.-6.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innra skipulagi, opna milli húsa 4 og 6 og innrétta fyrir hótelrekstur og breyta fyrirkomulagi flóttaleiða í húsi á lóð nr. 4 við Aðalstræti.  Erindi fylgir yfirlýsing óundirrituð dags. 7. ágúst 2008 og samþykki Centerhotels dags. 30. apríl 2013.  Gjald kr. 9.000"
45952 (01.13.650.2),BN045952,Aðalstræti 6,Breyting inni - 2.-6.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innra skipulagi, opna milli húsa 4 og 6 og innrétta fyrir hótelrekstur og breyta fyrirkomulagi flóttaleiða í húsi á lóð nr. 6 við Aðalstræti.  Erindi fylgir yfirlýsing óundirrituð dags. 7. ágúst 2008 og samþykki Centerhotels dags. 30. apríl 2013.  Gjald kr. 9.000"
45950 (01.13.650.3),BN045950,Aðalstræti 8,Breyting inni - 2.-6.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innra skipulagi, opna milli húsa 4 og 6 og innrétta fyrir hótelrekstur og breyta fyrirkomulagi flóttaleiða í húsi á lóð nr. 8 við Aðalstræti.  Erindi fylgir yfirlýsing óundirrituð dags. 7. ágúst 2008 og samþykki Centerhotels dags. 30. apríl 2013.  Gjald kr. 9.000"
45971,BN045971,Austurbakki,Gámur - stöðuleyfi,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010.,Sótt er um stöðuleyfi frá 1. maí til 30. sept. 2013 fyrir 20 feta gám/vinnuskúr í gömlu höfn við Austurbakka.  Bréf frá umsækjanda dags. 29. apríl 2013 og bréf frá Faxaflóahöfnum dags. 11. maí 2013 fylgir.  Gjald kr. 9.000
45938 (01.85.400.1),BN045938,Árland 2-8,8 - Breyting á áður samþykktu erindi BN045559,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um að leyfi til að breyta erindi BN045559 þannig að í staðinn fyrir að viðbygging verði úr timbri verður hún staðsteypt og hætt verður við að hafa sorp í sorpgeymslu í bílgeymslu hússins nr. 8 á lóð nr. 2-8 við Árland.  Stækkun: 0,30 ferm., 0,9 rúmm.  Gjald kr. 9.000"
45880 (04.73.440.1),BN045880,Árvað 1,Fjölbýlishús,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að byggja steinsteypt fjölbýlishús, þrjár hæðir og kjallara undir hluta húss, með 11 íbúðum á lóð nr. 1 við Árvað.  Erindi fylgir útreikningur heildarvarmatapsramma dags. 26. apríl 2013.  Stærð:  Kjallari 151,2 ferm., 1. hæð 379,3 ferm., 2. og 3. hæð 383,8 ferm.  Samtals 1.297,9 ferm., 3.927,2 rúmm.  Gjald kr. 9.000"
45863 (01.21.810.1),BN045863,Borgartún 25,Breyting - 3. og 4. hæð,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,Sótt er um leyfi til að breyta innra skipulagi á 3. og 4. hæð þannig að kaffistofa er flutt frá 3. hæð upp á 4. hæð svo og að tvö fundarherbergi og gangur eru sameinuð í eitt rými í húsinu á lóð nr. 25 við Borgartún.  Gjald kr. 9.000
45943 (01.22.000.2),BN045943,Borgartún 6,3.hæð - Skrifstofur,Frestað. Samkvæmt gögnum embættisins er lágmarksgjald ógreitt.,Sótt er um leyfi fyrir innri breytingum þar sem komið er fyrir skrifstofum á 3. hæð í húsinu á lóð nr. 6 við Borgartún.   Gjald kr. 9.000
45408 (01.55.2),BN045408,Brynjólfsgata 1,Stofnun Vigdísar Finnbogadóttur,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að byggja staðsteypta byggingu, þrjár hæðir og kjallara, einangrað að innan og klætt utan að hluta með standandi viðarklæðingu, ásamt tengigangi undir Suðurgötu að Háskólatorgi, fyrir stofnun Vigdísar Finnbogadóttur á lóð nr. 1 við Brynjólfsgötu.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 1. febrúar 2013 fylgir erindinu ásamt umsögn samgöngudeildar dags. 28. janúar 2013.  Stærð mhl. 01:  Kjallari,  bílgeymsla 564 ferm., kennslurými 915,7 ferm., 1. hæð kennslurými 738,8 ferm., 2. hæð kennslurými 865,7 ferm., 3. hæð skrifstofur 874,3 ferm.  Mhl. 01 samtals 3.958,5 ferm., 18.102,8 rúmm.  Stærð mhl. 02: 172,8 ferm., 653 rúmm.  Samtals:  4.131,3 ferm., 18.755,8 rúmm.  Gjald kr. 9.000 + 1.688.022"
45912 (01.08.660.3),BN045912,Fiskislóð 39,Breyting inni á áður samþykktu erindi BN045615,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,"Sótt er um leyfi til að breyta áður samþykktu erindi BN045615 þannig að innra fyrirkomulag breytist í línu 12,A til 15,A á 1. hæð í húsinu á lóð nr. 39 við Fiskislóð.  Gjald kr. 9.000"
45745 (01.11.530.1),BN045745,Grandagarður 2,Breyting úti og inni,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til breytinga innanhús á 1. hæð og innrétta þar fyrir Sögusafnið með veitingasal fyrir 45 gesti í flokki II, kaffihús, sölu minjagripa og með aðstöðu til myndsýninga fyrir 10-20 manns, endurnýja þakjárn, lagfæra veggi með endurgerð glugga og hurða, rífa byggingu í sundi milli matshluta í áföngum og gera nýjan inntaksklefa í Alliance húsinu á lóð nr. 2 við Grandagarð.  Meðfylgjandi er umsög Minjasafns Reykjavíkur dags. 21.3. 2013, einnig umsögn Minjastofnunar Íslands dags. 5.4. 2013 og bréf arkitekts dags. 16.4. 2013 og minnisblað vegna eldvarna dags. 16.4. 2013.  Gjald kr. 9.000"
