nr,url,heimilisfang,tegund,nidurstada,spurning
54101 (01.62.950.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN054101,Arnarhlíð 2,Hlíðarendi 1-7 - Aðskilið byggingarleyfi,"Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um aðskilið byggingarleyfi fyrir uppsteypu efri og neðri bílakjallara, sjá erindi BN048979, á lóð nr. 2 við Arnarhlíð. Gjald kr. 11.000"
54014 (01.11.980.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN054014,Austurbakki 2,Breytingar efri og neðri kjallara hótels mhl.06,Frestað. Vísað til athugasemda eldvarnareftirlits.,"Sótt er um leyfi til að breyta erindi BN050485, um er að ræða ýmsar breytingar á innra skipulagi og breyttar brunakröfur í efri og neðri kjallara hótels á lóð nr. 2 við Austurbakka. Gjald kr. 11.000"
51554 (00.00.000.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN051554,Austurv Thorvaldsenss,Niðurrifsleyfi fyrir samkomusal - Nasa salur,Frestað. Á milli funda.,"Sótt er um leyfi til að rífa friðlýstan samkomusal á baklóð nr. 2 við Thorvaldsenstræti. Erindi fylgir bréf hönnuða dags. 17. júní 2016, umsögn Minjastofnunar Íslands v/breytingar á deiliskipulagi Landsímareits dags. 31. maí 2013 og umsögn Minjastofnunar Íslands dags. 23. ágúst 2016."
54049 (04.91.210.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN054049,Árskógar 1-3,Breytingar - BN051288,"Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Byggingarleyfið er samþykkt með fyrirvara um endanlega staðsetningu djúpgáma Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um breytingar á erindi BN051288 sem felast í því að byggja eina hæð ofaná og fjölga íbúðum um 16 ásamt fjölgun bílastæða í samræmi við breytingu á deiliskipulagi auk þess sem svalalokun verður á öllum svölum 1.- 5. hæðar, salernum fjölgað innan íbúða og djúpgámar koma í stað sorpgerða í húsum á lóð nr. 1-3 við Árskóga. Stækkun: Mhl.01: A-rými: 894,8 ferm., 2.706,2 rúmm. B-rými: 66,6 ferm., 189,8 rúmm. Mhl.03: A-rými: 892,6 ferm., 2.699,7 rúmm. B-rými: 66,9 ferm., 190,6 rúmm. Greinargerð um hljóðvist dags. janúar 2018 fylgir erindi. Gjald kr. 11.000"
54082 (01.19.310.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN054082,Barónsstígur 47,Gistiheimili - 2.hæð,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að breyta gististað í flokk ? - tegund ? ásamt því að fjölga gistirýmum á 1. hæð, innrétta ný gistirými á hluta 2. hæðar og fjölga gestum úr 46 í 166 auk þess að koma fyrir bar og veitingaaðstöðu með opið til kl. 23 á virkum dögum og 01 um helgar í húsi á lóð nr. 47 við Barónsstíg. Gjald kr. 11.000"
54046 (02.49.610.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN054046,Blikastaðavegur 2-8,Breytingar - innra skipulag bil I og J,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta áður samþykktu erindi BN052943 þar sem gerð er grein fyrir aðstöðu lagerstjóra á millilofti í starfsmannakjarna milli mátlína I og J í húsi á lóð nr. 2-8 við Blikastaðaveg. Greinargerð brunahönnuðar dags. 11. janúar. 2018 fylgir. Stækkun millilofts:  16,4 ferm. Gjald kr. 11.000"
54047 (01.25.120.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN054047,Bolholt 6-8,Gistiheimili - 3. 4. og 5.hæð,Frestað. Vísað til athugasemda.,Sótt er um leyfi til að breyta innra fyrirkomulagi á 3. og 5. hæð í mhl.01 (nr. 6) og á 4. hæð í mhl.02 (nr. 8) í gististað í flokki ll - tegund g fyrir alls x gesti í húsi á lóð nr. 6-8 við Bolholt. Sjá áður samþykkt erindi BN049128. Gjald kr. 11.000
54078 (01.22.010.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN054078,Borgartún 8-16A,Katrínartún 2 - Serrano - Fella niður flóttaleiðir,Frestað. Vísað til athugasemda eldvarnareftirlits.,"Sótt er um leyfi til að breyta erindi BN0xxxxx, um er að ræða að útbúa anddyri innan við syðsta innganginn og koma fyrir glerrennihurð og reyktjaldi milli veitingastaðar í rými 0101 og anddyris í mhl. 03, Katrínartúni 2 á lóð nr. 8-16A við Borgartún. Gjald kr. 11.000"
54017 (01.24.120.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN054017,Brautarholt 6,Reyndarteikn v/lokaúttektar á 4.hæð,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um samþykki fyrir breytingum á erindi BN050100, um er að ræða breyttar brunakröfur á hurðum og komið er fyrir eldvarnargleri í gluggum við stigahús v/lokaúttektar í risi húss á lóð nr. 6 við Brautarholt. Gjald kr. 11.000"
54069 (01.34.450.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN054069,Dalbraut 12,Breyting inni - barna- og unglingadeild,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að breyta innra skipulagi, m.a. koma fyrir loftræsikerfi og endurnýja lagnir og rafkerfi, endurnýja og stækka snyrtingar o. fl. í C og D álmu og og til að innrétta skrifstofur í E álmu Barna- og unglingageðdeildar á lóð nr. 12 við Dalbraut. Erindi fylgir brunahönnun frá EFLU dags. 15. janúar 2018. Gjald kr. 11.000"
