nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
42251 (01.26.400.4),BN042251,Ármúli 17,breyta í pizzustað,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta veitingastað í flokki I á 1. hæð atvinnuhúsnæðisins á lóð nr. 17 við Ármúla.  Jákvæð fyrirspurn BN042130 dags. 12. okt. 2010 fylgir.  Samþykki eiganda ódags. fylgir.  Gjald kr. 7.700
42088 (01.19.522.1),BN042088,Barónsstígur 61,breyting í kjallara,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að útbúa baðherbergi innan íbúðar og færa útgang úr kjallara þannig að hann liggi ekki í gegn um íbúð í kjallara fjölbýlishússins á lóð nr. 61 við Barónsstíg.  Fylgiskjal frá burðarvirkishönnuði ódags. og tölvupóstur dags. 14. okt. 2010.  Samþykki frá Kristinni Hermannssyni í tölvubréfpósti dags. 17. sept. 2010 og samþykki meðeigenda ódags. fylgir erindinu.  Jákvæð fyrirspurn BN041676 dags. 15. júní 2010 fylgir.  Gjald kr. 7.700 +7.700
42253 (01.67.410.1),BN042253,Bauganes 10,einbýlishús,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til að byggja steinsteypt einbýlishús á tveimur hæðum, með innbyggðri tvöfaldri bílgeymslu á lóð nr. 10 við Bauganes.  Kjallari bílgeymsla 43 ferm., íbúð 37,9 ferm., 1. hæð íbúð 218,9 ferm.  B-rými:  xx ferm.  Samtals:  299,8 ferm., 1110,8 rúmm.  Gjald kr. 7.700 + xx"
42224 (02.84.810.6),BN042224,Baughús 46,breyting inni/úti,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um  leyfi til að stækka svalir, koma fyrir stiga af svölum niður af sólpalli, breyta glugga  í svalahurð, þvottahúsglugga breytt í hurð og setja upp arinn í stofu með reykröri í einbýlishúsinu á lóð nr. 46 við Baughús.  Jákvæð fyrirspurn BN042185 dags. 26. okt. 2010 fylgir.  Umsögn burðavirkishönnuðar fylgir dags. 13. okt. 2010.  Gjald kr. 7.700"
42256 (01.19.631.0),BN042256,Bergstaðastræti 67,"breikkun á gangi, br. hurð í kjallara",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breikka gang frá bílgeymslu að lyftu og snúa hurð sem skilur að mhl. 01 og mhl. 02 í kjallara tvíbýlishússins á lóð nr. 67 við Bergstaðastræti.  Jafnframt er erindi BN036753 dregið til baka.  Stækkun:  3 ferm., 7,9 rúmm.  Gjald kr. 7.700 + 608"
42190 (01.22.010.7),BN042190,Borgartún 8-16,innra skipul. - 0801,Frestað. Málinu vísað til umsagnar heilbrigðiseftirlits.,Sótt er um leyfi til að innrétta tannlæknastofu í rými 0801 í Höfðatúni 2 á lóð nr. 8-16 við Borgartún.  Erindi fylgir rökstuðningur fyrir breyttu fyrirkomulagi frá umsækjanda dags. 21. og frá hönnuði dags. 25. október 2010.  Gjald kr. 7.700
42261 (01.70.570.3),BN042261,Bústaðavegur 3,sjálfsafgr. eldsneytis,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja ómannaða sjálfsafgreiðslu eldsneytisstöð með auglýsingaskilti utan lóðar, með dælueyju og tönkum undir eyjunni á lóð nr. 3 við Bústaðaveg.  Gjald kr. 7.700"
42169 (04.94.870.1),BN042169,Dalsel  6-22,nr. 20 sólskáli,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja svalaskýli úr PVC prófílum styrktum með galvaniseruðu járni á 2. hæð raðhúss nr. 20 í lengju nr. 14 - 22 á lóð nr. 6 - 22 við Dalsel.  Meðfylgjandi er samþykki meðeigenda í raðhúsinu og jákv. fsp. BN035536 dags. 13. mars 2007.  Stærðir svalaskýli: 9,5 ferm., 23.8 rúmm.  Gjald kr. 7.700 + 1.833"
42258 (04.64.170.9),BN042258,Depluhólar 9,breytingar á jarðhæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um endurnýjun á byggingarleyfi BN000893 dags. 29.6. 1989 sbr. fyrirspurn. BN036106 dags. 10.7. 2007 sem fjallar um að innrétta þvottahús, geymslu og sjónvarpsherbergi og setja tvo glugga og útihurð á útgrafin kjallararými einbýlishúss á lóð nr. 9 við Depluhóla.  Stækkun kjallari 103,3 ferm., 248 rúmm.  Gjald kr. 7.700"
42113 (02.85.160.6),BN042113,Fannafold 145,endurn 38868,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að skipta byggingarleyfi í tvennt þar sem sólstofa hefur þegar verið byggð við eignarhluta 0102 sbr. sem er áfangi 1, en ekki við eignarhluta 0101, sbr. erindi BN038868, við tvíbýlishús á lóð nr. 145 við Fannafold.  Meðfylgjandi er bréf umsækjanda dags. 28.9. 2010, einnig eignaskiptayfirlýsing þar sem samþykki eigenda á lóð kemur fram dags. 14.7. 2009.  Stærðir 1. áfangi viðbót garðstofa við 0102: 13,87 ferm., 41,09 rúmm.  Gjald kr. 7.700 + 3.164"
