nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
42355 (01.29.040.1),BN042355,Ármúli 2,innri breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir breytingum frá áður samþykktu erindi BN035902 dags. 22. maí 2007, breytingar eru í mhl 2. 1. hæð  á innra fyrirkomulagi í díselrafstöðvarrými í atvinnuhúsnæðinu á lóð nr. 2 við Ármúla.  Gjald kr. 7.700"
42383 (01.18.030.9),BN042383,Bergstaðastræti 13,takmarkað byggingarleyfi,Frestað. Milli funda.,"Undirritaður fyrir hönd Mótamanna ehf., sækir hér með um takmarkað byggingarleyfi fyrir uppsteypu 2. hæðar nýbyggingu á lóðinni nr. 13 við Bergstaðstræti."
42358 (01.18.520.2),BN042358,Bergstaðastræti 40,"endurnýja anddyri, kjallara og útitröppur",Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að endurnýja anddyri við kjallarainngang og útitröppur á 1. hæð við norðurgafl og sameina matshluta 01 og 02 í einn í íbúðarhúsi á lóð nr. 40 við Bergstaðastræti.  Gjald kr. 7.700
42310 (01.22.010.7),BN042310,Borgartún 8-16,kaffihús á 1. hæð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að innrétta kaffihús í flokki II í rými 0113 í Höfðatúni 2 á lóð nr. 8-16 við Borgartún.  Erindi fylgir samningur um samnýtingu á búningsaðstöðu og kaffistofu starfsfólks ódagsettur með gildistíma til 1. janúar 2015.  Gjald kr. 7.700
42368 (01.13.653.5),BN042368,Brattagata 5,reyndarteikning,Frestað. Lagfæra skráningartöflu.,Sótt er um samþykkt á reyndarteikningu þar sem atvinnuhúsnæði í kjallara er breytt í íbúðarherbergi í húsi á lóð nr. 5 við Bröttugötu.  Gjald kr. 7.700
42367 (01.13.421.3),BN042367,Drafnarstígur 7,reyndarteikning,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir reyndarteikningu af kjallara einbýlishússins nr. 7A (mhl.02) á lóð nr. 7 við Drafnarstíg.  Stækkun kjallara:  xx ferm., xx rúmm.  Gjald kr. 7.700 + xx"
42363 (01.36.730.1),BN042363,Engjateigur 11,breyting á eldvarnarhönnun,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta eldvarnarhönnun á 2. og 3. hæð í atvinnuhúsnæðinu á lóð nr. 11 við Engjateig.   Gjald kr. 7.700 kr.
42309 (01.75.120.1),BN042309,Flugvallarvegur 3-3A,flutningur sorpgeymslu í sorpgerði og úskotsglugga,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að koma fyrir glugga á suðurhlið skrifstofuálmu og innrétta skrifstofur í stað sorpgeymslu sem verður komið fyrir í sorpgeymslu sem grafinn verður inn í landið við skammtímastæði í eigu atvinnuhúsnæðisins á lóð nr. 3-3A við Flugvallarveg.   Gjald kr. 7.700
42137 (01.11.730.6),BN042137,Geirsgata 5-5C,nr. 5 glerskáli,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,"Sótt er um leyfi til að byggja glerskála með póstalausum svalalokunareiningum og tveim útgangshurðum, akronplasti á timbursperrum í þaki sbr. erindi BN039324 en sem er eins og erindi BN038905 sem samþykkt var 7.10. 2008 við veitingastað á lóð nr. 5 við Geirsgötu.  Meðfylgjandi er bréf hönnuðar dags. 1. okt. 2010 ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 15. október 2010 sem og bréf Eldvarnarþjónustunnar dags. 19. nóv. 2010 og bréf hönnuðar dags. 22. nóv 2010.  Stærðir 24,7 ferm., 69,1 rúmm.  Gjald kr. 7.700.- + 7.700 + 5.321"
42275 (01.13.651.5),BN042275,Grjótagata 4,breyttir aðaluppdrættir frá BN041555,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til breytinga innanhúss, sbr. erindi BN041555 dags. 18.5. 2010, í kjallara húss á lóð nr. 4 við Grjótagötu.  Gjald kr. 7.700"
42348 (01.18.330.5),BN042348,Grundarstígur 4,breyta verslun í íbúð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta verslunarhúsnæði í íbúð og loka gati yfir í fyrrverandi sambyggða verslun á lóð nr. 2a á 1. hæð í húsi á lóð nr. 4 við Grundarstíg.  Gjald kr. 7.700
42037 (01.14.000.5),BN042037,Hafnarstræti  1-3,innri breyting,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,"Sótt er um leyfi til breytinga  innanhúss á 1. hæð, í veitingasal á 2. hæð, í kjallara, koma fyrir nýrri sorpgeymslu á lóð og á útblástursröri frá háfi á 1. hæð í veitingahúsi í flokki II, mhl. 02 á lóð nr. 1-3 við Hafnarstræti.  Erindi fylgir umsögn burðarvirkishönnuðar dags. 24. september 2010. Einnig umsögn Húsafriðunarnefndar dags. 13.okt. 2010 og Minjasafns Reykjavíkur dags. 14. okt. 2010, einnig tölvupóstur arkitekts og Húsafriðunarnefndar dags. 3.11. 2010 og einnig frá Minjasafni Rvk. dags. 5.11. 2010  Gjald kr. 7.700"
