nr,url,heimilisfang,tegund,nidurstada,spurning
40569 (01.13.650.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040569,Aðalstræti 6,breyta skrifstofu í verslun,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.  Áskilið samþykki Vinnueftirlits ríkisins.,Sótt er um leyfi til breytinga á erindi BN039321 samþ. 27. janúar 2009 með því að útbúa nýjan inngang á suðurhluta 1. hæðar og innrétta veitingaverslun í flokki  I sem tengist matvörubúð í húsi nr. 8 á suðurhluta 1. hæðar nr. 6 við Aðalstræti. Erindi fylgir bréf hönnuðar dags. 13. október 2009. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 23. október 2009 fylgir erindinu. Sömuleiðis samþykki eigenda dags. 13. okt. 2009. Einnig annað bréf hönnuðar dags. 3. nóv. 2009. Gjald kr. 7.700
40571 (01.13.650.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040571,Aðalstræti 8,breyta skrifstofu í verslun,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til breytinga á erindi BN039423 samþ. 27. janúar 2009 með því að breyta inngangi, koma fyrir markísum yfir gluggum 1. hæðar og innrétta matvöruverslun sem tengist veitingaverslun á 1. hæð húss nr. 6 á 1. hæð og í kjallara húss nr. 8 við Aðalstræti. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 23. október 2009 fylgir erindinu og samþykki eigenda dags. 13. okt. 2009. Einnig annað bréf hönnuðar dags. 3. nóv. 2009. Gjöld kr. 7.700"
39913 (01.14.030.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039913,Austurstræti 17,skilti,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að koma fyrir skilti á gafli verslunar- og skrifstofuhússins á lóð nr. 17 við Austurstræti. Erindi fylgir samþykki eiganda dags. 3. október 2009. Gjald kr. 7.700
40587 (01.14.050.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040587,Austurstræti 18,br. rekstrarleyfi 1 í 2,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að breyta skilgreiningu veitingahúss úr flokki I í flokk II í Bókaverslun Eymundsson á lóð nr. 18 við Austurstræti. Gjald kr. 7.700
40650 (04.60.350.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040650,Álfab. 12-16/Þönglab.,nr. 14a breyting inni,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að stúka rými niður í tvö rými og innrétta Subway skyndibitastað í verslunarhúsnæðinu nr. 14A á lóð nr. 12 - 16 við Álfabakka. Gjald kr. 7.700
40600 (01.83.420.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040600,Ásgarður  18-24,svalir á 2. hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að koma fyrir svölum á suðurhlið 2. hæðar í íbúð 0204 mhl. 03, sbr. BN039585 dags. 21. apríl. 2009, á fjölbýlishúsinu nr. 22-24 á lóð nr. 18-24 við Ásgarð. Erindi fylgir samþykki sumra meðeigenda ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 6. nóvember 2009 og umsögn skipulagsstjóra dags. 5. nóvember 2009.  Gjald kr. 7.700"
40614 (04.06.510.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040614,Bíldshöfði 20,breyting á vörumóttöku og viðbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að stækka og hólfa niður geymslur og koma fyrir vörumóttöku í kjallara á norðurhlið, undir palli 1. hæðar,  koma fyrir vörumóttöku á palli 1. hæðar á norðurhlið í atvinnuhúsnæðinu á lóð nr. 20 við Bíldshöfða. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 6. nóvember 2009. Stækkun : ??? ferm. og ??? rúmm. Gjald kr. 7.700 + ???"
40373 (01.13.420.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040373,Brekkustígur 7,garðskúr,Frestað. Grenndarkynningu ólokið.,"Sótt er um leyfi til að koma fyrir garðskúr við einbýlishús á lóð nr. 7 við Brekkustíg. Erindi fylgir jákv. fsp. dags. 2. júní 2009. Stærð:  12 ferm., 31,3 rúmm. Gjald kr. 7.700 + 2.410"
29498 (01.13.100.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN029498,Brunnstígur 5,stakstæð vinnustofa,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja steinsteypta vinnustofu með tyrfðu þaki, jafnframt er sótt um leyfi fyrir timburpalli milli íbúðarhúss og vinnustofu í hæð við aðalhæð íbúðarhússins og svala í vinnustofu og steypta veggi á lóðamörkum við einbýlishús á lóð nr. 5 við Brunnstíg. Stærðir: 77,1 ferm., 245,8 rúmm. Gjald kr. 7.700 + 7.700 +18,927"
40565 (01.41.001.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040565,Efstasund 84,stækkun kvists,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til að rífa eldri kvist og byggja nýjan og stærri á vesturhlið einbýlishússins á lóð nr. 84 við Efstasund. Jafnframt er gerð grein fyrir áður gerðri íbúð í kjallara og bílskúr á sömu lóð. Erindi fylgir samþykki meðeiganda áritað á uppdrátt. Stækkun:  xx ferm., xx rúmm. Gjald kr. 7.700 + xx"
